,ave
BOP,0.7821250185174892
CDLLONGLINE,0.5201055743605113
CDLBELTHOLD,0.510314473925482
CDLCLOSINGMARUBOZU,0.4839096339607496
WILLR,0.463142762916708
CCI,0.4161299129875652
RSI,0.37966337800369987
CMO,0.3796633780036998
CDLMARUBOZU,0.32641900983121597
ROCP,0.31823148638015386
ROCR100,0.31823148638015375
ROCR,0.31823148638015375
ROC,0.31823148638015375
MOM,0.3156215919018295
ULTOSC,0.30586093946234266
PLUS_DI,0.25479224599636546
CDLENGULFING,0.2310972252524495
MINUS_DM,0.23045238131512305
MINUS_DI,0.21536833726645865
ADOSC,0.20732585952239138
SAR,0.18629728956720526
SAREXT,0.16634242385665432
CDLSEPARATINGLINES,0.1635350426450705
COSH,0.15769432378950296
EXP,0.1576943237895015
SINH,0.1576943237895
NATR,0.15613113011777285
CDL3INSIDE,0.15594904519089978
PLUS_DM,0.15073630773313818
SQRT,0.14964317512579023
CEIL,0.14964221612587092
FLOOR,0.1496349007432605
LOG10,0.14896941582056053
LN,0.14896941582056047
MFI,0.1482948889319063
ATAN,0.14767468922155436
LINEARREG_INTERCEPT,0.143156369705658
CDLSHORTLINE,0.14036553248016229
CDL3OUTSIDE,0.13151566790640593
HT_TRENDLINE,0.1314745164150968
KAMA,0.13067123884338275
WMA,0.13002215191813585
EMA,0.1298973966088741
CDLHARAMI,0.12678976769916445
T3,0.1232805155708744
SUM,0.12309330862392652
SMA,0.12309330862392648
MA,0.12309330862392648
TRIMA,0.12244999675759519
DEMA,0.11896192003075039
TRANGE,0.11867150277610784
MIDPRICE,0.1070489745190526
DX,0.10639437326063325
TEMA,0.10401032411041962
AROONOSC,0.09819560147516274
MIDPOINT,0.09686185857807736
BETA,0.09135212844967242
WCLPRICE,0.09000764513513593
MIN,0.08836319567525074
TRIX,0.08817937147479175
LINEARREG_ANGLE,0.08412526734042845
MAX,0.08287387192188497
CDLINVERTEDHAMMER,0.08263887351520989
OBV,0.0818153089087068
LINEARREG,0.0769921625288347
LINEARREG_SLOPE,0.07591501248226405
DIV,0.07453782932727628
VAR,0.07330148096000864
SUB,0.07290615617188849
CDLSHOOTINGSTAR,0.07252841705924495
ATR,0.07161698667177732
CDLHANGINGMAN,0.07008385150044423
TYPPRICE,0.06961747737464696
STDDEV,0.06880711573162565
TSF,0.06811370047758737
AD,0.06710773031360555
CDLDOJISTAR,0.06202111257860912
CDLSPINNINGTOP,0.06009348487693483
CDLHARAMICROSS,0.05085131020180156
CDLHAMMER,0.04549705387844921
MAXINDEX,0.04218770465401716
HT_DCPHASE,0.03798918847492767
CDLHOMINGPIGEON,0.03252186141200083
CDLTHRUSTING,0.0306220473058336
CDLHIGHWAVE,0.02993933126863074
MININDEX,0.02965196429074041
MEDPRICE,0.02876940995703775
ADD,0.02876940995703775
MULT,0.028572481455436952
AVGPRICE,0.026643187395055275
APO,0.023232136260544843
PPO,0.02051417672898121
CDLDRAGONFLYDOJI,0.01915682036027062
CDLTAKURI,0.01906652578874732
CDLHIKKAKE,0.01881349268983645
CDLDOJI,0.014964914134542293
CDLLONGLEGGEDDOJI,0.013333461944067074
CDLMATCHINGLOW,0.007412799404518296
CDLRICKSHAWMAN,0.007314894107762796
ADXR,0.005954595197211386
HT_TRENDMODE,0.005756104313238307
SIN,0.005616002518767806
CDLGRAVESTONEDOJI,0.005487973489030234
ADX,0.003693529706602942
COS,0.00366504362646907
HT_DCPERIOD,0.0026792445805323877
TAN,0.002408558289720121
CORREL,0.0010093841083355815
