,ave
BOP,0.7740655631180975
CDLLONGLINE,0.5106086267835087
CDLBELTHOLD,0.502365121424043
CDLCLOSINGMARUBOZU,0.47557578265336786
WILLR,0.4602138362133905
CCI,0.41888344622628143
CMO,0.382729525345812
RSI,0.38272952534581195
CDLMARUBOZU,0.31897799782275227
ULTOSC,0.3038420171425476
ROC,0.2869903211182441
ROCP,0.2869903211182441
ROCR,0.286990321118244
ROCR100,0.28699032111824396
MOM,0.2851351217895206
PLUS_DI,0.2546238410488388
CDLENGULFING,0.22093463551296408
MINUS_DI,0.2131581809954147
MINUS_DM,0.21273646897111756
ADOSC,0.2097950607581929
SAR,0.17486481223061656
COSH,0.17464365539433385
EXP,0.17464365539433338
SINH,0.17464365539433294
MFI,0.16914072464349136
TRANGE,0.16803258501676313
CDL3INSIDE,0.16198318422751706
PLUS_DM,0.15968395595916088
DX,0.15887993835734152
SAREXT,0.14554826036621824
CDL3OUTSIDE,0.14209575657679335
T3,0.13870150075998297
CDLSHORTLINE,0.13366891073439338
WMA,0.13013706464309407
HT_TRENDLINE,0.12957018738409562
DIV,0.1287360436637494
EMA,0.12853244734522243
DEMA,0.12539425833746853
KAMA,0.12352187312649537
LINEARREG_INTERCEPT,0.12250971592137298
SQRT,0.11868901778337475
FLOOR,0.11821830131155006
CEIL,0.11819299290286281
AD,0.11766091988154068
MA,0.11748705146902566
SMA,0.11748705146902566
SUM,0.11748705146902562
LOG10,0.11711105779271555
LN,0.1171110577927155
TRIMA,0.11705796230005147
SUB,0.11681251666094489
NATR,0.1158727041072312
TEMA,0.11498901238935179
ATAN,0.1140660210487452
CDLHARAMI,0.11244289249515821
VAR,0.10692266137517739
STDDEV,0.10583695053683906
MIDPRICE,0.10357998934214832
TRIX,0.10237300074384527
LINEARREG,0.09950902883527053
AROONOSC,0.09862360780690871
MIDPOINT,0.09370070804311262
TSF,0.09352482914278953
BETA,0.08927124106368357
CDLINVERTEDHAMMER,0.08656327382648596
MIN,0.08189931656143565
MAX,0.07520615339640199
WCLPRICE,0.06491440098081934
CDLSHOOTINGSTAR,0.06325643030373408
CDLDOJISTAR,0.058718895682379216
CDLHANGINGMAN,0.05737066835683249
OBV,0.05290346659517192
CDLSPINNINGTOP,0.05290031341959315
CDLHARAMICROSS,0.049959557186480166
CDLHAMMER,0.04869292600120691
MININDEX,0.046844524956987404
TYPPRICE,0.04626538817317434
LINEARREG_ANGLE,0.04572397771538957
MAXINDEX,0.04520306256856856
ADXR,0.042038440564351943
ATR,0.039783946193392386
LINEARREG_SLOPE,0.03831255363205272
ADX,0.035700816502057586
HT_DCPHASE,0.0333332593052306
APO,0.03278457688638731
CDLHIKKAKE,0.030425914312376248
PPO,0.02948399661175313
HT_TRENDMODE,0.02508456515291981
CDLHOMINGPIGEON,0.023127492867090992
CDLHIGHWAVE,0.021717973160198082
CDLMATCHINGLOW,0.018025800588677903
SIN,0.015458311594922346
HT_DCPERIOD,0.01153360611444561
CORREL,0.010919936343070737
CDLGRAVESTONEDOJI,0.00995838769617279
MULT,0.00952925098546986
MEDPRICE,0.00895397735081148
ADD,0.00895397735081148
CDLDRAGONFLYDOJI,0.008639009351916884
CDLTAKURI,0.008298587218860407
AVGPRICE,0.006376772982175172
TAN,0.0042793871560551046
CDLDOJI,0.0014744713212265712
CDLRICKSHAWMAN,0.000769943991191628
CDLLONGLEGGEDDOJI,0.0006332655804583441
COS,0.00029091135738557093
