,ave
BOP,0.7825766871401008
CDLLONGLINE,0.5120042949465338
CDLBELTHOLD,0.4992594462138985
CDLCLOSINGMARUBOZU,0.48199993791643525
WILLR,0.463000812400443
CCI,0.41798612079835884
RSI,0.3915009569903246
CMO,0.3915009569903246
CDLMARUBOZU,0.32284906026663196
ROCR100,0.31458739984095974
ROCP,0.31458739984095974
ROC,0.3145873998409597
ROCR,0.3145873998409597
MOM,0.31325885046704116
ULTOSC,0.2950784878046474
PLUS_DI,0.26804402519187015
MINUS_DM,0.2195817238741921
CDLENGULFING,0.2172382806945695
MINUS_DI,0.2162416846312972
TRANGE,0.20336749488528127
ADOSC,0.19872273274947375
SINH,0.18549924757144415
EXP,0.1854992475714441
COSH,0.18549924757144406
SQRT,0.18225307918254385
FLOOR,0.1821991467497066
CEIL,0.1821564917578328
LOG10,0.1817834360229719
LN,0.1817834360229718
PLUS_DM,0.18090879489767794
ATAN,0.1808210417305751
CDL3INSIDE,0.16726890986901205
SAREXT,0.1602382205088798
MFI,0.1559282343752035
SAR,0.15575906468263592
SUB,0.15513380378375125
DIV,0.15411015189680569
CDLSHORTLINE,0.14127942257708964
DX,0.134701404531269
CDL3OUTSIDE,0.13366490392873126
WCLPRICE,0.12327209738782889
NATR,0.12177753411927009
VAR,0.11942663987565483
LINEARREG_INTERCEPT,0.11887063217911346
STDDEV,0.1167462605478228
CDLHARAMI,0.11329546089138418
OBV,0.110663110021418
TYPPRICE,0.10307503788162191
HT_TRENDLINE,0.10209788035950913
AROONOSC,0.09970566142731939
TRIMA,0.09706681929706595
KAMA,0.09681700914062802
WMA,0.09617191056528501
SUM,0.0952078241455575
MA,0.09520782414555748
SMA,0.09520782414555748
TRIX,0.09400928721463939
EMA,0.09389384392668015
BETA,0.09247216806280319
T3,0.09088989667195967
DEMA,0.08644170194336889
CDLINVERTEDHAMMER,0.08415079026641956
LINEARREG_ANGLE,0.08071449791502214
LINEARREG_SLOPE,0.0732621897159634
AD,0.07087824347736
CDLSHOOTINGSTAR,0.07033149666741385
TEMA,0.06953082839906137
MIN,0.06694735454782799
CDLHANGINGMAN,0.06615528294265755
MIDPRICE,0.06453132751525023
ADD,0.06248068130588323
MEDPRICE,0.06248068130588323
MULT,0.06196849204423083
AVGPRICE,0.06013514795085895
MIDPOINT,0.05700084952936315
CDLDOJISTAR,0.056274279649922015
CDLSPINNINGTOP,0.05513108095833168
CDLHARAMICROSS,0.04901264211027936
LINEARREG,0.04565746354978876
MAX,0.04383425173421958
MAXINDEX,0.04312656010695727
CDLHAMMER,0.0411993363858792
TSF,0.038367891064669576
CDLHIKKAKE,0.03603416058256095
ADXR,0.034398127854276456
CDLHOMINGPIGEON,0.02659179141512568
MININDEX,0.02336503006268781
CDLHIGHWAVE,0.023131065364871077
ATR,0.021424410007065027
HT_DCPHASE,0.020452596853415165
CDLTAKURI,0.02000615057720072
CDLDRAGONFLYDOJI,0.0187429744413854
ADX,0.017425517834161883
CDLGRAVESTONEDOJI,0.014066475969631077
CDLMATCHINGLOW,0.012714971521601084
HT_TRENDMODE,0.012555425125669803
CORREL,0.012155375708693848
CDLDOJI,0.011884386259775564
CDLLONGLEGGEDDOJI,0.009546383931121302
APO,0.008195828808859423
PPO,0.0070811713930777846
HT_DCPERIOD,0.006461354054461768
COS,0.005447133143721992
CDLRICKSHAWMAN,0.004913816555265202
TAN,0.0023611760816780202
SIN,0.0018074828788253207
