,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T3205,1762,1795,2308,2330,2356,2376,2382,2383,3017,3131,3231,3443,3515,3529,3533,3661,4129,4966,5269,5274,6515,6679,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1477,1795,2308,2330,2368,2376,2382,2383,2455,3008,3017,3231,3443,3529,3533,3653,3661,4919,4966,5269,5274,6121,6515,6679,6781,8069,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1795,2301,2308,2330,2368,2376,2382,2383,2455,2634,3008,3017,3023,3037,3131,3231,3443,3529,3533,3653,3661,3675,3680,4966,5269,5274,6515,6669,6679,6781,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3219,1795,2301,2308,2330,2368,2376,2382,2383,2455,2634,3008,3017,3023,3037,3131,3231,3443,3529,3533,3653,3661,3675,3680,4966,5269,5274,6515,6669,6679,6781,8069,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3223,1519,2308,2330,2368,2376,2382,2455,3008,3017,3037,3131,3231,3443,3529,3533,3653,3661,3680,4129,4966,5269,5274,5871,6515,6669,6679,8069,9802,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3228,1762,1795,2308,2330,2356,2376,2382,2383,3017,3131,3231,3443,3515,3529,3533,3661,3711,4129,4966,5269,5274,6515,6679,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,2204,2308,2330,2376,2382,2385,2451,2454,2548,2637,2729,3034,3042,3443,3661,3680,3711,4736,4966,5274,6121,6147,6176,8069,8081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,1215,1513,2247,2308,2330,2360,2368,2376,2383,2408,2454,3008,3017,3034,3037,3044,3443,3533,3587,3653,3661,3680,4770,4979,6643,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,2049,2330,2345,2368,2376,2382,2455,3017,3034,3231,3443,3529,3533,3653,3661,3675,5274,6409,6515,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,2049,2301,2303,2308,2330,2345,2360,2376,2382,2455,3017,3034,3035,3037,3231,3443,3529,3533,3596,3653,3661,4966,5274,6274,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1513,2201,2301,2303,2330,2338,2345,2376,2382,3017,3034,3035,3231,3443,3481,3529,3533,3653,3661,3675,4966,5009,5274,6446,6515,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1503,2204,2301,2308,2330,2345,2368,2376,2383,2455,2618,3017,3034,3042,3231,3406,3443,3529,3533,3653,3661,3680,4968,5009,5269,5274,5439,6138,6223,6515,6531,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,1477,1503,2301,2308,2330,2345,2368,2376,2383,2455,2618,3017,3034,3037,3042,3231,3406,3443,3529,3533,3653,3661,3680,4768,4968,5009,5269,5274,5284,5289,6138,6223,6515,6531,8069,NA,NA,NA,NA,NA,NA,NA,NA
T3707,1477,1503,2301,2308,2330,2345,2368,2376,2455,2618,3017,3231,3406,3413,3443,3529,3533,3653,3661,3680,4966,4968,5009,5222,5269,5274,5289,5439,6138,6223,6515,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3786,1216,1477,1707,2204,2233,2301,2303,2330,2345,2352,2376,2383,2618,2886,2891,3017,3023,3034,3042,3044,3231,3406,3443,3653,3661,4768,4904,5483,6121,6223,9933,9941,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3803,1216,2301,2308,2317,2330,2345,2360,2368,2376,2382,2454,2455,2881,2882,2891,3006,3008,3017,3023,3034,3037,3231,3260,3324,3443,3529,3533,3653,3661,4966,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,1605,2303,2308,2313,2330,2368,2376,2454,3017,3035,3037,3189,3218,3324,3443,3532,3533,3596,3707,4919,4961,6279,6415,6670,6781,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1476,1519,1532,1795,2204,2303,2330,2383,2408,2729,2881,2891,3008,3027,3035,3037,3088,3491,3529,5222,5289,5388,6284,6533,6612,6741,6811,8155,8299,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,1476,2303,2308,2330,2383,2408,2420,2634,2881,2891,3008,3037,3376,3481,3529,3533,4104,4953,5289,5388,5483,6197,6239,8299,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,2301,2308,2330,2368,2376,2382,2383,2409,2548,2618,2707,2891,3008,3017,3023,3034,3293,3529,3665,3693,5269,5289,5306,5904,6121,6747,8069,8299,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,1513,1514,2059,2301,2308,2327,2330,2368,2376,2382,2383,2454,2618,3008,3017,3037,3231,3260,3264,3413,3443,3529,3653,3661,3680,4129,4968,5269,5274,6138,6279,8210,9921,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,2059,2201,2301,2308,2327,2330,2368,2376,2382,2454,2618,2634,3008,3017,3037,3231,3260,3293,3443,3529,3533,3587,3653,3661,3680,4129,4763,5269,5274,5425,6279,6414,6515,6531,6589,8069,8210,9921,9958,NA,NA,NA,NA
T4502,1215,1504,1519,1560,2308,2330,2356,2382,2383,2603,2634,3022,3037,3131,3443,3563,3653,4147,4551,4572,4736,4770,4958,5274,6223,6781,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,2059,2303,2308,2330,2345,2356,2360,2368,2376,2379,2382,2383,2421,3017,3023,3037,3231,3293,3443,3454,3533,3653,3661,3680,4163,4966,5289,6223,6285,6412,8069,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,2330,2344,2368,2408,2497,2731,2732,3017,3035,3037,3131,3162,3231,3260,3443,3479,3529,3533,3587,3661,3675,3680,4746,4966,5269,5274,6443,6679,6741,6863,8155,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,2059,2455,2753,3006,3037,3081,3260,3293,3443,3479,3529,3587,3680,4966,5274,6138,6245,6515,6863,8069,8155,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,1589,1760,2330,2356,2368,2382,2408,2454,2455,3006,3017,3037,3081,3131,3231,3443,3479,3529,3533,3653,3661,3680,4953,4966,5269,5274,6138,6515,6679,6781,8046,8069,8155,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4801,1477,1513,1795,2301,2308,2330,2345,2368,2618,3017,3023,3293,3324,3443,3587,3653,3661,3711,5009,5288,6515,8069,9939,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,1477,1513,1795,2301,2308,2330,2345,2368,2376,3017,3023,3293,3324,3443,3587,3653,3661,3680,3711,6515,8069,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1477,1504,1519,2204,2206,2301,2308,2330,2356,2376,2382,2457,2634,3017,3044,3131,3231,3363,3443,3491,3617,3653,5009,5274,6187,6235,6669,6806,8069,8210,8299,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
