,BOP,MINUS_DM,STDDEV,ADXR,TAN,COS,HT_DCPHASE,SIN
0,-0.028077776,-0.04957463,-0.060267795,-0.12437405,-0.022427415,0.040993992,-0.034876328,0.067529425
1,0.0028088433,0.0040464415,-0.09814074,-0.05253469,0.033027586,-0.04535749,0.13671114,0.16063333
2,0.07633951,-0.00907344,0.03030986,0.13543813,-0.06977579,0.00615464,-0.061770007,-0.03557083
3,0.018992241,-0.081648216,-0.0012249087,-0.021983726,-0.08015949,-0.049475305,-0.09149476,0.033552404
4,-0.06835509,-0.03118943,-0.08213646,0.04917234,0.069959395,0.0713285,0.07978461,-0.05840404
5,0.12434725,-0.01440841,0.049204234,0.23513213,-0.16888802,0.16572036,-0.15112822,-0.20149153
6,0.00224257,-0.033218656,-0.037191037,0.031127173,-0.011671989,-0.021809092,-0.06467431,0.044443917
7,-0.06547616,0.09287519,0.06561145,-0.08585243,0.09208214,-0.10322047,0.05990056,-0.057576675
8,-0.15743208,0.13204184,-0.057478458,-0.06889151,0.013717636,-0.09523806,0.05001688,0.120175846
9,0.1337215,-0.112803094,-0.028819963,0.09520388,-0.11546296,-0.030013312,-0.15138142,-0.08354043
10,-0.11129238,0.024900889,-0.051828228,0.0048281676,-0.03736045,-0.08230662,0.12419441,-0.01582884
11,-0.108358786,0.12530054,-0.00492799,-0.10628887,0.025429545,-0.03647359,0.12722003,0.13558696
12,-0.045827527,-0.026782317,0.051516052,-0.054580033,-0.016784599,-0.070838295,0.030827407,-0.09879295
13,0.028520726,-0.103842825,0.040997505,0.060377862,0.05607783,-0.021091893,-0.0055855117,-0.11175282
14,0.025296004,-0.080190174,0.11935103,0.06410385,-0.02553961,0.13358442,-0.07966322,-0.07871867
15,-0.02108769,-0.052645274,0.06914585,0.023052871,0.043648217,-0.0341004,0.042987607,0.056848533
16,0.06992968,-0.010763443,-0.061974376,-0.05474523,0.07142714,0.07247469,0.029961541,0.0053432686
17,0.015160757,-0.10292803,-0.016986411,0.09207636,-0.011134613,0.030788096,-0.13935891,-0.08688784
18,0.019483412,0.010032513,0.10570978,0.09579097,-0.08291965,0.036712173,-0.051563054,-0.1368861
19,-0.09275078,-0.07744923,-0.0077282134,-0.033370525,0.028409101,-0.00014456586,-0.018772924,-0.025329933
20,0.021497183,0.072875336,0.016044673,-0.028828526,-0.050392337,0.03274194,0.053254005,-0.0347788
21,0.060473934,0.028296573,-0.06838863,0.056604624,0.04378789,0.0025253657,-0.094258144,0.031369597
22,0.08619491,-0.052421276,-0.0058433153,0.15320574,-0.133661,0.12545308,-0.07669181,-0.06932093
23,-0.14144607,0.114487134,0.045972142,-0.06772266,-0.015572613,-0.07178844,0.013343042,0.16384436
24,0.13826789,-0.12884356,-0.025923781,0.22168317,-0.021057379,0.16355862,-0.09589759,-0.17463705
25,0.09277148,-0.009232674,0.09130808,0.039143614,0.019063137,0.0062663704,-0.10463378,0.05365169
26,0.17424665,-0.13807249,-0.018068656,0.09202087,-0.11828809,0.0033078832,-0.21275409,-0.09506177
27,-0.05275624,0.06750652,-0.048047587,-0.14279841,0.025568832,-0.09971606,0.022092799,0.0098128915
28,0.17352977,-0.11976299,-0.028312828,0.2900388,-0.09814764,0.052793525,-0.13637652,-0.12836199
29,-0.053410668,0.10761767,-0.04943342,-0.05833184,0.04847395,-0.060187705,0.17003717,0.109322354
30,-0.0041172374,-0.03698609,0.014183189,0.0714069,-0.029517718,0.029088859,0.0695533,0.037516564
31,-0.15475197,-0.02879641,-0.05418809,-0.16878301,0.013086033,-0.0493967,0.07058385,0.07893143
32,0.19323923,-0.18872535,0.03129051,0.20470828,-0.12170617,0.14342996,-0.24708617,-0.1506973
