,BOP,MINUS_DM,STDDEV,ADXR,TAN,COS,HT_DCPHASE,SIN
0,0.014140319,-0.02865437,0.08236082,0.030277101,0.016748296,0.033472136,0.019414322,-0.019994333
1,0.08748211,-0.04332724,0.06275825,0.1687984,-0.15472093,-0.05868518,0.13679712,-0.10990824
2,-0.054722626,0.026602887,0.07722092,-0.0004830388,-0.07303046,0.026842955,0.13595985,-0.04406338
3,-0.04118599,-0.043312885,0.07079569,0.0569856,-0.09889322,-0.023372026,-0.039741565,0.049116828
4,0.038486235,0.017628167,0.0077376077,-0.12503432,0.113588594,-0.06493598,-0.08915694,0.08705239
5,-0.07157467,0.026416428,0.042644896,0.14280649,0.012842176,0.085696645,0.11711502,-0.14853126
6,-0.074678026,0.10599592,-0.061122518,-0.106694944,0.073896214,0.011387978,-0.07681671,0.10763079
7,0.08928948,-0.069612265,0.0015396267,0.22447713,-0.10396067,0.07356551,0.17123622,-0.115976
8,-0.058216587,0.006365658,0.038740247,0.04312098,-0.006728265,0.027491212,0.045290258,-0.010899206
9,0.017721033,0.07817342,-0.022308994,0.05989015,0.043930817,-0.081775345,-0.027401412,-0.07008259
10,0.048398558,0.009932629,0.022071965,0.16787656,-0.061463322,-0.050600182,0.09276331,-0.09855023
11,-0.028746968,0.057839822,0.048043165,0.028082917,-0.011967501,-0.043592017,0.0039040989,0.01626301
12,-0.08945533,0.106257685,-0.018855192,-0.059619512,0.0414889,0.02792052,-0.09813011,-0.018012155
13,0.026769076,0.010469087,0.06856135,0.14633836,-0.09951967,0.021437902,0.18408215,-0.09922398
14,0.055479158,0.021272529,-0.036308356,-0.10440772,0.019146612,0.05031627,-0.13321681,0.02081155
15,0.06630971,-0.0123383505,0.045222986,-0.035187274,-0.0005218443,-0.07654343,0.037944887,-0.1141871
16,0.086540565,-0.09276325,-0.07537564,0.0812724,-0.09444988,0.027968988,0.100643344,0.06320377
17,0.00016421205,0.054039553,0.08965833,-0.06287103,0.0030487806,-0.068325244,-0.09671028,0.1151957
18,0.07803935,0.0429927,0.01681818,-0.0909361,0.0548264,-0.046250228,-0.12170279,0.1023434
19,0.04590161,-0.119481236,0.004600792,0.1273191,-0.061861996,0.010383011,0.1436609,-0.031663887
20,0.024365814,-0.028430678,0.07353612,0.0019780216,-0.104375765,0.100608185,0.09854696,-0.07765868
21,-0.0145093035,-0.109458216,-0.033509493,0.109443866,-0.06956191,0.01095705,0.10533169,-0.022994418
22,-0.036266524,-0.07593506,0.052436512,0.064778976,-0.0052757175,-0.049381904,0.11301795,-0.04402237
23,-0.061239302,0.10573217,0.09617825,-0.13443513,0.08811196,-0.03944887,-0.13159172,0.07886638
24,-0.009153932,0.053591575,-0.06568289,-0.0031184112,0.015371844,-0.0044527953,-0.07680884,0.017095892
25,-0.05804231,0.01626539,-0.009469309,0.04231843,0.048621412,-0.06901627,0.024891786,0.041989505
26,-0.087363444,0.022459984,-0.0017635982,0.019115563,-0.0014290585,-0.07914679,-0.016477019,0.0007508411
27,-0.017799122,-0.110809565,-0.033682108,-0.035013776,-0.07929202,-0.03503728,0.029662745,-0.10874592
28,-0.045523457,0.080532886,-0.0040621404,-0.1037665,0.06888425,0.0018115925,-0.20082676,0.21586797
29,0.027791984,-0.0172595,0.06790473,-0.0045633106,0.030301679,-0.019689549,0.009445992,-0.045660373
30,-0.06821096,-0.064263016,-0.015834972,-0.05254983,0.06403759,-0.027309949,-0.0036288174,-0.036701012
31,0.02136496,-0.1036253,-0.09212853,0.03611569,-0.06900374,-0.05648029,0.10644783,-0.116820894
32,-0.037639767,-0.08704077,0.010688154,0.031205907,-0.103616565,0.0926964,0.04058584,-0.09765916
33,0.015468777,-0.17959236,0.026028771,0.21046983,-0.0768292,-0.00015808876,0.15089086,-0.18864523
34,-0.017400736,0.03442141,-0.039643366,-0.059671152,0.033675212,0.05969529,0.045260858,-0.03231538
35,0.034745295,-0.026654847,-0.035330005,0.13394666,0.036557406,-0.009280041,0.08775612,-0.038893063
36,-0.03418,-0.05476389,0.0036994587,0.054850392,-0.0406269,-0.040161047,0.047549643,-0.075023234
37,-0.047976434,-0.057643652,0.06935478,0.087771885,-0.09779846,-0.05855453,0.1282823,0.0072393757
38,-0.08617852,0.09346926,0.0731484,-0.010208606,-0.00047918802,-0.084924676,0.016683957,0.09558895
39,-0.00069378584,-0.026701529,0.051381752,0.058568813,0.018563448,-0.071357176,0.02718919,0.04157475
40,-0.01424217,-0.03344714,-0.017219968,-0.008150727,-0.065314084,-0.061606612,0.002646821,0.01025015
41,-0.025096789,-0.08014495,0.026575014,0.08467221,-0.13796018,0.110538304,0.20368658,-0.033100553
42,-0.028860752,0.12439434,0.029014459,-0.1748897,0.1177489,-0.09843444,-0.024800774,0.07158539
43,0.05817939,0.0030249888,0.0069464277,0.14054528,0.011312985,0.016100701,0.02657372,-0.00015935859
44,-0.0823681,-0.018368004,-0.07229365,0.08659405,-0.029031478,-0.054621518,0.039107304,-0.03097494
45,0.016083814,0.18481252,-0.02466692,-0.180808,0.08081628,0.012321597,-0.2386112,0.17141052
46,0.07078826,-0.14425151,0.03012992,0.16740507,-0.020192377,0.10242507,0.113111004,-0.13097468
47,0.04591859,-0.13256077,-0.09446341,0.12265243,0.005491832,0.028449776,0.11490596,-0.11787979
48,-0.082515836,0.010489013,-0.05161221,0.1405587,-0.12715633,0.0026265474,0.07595473,-0.12291154
49,-0.06566007,-0.016307589,-0.057190083,0.1663806,-0.04381353,-0.039743032,0.025369838,-0.04848457
50,-0.0027217981,0.06328485,-0.013187502,0.006710069,0.06887735,0.035294894,-0.07799167,-0.0019487073
51,-0.060923878,-0.07553331,0.041585986,0.041213196,-0.102823086,0.03145232,0.061645906,-0.01033241
52,-0.057964336,-0.11024486,0.044474803,0.0957933,-0.07551804,0.07097351,0.15615408,-0.13646013
53,0.05752775,-0.113281,-0.0083444845,0.024119722,-0.04370445,-0.033859115,0.12186607,-0.059316862
54,-0.086929955,0.08404607,0.082500935,0.0661332,-0.014452978,0.056192115,0.03734348,-0.020325013
55,0.025451962,0.10193,0.05710095,-0.0808824,0.13032602,0.043625668,-0.12553608,0.14808744
56,-0.011650442,-0.010681027,0.07517095,-0.17837006,0.15161408,-0.10687185,-0.06960152,0.046452608
57,-0.089029685,-0.0115584945,0.07198868,0.059394162,0.016401269,0.04473768,0.04951116,-0.029394766
58,0.011743033,-0.0820557,-0.07084031,0.15319286,-0.13302068,-0.017375007,0.09707788,-0.009173092
59,0.03440843,-0.10692384,-0.083516486,0.14222524,-0.1770293,0.020994293,0.23756655,-0.1605129
60,-0.075594984,-0.04868191,-0.0005967128,0.087162696,-0.10659469,0.09441179,0.13272776,-0.026154498
61,-0.035986956,0.014747867,0.013473882,0.007187761,-0.08801105,0.032687876,0.018572086,0.019827234
62,0.054164242,-0.021610672,0.047147438,-0.024043154,-0.04786733,-0.028477255,0.0084469775,-0.067950614
63,-0.06858422,0.06915711,0.073858365,-0.040170927,0.04547737,0.055161692,0.047738165,-0.047651347
64,0.074539036,-0.006172594,-0.047552567,-0.026547851,-0.027560817,0.003053254,0.057710215,0.05989216
