,BOP,MINUS_DM,STDDEV,ADXR,TAN,COS,HT_DCPHASE,SIN
0,-0.03969518,0.07431175,0.05824606,0.07068341,-0.061959762,0.093742974,-0.03417739,-0.0005967622
1,0.028850514,0.07799052,0.01701444,0.049461957,0.071185976,0.07294389,0.0063557215,-0.020783776
2,0.010028141,-0.020449081,-0.051946968,-0.0066925036,-0.10196886,-0.035202697,0.011090377,0.023410372
3,-0.1320116,-0.017405815,0.06422978,0.10485557,-0.06823847,0.07250968,-0.055237338,0.06667366
4,0.04041026,-0.042902272,-0.08669259,0.0058662137,-0.04547018,-0.008009043,0.07540147,-0.05945895
5,-0.005236995,-0.013597615,0.046984546,-0.08183842,0.09429137,-0.071152374,0.07904188,-0.07870525
6,-0.08621021,0.02231486,-0.0866131,-0.06290075,0.0027817397,0.11117694,-0.043844517,-0.05962689
7,0.15429392,-0.105965,-0.049837116,-0.050939023,0.17788996,-0.04109102,0.07213316,-0.06267751
8,-0.05004177,-0.08796636,0.075347774,0.054705653,-0.03975081,-0.08097898,-0.0228593,-0.0886582
9,0.06371323,-0.05048,0.044580854,-0.062829666,0.07873652,-0.18431154,0.04523749,0.0023451315
10,0.14893687,-0.0365697,0.09573327,-0.029613387,0.087692976,-0.18553412,0.0930824,-0.10278804
11,-0.15255985,0.10760567,0.01010343,0.06418807,-0.12932448,0.072906956,-0.035849705,0.14260292
12,-0.1135357,0.027481215,0.06624207,-0.05044343,-0.11550716,0.15105635,-0.08543049,0.063009836
13,0.106968395,-0.06092579,-0.053206917,-0.018464802,0.13406718,-0.08127027,0.08071749,-0.058293846
14,0.05726443,0.028467832,0.026129942,0.048909165,0.0900945,0.0117512075,-0.0014011778,0.032070782
15,-0.13973524,0.0922849,-0.03306528,-0.034681596,0.0018540383,0.039092463,-0.03144896,-0.028232588
16,0.036486343,-0.02555346,-0.08153502,0.0016312789,0.057318207,0.009148309,-0.012844481,0.044534225
17,-0.040183008,0.010392619,-0.03484821,-0.026573308,-0.004766163,0.010148028,0.06266411,0.085746974
18,-0.06106614,0.038832556,-0.021679522,0.07510659,0.0584631,0.04982981,-0.034128577,0.018848926
19,-0.045330625,0.07188489,0.0031952572,0.025925113,-0.087974966,-0.023273675,-0.0661577,-0.06388091
