,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ADD,DIV,MAX,MAXINDEX,MIN,MININDEX,MULT,SUB,SUM,ATAN,CEIL,COS,COSH,EXP,FLOOR,LN,LOG10,SIN,SINH,SQRT,TAN,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,TRIX,ULTOSC,WILLR,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,CDL3INSIDE,CDL3OUTSIDE,CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHOMINGPIGEON,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLRICKSHAWMAN,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI,CDLTHRUSTING,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ATR,NATR,TRANGE,AD,ADOSC,OBV
8478,0.031481264722086885,-0.10082591901531571,-0.014589732758210891,-0.037309964413036856,-0.08310787828366115,-0.13923354012722525,0.06922598467069502,-0.07041869277118484,0.058035711598054866,-0.029966923476732948,-0.11214398034778346,-0.1216565438390603,0.028568406536327244,0.043516643292684856,0.09065562806496669,0.3174738706486623,0.3174738706486623,0.043516643292684856,0.03485474987775097,0.03485474987775121,0.16887339981677885,0.3174738706486623,0.038844000006358494,-0.013138066690000467,-0.13417753976711305,-0.11193376815818523,0.042244413448963125,0.04538614736519357,0.7658288947575546,0.3976865981095956,0.3497653496511085,-0.01516909090671617,0.1893477521389231,-0.1621871950624314,-0.233107184810017,0.3610600137582723,0.16993958091963224,-0.02929792112086496,0.032335592755485566,0.3669193103460619,0.36691931034606196,0.3669193103460619,0.36691931034606196,0.34976534965110845,-0.08065333692210738,0.4039981346930606,0.5196908983268822,-0.09634943636372124,-0.11823605004018316,-0.12204932906184868,-0.11943607989424512,-0.1216565438390603,-0.09976594081306561,-0.11075244571417502,-0.12539228374204195,0.08880163691931214,-0.1216565438390603,-0.09709691951484078,-0.07975069147687026,-0.11928664994737276,-0.11061783295160187,0.11271841164511354,0.12603578357832682,0.3272265436712909,0.5497712275908908,0.07305721264545358,,,0.26086739501089423,-0.027589553110631628,0.020645726483064057,,0.107825923138767,0.045312824396248,0.056282747206876205,-0.09041298837983412,0.062046350148339695,-0.26085473051174796,0.07305721264545358,0.5272650399786436,0.256216348527947,0.0213695491185745,0.0702002819467103,,-0.04671778940958063,0.11598362402380659,0.059264858878723695,,,-0.03398490739517874,-0.037309964413036856,-0.010609443092379874,0.00283111867006005,0.08498275899329366,0.097276228029021,-0.07415548965390502,0.10467965058880113,-0.12968374417786432,0.11120219557151,-0.14566489865965554,-0.06854375281586429,-0.16995279821583273,-0.19107486893553827,-0.2872154603068531,-0.08788277008043362,-0.012488115265623094,0.34632841968738276,0.030909832346294373
8926,0.0006889168181578391,-0.12208600032142007,-0.05600408610424741,-0.055645672714547255,-0.19307216241297295,-0.09913385146339755,0.0783306879238464,-0.12391964805707041,0.05609543007257393,-0.051397375962367826,-0.1740273702657031,-0.11877255709616348,-0.002292448273477258,-0.0020317171288781596,0.03087351435171265,0.22643837908012462,0.22643837908012462,-0.0020317171288781596,0.002375682173200881,0.0023756821732007515,0.014676013271317118,0.22643837908012462,0.004888756522218684,0.11686981361963769,0.021049919560202336,0.0546176169861086,-0.19214492832624888,0.0737464178009986,0.8144065056670098,0.40640303637352704,0.30105967887547236,-0.12750217479109313,-0.057654059767194225,-0.14447715987969129,-0.24526144185034096,0.341688068049253,0.17834062257706504,-0.017920951686117365,-0.19095517593166575,0.3411655743263938,0.34116557432639383,0.3411655743263937,0.3411655743263937,0.3010596788754726,-0.10011670149503361,0.3714191720913379,0.4716838940440569,-0.13521530483566369,-0.1399013362180198,-0.12101160387184977,-0.12923207403649403,-0.11877255709616343,-0.13764379738307445,-0.14109832152523955,-0.1895832633315164,0.13410769496631017,-0.11877255709616343,-0.15335557934979924,-0.13909396980381103,-0.10857583716416148,-0.13272404774255223,0.0859666939368467,0.1781077421539084,0.5797959839550029,0.3443410047890599,0.16076715048975013,,0.03390969198522778,0.20667930733931292,0.029192831389919564,0.0051344324553613,,0.20094023071255646,0.15540570639545837,0.12394122454069077,-0.28934393814840326,0.09543609951879152,,0.16076715048975013,0.4791373291255057,0.17803539171039598,0.015734370577666214,0.15477382475426318,0.0929689019727586,-0.10522902045730163,0.1625437197628042,0.16555179244859514,0.03390969198522778,-0.044468511794728674,-0.05720761958008045,-0.055645672714547255,-0.034889679326528124,-0.024393958194221094,-0.05749371688906594,-0.06537981487984829,-0.12496810277899105,0.10527593935888332,-0.17991845416414026,0.10586585329880441,-0.2384655717380185,-0.11778331491864122,-0.23558759898944556,-0.1482442554541671,-0.1870712703139263,-0.1354044926664073,-0.01958798678034272,0.2671436292181499,-0.0015572140007157629
8996,0.15652362073624895,-0.0427817983729226,0.0488003769174933,0.022831402089329454,-0.06517831662482529,-0.019999729071754423,-0.03723278648744116,-0.13726349879151586,-0.033622941073338075,0.027019821434669817,-0.03285972083995669,-0.09467954640886218,0.10202574709626787,0.12819862340273738,-0.07252714165055806,0.2169306126081937,0.2169306126081937,0.12819862340273738,0.11509649580703328,0.11509649580703352,0.03028552240718341,0.2169306126081937,0.12168268755574481,-0.027223508037978367,0.04603777362373252,0.02908312285510938,-0.052722429209327064,0.04795534402112673,0.8546218570422136,0.4055058634318873,0.3251494051352164,0.14944653721478593,0.07654710423788162,-0.27074601052952446,-0.2915218909146507,0.316271221740345,0.1694544019554765,0.051720896858751586,-0.057001844919221105,0.3231915496689916,0.32319154966899144,0.3231915496689916,0.32319154966899155,0.3251494051352164,-0.035409953667210683,0.3137376131679058,0.47457256268884973,-0.07935813070396269,-0.10980070789702868,-0.12248579453785939,-0.10595291985221818,-0.09467954640886214,-0.08543049289208103,-0.10298767742209047,-0.1961061232046785,0.210089180412488,-0.09467954640886214,-0.10315304111886711,-0.06982407694209247,-0.0913355106868442,-0.09433592178311125,0.14073976706963592,0.05139929919684975,0.5888081868233475,0.6097988701867127,0.052510219708346684,-0.031271293237019666,0.052066830674759194,0.2817962502759192,0.02203225341198561,-0.03640198040048819,-0.012455378377403419,0.16911573071088407,0.03514717181796508,-0.02109095159346149,0.011009852447693121,0.032048485842102674,-0.10912412403253641,0.052510219708346684,0.525431502633751,0.390947448541927,0.016842584690279258,0.038003371798332984,,-0.07122986915509928,0.181747157071897,-0.0035928633662590218,0.052066830674759194,-0.1026752315952476,0.022702006335763487,0.022831402089329454,0.05808352269643283,0.07569267582282517,-0.0944864452234663,0.18953685123663055,-0.06258366008966089,0.06459330678150019,-0.12049911987868303,0.06182541111572134,-0.07118590853098067,-0.0566126771683902,-0.05429227937046054,-0.1406436784988656,-0.34102711356458704,-0.006054867308251976,0.0415837389064888,0.274399677206032,0.1654182040641838
9802,-0.12635084817110168,-0.12430960600128926,-0.045504640067698526,0.14047554260028006,0.06739488769513342,-0.012717495861198323,0.14695160419458414,0.07095238658533733,0.17151814883082098,0.14151487780812477,0.09768865239728232,-0.012207881742579212,0.22450511791228417,0.22334963194751853,-0.089502712215675,0.05788435136718864,0.05788435136718864,0.22334963194751853,0.2253417202058171,0.22534172020581797,0.12758069627549226,0.05788435136718864,0.22568400372250821,-0.12031262780999902,-0.08301861936247847,-0.08490854863450888,-0.07334699182886566,0.04487379758479811,0.658804512661478,0.4863157921591942,0.38386883716758335,0.17266826798451412,0.14516862923074675,-0.24931082981025796,-0.295921318843489,0.32830403975561057,0.2882877140789178,0.18357479415791578,-0.07489763116020619,0.3274341797217158,0.3274341797217159,0.32743417972171585,0.32743417972171546,0.38386883716758335,-0.022606483574061108,0.23626908798237672,0.4465114360932393,-0.016481637155903235,-0.004554761338146204,-0.005827607563640944,-0.04609032380194954,-0.01220788174257913,-0.001442965371720621,0.022318292586950273,-0.14062789161889425,0.16825427798098205,-0.01220788174257913,-0.03743587479160427,-0.022281127932216205,-0.005734121224144821,-0.016396742123352324,0.19306852766405852,0.010957233516618634,0.3760933538931688,0.3874047354395277,0.06083490321636486,-0.024658771031951944,0.04680376711056315,0.26683130223392604,-0.024658771031951944,,-0.03261417592322043,0.16387929158146608,0.1114246091512063,0.07744260323652839,-0.0507503543557747,0.045193985285219104,-0.05963565635561628,0.06083490321636486,0.4418260636999874,0.31684833607469665,-0.0059753151340541984,-0.037918407260496924,,,0.12108242786601899,0.09222457298515535,0.04680376711056315,-0.03358270232472723,0.1400166377786559,0.14047554260028006,0.1694399014879716,0.1837821946634976,-0.09294254226473954,-0.07143776371507747,0.002502856908172896,0.0635296254653906,-0.07304141596135118,0.06358998499756217,-0.020088475515528163,0.0070081640527032,-0.044966348218765724,-0.17900353193991064,-0.3025727949147227,0.1696995467104737,0.06631405402868129,0.06231946930085986,0.1569705772524973
9910,-0.14138960251062127,-0.17882931078563855,0.04988343083794202,0.0681909660804086,0.2954903269045471,-0.07986634227477722,-0.04349469333802011,-0.008362042985193028,0.02054316020559838,0.06936036836042347,0.3030168900157933,-0.10162938993455917,0.17052010179667285,0.17679515028272344,-0.05799713025817183,0.07330896407358135,0.07330896407358135,0.17679515028272344,0.17321574612371982,0.17321574612371998,0.06768802567525346,0.07330896407358135,0.17453080964838688,-0.10410675175099603,-0.12035714283657889,-0.10242879196137859,-0.1479467102326629,0.07178193084466335,0.6850521311319413,0.45329085657209306,0.36030228994819863,0.22516582963765328,0.1055439906066954,-0.20483987247215638,-0.23000717789455835,0.31024743967622176,0.2778870960149585,0.1977499681959721,-0.15070496657022683,0.31240541573641567,0.3124054157364158,0.31240541573641567,0.3124054157364156,0.36030228994819863,-0.20391394663919798,0.1614946771637062,0.43358150034464377,-0.18790001123191089,-0.15328813727363713,-0.12864096894227106,-0.11205887476818617,-0.101629389934559,-0.13945567091255767,-0.16852838440724716,-0.36056891312849676,0.2790308980344582,-0.101629389934559,-0.16979165269760665,-0.18781635022293913,-0.12448464166674228,-0.17558685964075418,0.18058327469818514,0.04656345948516413,0.4061346897826629,0.45839227403523597,-0.043863837133156,-0.03341472353819683,0.07412294318194518,0.20341012108851522,-0.017779035376195466,-0.059520681144472426,-0.0525748007777458,0.0880077971487875,0.05155086397734676,0.021265685526620354,0.002123359263918631,0.01029724797666013,-0.08017509028429232,-0.043863837133156,0.3840816388088218,0.1821197299040422,,-0.06512479293529667,0.23439187682315937,-0.05926107635309472,0.15967001072748216,0.0015584878545474975,0.07412294318194518,,0.06208152325375113,0.0681909660804086,0.10564159660813198,0.1238200673677648,-0.006027013768280823,-0.09574965382808681,-0.10575723065510056,0.11635164686648598,-0.21650980111400897,0.08807644262907914,0.21497699005012305,-0.09004085766587898,0.22804510056693295,-0.09300622957619814,-0.20454652263655834,0.45311353831473516,-0.07584643126691594,0.028015005405432187,0.11552008180197781
9914,0.0710199121136693,-0.05218240059491315,0.03414150956725312,0.0017514113779091326,0.21191668661420418,-0.13534367273777323,0.11743278734913512,-0.13054946585801586,0.07658045698182753,0.002591069807907741,0.1906460591256352,-0.12683707216136464,0.0702485057840515,0.07378080576976602,-0.07863236613653182,0.21879236370139793,0.21879236370139793,0.07378080576976602,0.07177582203660937,0.0717758220366097,-0.13901658898713803,0.21879236370139793,0.07267321661854313,-0.22199921136402112,0.06160016845864684,0.050514647169220946,-0.026443665178846686,-0.016112034341598625,0.8388679123541354,0.39456237943977535,0.3177518511821536,-0.008949952754655294,0.08808095459060664,-0.133571244687135,-0.16977003612024277,0.30691756506596024,0.266258829134569,0.16749660012842454,-0.0263002317502018,0.31582564904072247,0.31582564904072236,0.31582564904072247,0.31582564904072247,0.3177518511821536,-0.08219238023109578,0.31756665474739,0.43060233238057105,-0.10568962631740875,-0.13389541476660316,-0.12662614348359064,-0.14284866159697876,-0.1268370721613646,-0.10528956390056206,-0.10626550160278876,-0.18353086811792055,0.08951735063550095,-0.1268370721613646,-0.1267808101248246,-0.09129993750792564,-0.12127088061294235,-0.11958038347490119,0.28292367613338015,0.1968988528557209,0.657348921833823,0.4123172726290136,0.012154150851966836,-0.05572246140674112,0.02362666123654694,0.20775425922942706,,-0.13672365458893937,-0.001427425199536693,0.13672562551127138,0.03874403310004227,0.12209514094090552,0.13317709415410672,,,0.012154150851966836,0.5586647023763124,0.38044213483162687,,0.000865615027857398,0.08118876736026695,-0.13501956354266167,0.1829707744376035,0.11066874412642412,0.02362666123654694,,-0.011265148032295943,0.0017514113779091326,0.025768063971166152,0.0377756043136045,-0.15973874253789386,-0.02920815142727744,-0.09628859296316528,0.02985694248597793,-0.12139498097258748,0.030935054580367452,0.055513767599777636,-0.09230634787907205,0.03790430902289526,-0.040396939591791414,-0.10319934975738108,0.19063528601419677,-8.455154975845574e-05,0.13489781850509533,0.045791951405356135
