,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ADD,DIV,MAX,MAXINDEX,MIN,MININDEX,MULT,SUB,SUM,ATAN,CEIL,COS,COSH,EXP,FLOOR,LN,LOG10,SIN,SINH,SQRT,TAN,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,TRIX,ULTOSC,WILLR,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,CDL3INSIDE,CDL3OUTSIDE,CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHOMINGPIGEON,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLRICKSHAWMAN,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ATR,NATR,TRANGE,AD,ADOSC,OBV
8086,0.11484581175756813,-0.01701173853948535,0.0529106043328036,0.01946633236157095,0.03842040821572822,-0.0738401904302134,-0.009349103852061787,-0.08457507536829742,0.026740711361993307,0.021176078248203674,0.048016614797025896,-0.17630549721190197,0.09542471167025558,0.10033710613039101,-0.038806289795458575,0.07949089662966569,0.07949089662966569,0.10348893812767734,0.09856841635458824,0.09856841635458886,-0.056892414465473905,0.07949089662966569,0.10042226017895238,0.009595648777076207,0.04083484551878114,0.024608738876355975,0.019274800676099022,0.17470380422845913,0.7370781017728529,0.4500038929675446,0.4025073929491621,-0.11903832454933169,0.19303955111779403,-0.16425673400621105,-0.17797999677287338,0.36831073209400816,0.2781214941092049,0.21502864313002693,0.00883207502327706,0.36045730393038306,0.360457303930383,0.360457303930383,0.360457303930383,0.40250739294916227,-0.16606562508177697,0.4512827878801896,0.4840032776165539,-0.14811372419676333,-0.15626366424027194,-0.19207886234533716,-0.14960695480692748,-0.17630549721190197,-0.11361600456649253,-0.12184603042864231,-0.1978255602457774,0.30373580905344744,-0.17630549721190197,-0.1156788905109349,-0.13201597395646528,-0.19894369006668558,-0.17087302632742885,0.16336594255331266,0.12366320740135103,0.3838696612966379,0.47000863257041525,0.17305477422389284,-0.044184630972102915,-0.018664759670243423,0.25821716974574427,,-0.005102271365389403,-0.04011096356274002,0.09145298507827979,,0.04423257617375741,-0.041945995364444565,0.027309594122290597,,0.17305477422389284,0.5448054743630193,0.31886420904903134,0.009975610987245292,0.17741696133380477,0.15172459564738264,-0.05349173911778279,0.13355161363125,0.028692309123283508,-0.018664759670243423,0.01699881335791531,0.01946633236157095,0.046978004284269057,0.0608094471996315,-0.145117417103414,0.02653028566669673,-0.0731095764302491,0.12320355362122024,-0.2106018643956986,0.14583320359988977,-0.06706387115345144,-0.060976477993281424,-0.07706305815769968,-0.08248069631547347,-0.14278818955906986,0.02626636091502358,0.05377015103350931,0.2894782894082734,0.15987494024903287
8109,0.07304586192737508,-0.1540846572359699,-0.10790681288304356,0.050641192393845604,-0.12633024466504278,5.5042494707094374e-05,-0.027135963711057993,0.04262526703662445,0.042598802932835654,0.050566908461612284,-0.11294348527213476,-0.04771892724401742,0.13236906913681012,0.1291343979855907,0.03607568375700475,0.14693720044478262,0.14693720044478262,0.13158919505255814,0.13036864520181227,0.13036864520181332,0.16394973943019936,0.14693720044478262,0.1294076156802614,0.010218648939905322,-0.009795045225323831,-0.005316327260753337,-0.1123346687914977,0.1284248446275482,0.6034282502485304,0.4661172997511072,0.3283942916596438,-0.19145585968799958,0.010375134371754151,-0.18406492654184542,-0.11090789741895793,0.3079533973179908,0.21497208229145598,0.17284586198193574,-0.11150669342971782,0.31128464606399975,0.311284646064,0.31128464606399975,0.31128464606399986,0.32839429165964384,-0.05201502769893703,0.21482306179624808,0.39572501343140537,-0.08887017576440152,-0.08525515866113877,-0.06131625623264167,-0.046770231986144745,-0.04771892724401714,-0.06900030786472747,-0.07251419338629993,-0.17216934033923523,0.18356484582075333,-0.04771892724401714,-0.10569223385015385,-0.09837746862628673,-0.07404029282736149,-0.09248905701148878,0.11383955355389574,0.15052393492475996,0.5343703040777292,0.2611493455930593,0.07144490314819617,,-0.0030934341829538725,0.09933182435206754,0.13816850783142873,0.00018026348966565338,-0.09951383119653921,0.04242952814202674,0.002996448053211893,-0.019055447226797133,-0.04580413541553928,,-0.0372823579974287,0.07144490314819617,0.21145150986095537,0.2070390243821001,0.011919434349696077,0.14909073839760237,,-0.26890349704039296,0.1852501155822143,0.09566939890289673,-0.0030934341829538725,0.03691665305371091,0.050641192393845604,0.07684687420414771,0.08987818176483649,-0.05411387667048016,0.07080915470987359,-0.0668783065962038,0.06364842140264895,-0.13647758719011133,0.06324732504825595,-0.05908028447811296,-0.06026945876231326,-0.055855956204467073,0.055665052239863316,0.03180498061158258,-0.13115170226141776,-0.009193972064840161,0.14144208573019698,0.029429667073712848
8112,0.073688432585135,0.06616610510842462,0.019505012975552505,0.05109937249354174,0.0872949175615284,-0.13075825756263687,-0.12011695842038723,-0.1555863930449915,-0.12563389086718654,0.05528469219136349,0.1035042467156348,-0.2144863981561263,0.1915105334815896,0.18687558131703022,0.09635404089531549,0.055843293207916596,0.055843293207916596,0.17906253269690475,0.19219744228292657,0.19219744228292726,-0.068325547494452,0.055843293207916596,0.19239791226436098,0.08602703148521693,0.08504307392949823,0.08004072224071831,0.0481119860149459,0.09448206987708499,0.6291682714015632,0.38826844994834364,0.3731956654812662,0.14966121897869675,0.15039942349175434,-0.19422621275260046,-0.21623148314282462,0.24382413838299102,0.26326256189454833,0.13833689792058082,0.06329914505186582,0.2403314070333005,0.24033140703330055,0.2403314070333005,0.2403314070333005,0.3731956654812664,0.01872265401981982,0.3297777662513231,0.4870741408567748,-0.20836974096324953,-0.24152074588015363,-0.23591138040200446,-0.2488088845676106,-0.2144863981561263,-0.1631992101156492,-0.16485179119155063,-0.21820966496223201,0.1503924089929523,-0.2144863981561263,-0.282445056699301,-0.173652885598514,-0.2051540912295887,-0.24138725605309833,,0.23112777072460372,0.41503792968458847,0.3580000556432563,-0.10992526659752777,-0.29524913141367876,-0.001513764049504581,0.17230674774092922,-0.2241093231140497,-0.028180912263474637,-0.11192869205882469,0.1461963196413978,0.07018279430584538,-0.005536468061439446,-0.12432863266592309,,-0.40562623028187705,-0.10992526659752777,0.425632181324303,0.3333679729151739,-0.003946981630811386,0.04317884442506584,,,0.22246714503488524,0.05052201130796787,-0.001513764049504581,0.05528900449475273,0.05109937249354174,0.09855203785080649,0.1223023999111354,-0.06864383587205922,0.05428795310614378,-0.2145224349380082,-0.033232196483330236,-0.1131674102265547,-0.04908885184515133,-0.0755878117852074,-0.20508614142568515,-0.12798715572207575,-0.07384281450962163,-0.12539691762057567,-0.1219711018910077,0.20112271958341135,0.2528464392522325,-0.020462734120598756
8114,-0.05041528416976622,0.11317028056152946,0.16687868755946178,-0.0012238684635604178,0.08773795727080075,-0.0601063598675908,0.03174830796005191,-0.10773651592923399,-0.0857596246162598,-0.007771901216024831,0.05758947331786405,-0.0991656764500026,0.05174911212191092,0.046911414864462486,0.04471988825121167,0.052514900403350315,0.052514900403350315,0.04521575662889398,0.04824350668410983,0.04824350668410976,-0.10126229237950209,0.052514900403350315,0.047068105650575565,-0.09128427170541885,0.16853720599823688,0.0919682173481976,0.0805006558819479,0.18265049141613912,0.7603232787807589,0.39992671304157656,0.3626865311211419,0.251115171959281,0.23816606247859395,-0.26806785105532444,-0.1782989790061158,0.3473637001782646,0.2899412443297069,0.13659232582479253,0.10416969422672054,0.3466444712873547,0.3466444712873543,0.3466444712873547,0.34664447128735454,0.3626865311211421,-0.06314476006541378,0.3024497109948143,0.43588229129298683,-0.07014162284872576,-0.08805535418497189,-0.08587179244672201,-0.06573992943343979,-0.09916567645000261,-0.060142019909464446,-0.06299518770494746,-0.10465414305322783,0.15017762966354628,-0.09916567645000261,-0.06581901989703556,-0.05262617956682256,-0.09861506068760093,-0.08273700024054664,,0.07185431666515664,0.5038526459658788,0.38974853011553295,-0.09120716764347747,-0.02072690665991476,0.04121708864825972,0.20038466152632387,-0.067629803271074,-0.06842928398067573,-0.10268019071506236,0.1346850384594107,0.01176998372391488,0.020455879086173342,-0.1213020325117383,,-0.06952210997961464,-0.09120716764347747,0.4536586909376197,0.3170560524096331,-0.031754752887119576,-0.0409812439759698,,,0.08087717806038082,0.04395150319204102,,-0.0026822058864600646,-0.0012238684635604178,0.014689334650421822,0.02262653916123955,-0.07231004181073042,0.09822726023335174,-0.048132204185044644,0.11208337989556282,-0.09304935742305483,0.09639764358354895,0.12463345575941513,-0.044413016667449456,0.08817444477038765,-0.047781353662694516,-0.08483486819893898,0.084574496787841,-0.046200584772543865,0.09298700837154154,-0.022109797821473688
8147,0.05764344347777497,-0.14077493137989333,0.039025255298312085,0.056513449115488404,-0.030176105893737336,-0.09466544243128028,0.09604146347793331,-0.06495529011260506,0.056242865326543684,0.055094633267483054,0.003397628184602507,-0.11994776296776154,0.18537427260072148,0.18875777475544894,0.033102960075524206,0.17720083417551163,0.17720083417551163,0.18830270569560728,0.18789115637251205,0.18789115637251208,-0.13867953600875094,0.17720083417551163,0.18893366245804555,-0.010755811746921758,-0.12124750931313281,-0.11735299455829881,-0.1356633752128624,0.06563779625254602,0.8476204333233,0.4103045777084897,0.38196645842286486,0.13471772561520168,0.04172917785336583,-0.17344465649015475,-0.2148519855712442,0.3062064804668584,0.20478975536566474,0.04011744610825952,-0.124656328070104,0.30209574974868963,0.3020957497486894,0.3020957497486896,0.30209574974868963,0.381966458422865,-0.22230265404751243,0.38544302149667903,0.4807200795979518,-0.16314186447396556,-0.12072505529653493,-0.13839203853666834,-0.15950494544504423,-0.11994776296776158,-0.1158503086074289,-0.13861714016064583,-0.2674286969686942,0.2015020847142642,-0.11994776296776158,-0.13173277277994316,-0.13682979113719151,-0.10739283004762575,-0.14137578145513688,0.15491106057506798,,0.3991967684478797,0.6283735672311292,0.036497037867918046,,,0.2048956058418524,0.017772930470949296,-0.0590450749348804,-0.03358462793386497,0.19106730166883543,0.04416703694690097,-0.002868133142137482,0.0789796724578741,0.045234386833655514,-0.1359492231913294,0.036497037867918046,0.5383528101526053,0.32420092359845454,-0.006525349308272319,0.04729025658271198,,-0.13161094197488205,0.13852303789808232,0.1096987209764322,,0.05995588751717682,0.056513449115488404,0.10163096314646537,0.12400788590084671,-0.1051363550732253,-0.09431535382617168,-0.07788615058044895,0.06400272206825545,-0.1871342211662387,0.07964764244432065,0.05760837923722129,-0.06534664027771021,0.07022402447181345,-0.1945307294208105,-0.32677563800831627,0.07220886981213322,0.07710839315197562,0.20575688017076862,0.04971032296568862
8150,-0.03562719984100675,0.0089197383289053,-0.012492961801439209,-0.006256569292891167,-0.3802408352943018,-0.07635705260290329,0.0370643831371382,-0.028858168822196238,0.005862294303929595,-0.007586768280084435,-0.3982526131295885,-0.08880929298148296,0.099102251245554,0.07629443142016387,0.12016883223238019,-0.013439633254315525,-0.013439633254315525,0.0760262724069354,0.0953458437634366,0.09534584376343609,0.1099098782542738,-0.013439633254315525,0.09346696728068178,0.11700901452172557,-0.02126140769241616,-0.02787606061336885,-0.04507490835108046,0.01759769511910611,0.7660217896290465,0.33135030947709965,0.3484777306084744,-0.17180745783494486,0.10924396097765104,-0.15262245668495295,-0.1434455594117342,0.3466354568836502,0.15513313908167392,0.03463847588595405,-0.04663609249474234,0.34186478013770993,0.3418647801377098,0.34186478013771,0.34186478013770993,0.3484777306084743,-0.09140423243514106,0.15199295360063428,0.40421734067369747,-0.08911445544687989,-0.07999893616762845,-0.08820157782080953,-0.09149033060973405,-0.08880929298148317,-0.06044708487456672,-0.0628689440986559,-0.12346301869312593,0.1238443741721134,-0.08880929298148317,-0.10039907398866156,-0.0904989373662798,-0.08974829726202237,-0.09025490835240507,0.10738905676564284,0.2153711733636045,0.6402223692009112,0.49823390672437784,0.10576946716611049,,0.032260033596593116,0.2028326031156924,0.03928579422002148,-0.018768749722611316,-0.011770502831263335,0.1929096484565724,0.10871085009437612,0.04242218023270087,-0.035266690622529906,0.06245764614822041,0.00016744335030806915,0.10576946716611049,0.5040492788050033,0.3996456715436981,,0.08704715165811618,,-0.0477596565370744,0.1569549323034401,0.05597948972430423,0.032260033596593116,-0.006842860282532964,-0.006256569292891167,0.026363752248012826,0.042703803092518526,-0.1822757163174677,-0.0319571918716107,-0.07743770252736774,0.014990811098564257,-0.09022112397887057,0.015083440172695379,-0.15631122737335862,-0.07513718105854275,-0.12196313919853236,-0.07976665185751407,-0.10848319186472527,-0.4797723757290402,0.0010711907039409447,0.0670891115363988,0.06511184069952454
8155,-0.016383032700016925,-0.036665587196003616,0.10737087699296066,0.04393383481953286,-0.09318870562511564,-0.05060047640270259,-0.06593378948027716,-0.03717604558698759,-0.06005792190774742,0.045499753767348355,-0.04410184779739245,-0.10326329440677555,0.16666160742766165,0.16808843046698949,0.15641912073188624,0.08694764012418016,0.08694764012418016,0.17381737861702662,0.1687242690730617,0.16872426907306257,0.004917061490730143,0.08694764012418016,0.1698656109630292,0.1764973046049386,-0.0159758745486558,0.05779159462404453,-0.06070299895635388,0.14281815408009643,0.7812846698139425,0.38269554808795414,0.38752502720920456,-0.05397031065869628,0.12416270780802244,-0.20309206201196242,-0.20307432597911104,0.286392468641475,0.20365039136732038,0.13337887506284435,-0.06063701166591891,0.2867873651562644,0.2867873651562645,0.28678736515626446,0.2867873651562645,0.3875250272092047,-0.11884777397636109,0.2963242776033329,0.4413940612478928,-0.1001961698951217,-0.10917927414447605,-0.14241689623404202,-0.08708812824120915,-0.10326329440677556,-0.05935084498033785,-0.07273636918809545,-0.12301054102345689,0.08012729166215365,-0.10326329440677556,-0.11739639832541354,-0.08956883606383187,-0.11357263622271381,-0.10872258958136277,0.35354840993100883,,0.640583102258571,0.5746167122619074,0.1314048113341505,-0.0660247319638524,0.0011921662190294477,0.15597043077850778,0.04744510171447126,-0.11107053972858719,,0.15102761350174382,0.05460132084067666,0.02039932561823937,-0.02698232419495942,0.029211757851275257,-0.036375197219411015,0.1314048113341505,0.6393601798566775,0.562930461757665,0.002719085280133988,0.12880492061731083,0.23551939758598803,-0.11601942076613665,0.17425834895263426,0.050473627714312776,0.0011921662190294477,0.041154676441212325,0.04393383481953286,0.0865262750589713,0.10780781007143708,-0.16960648801165523,-0.03492462765146922,-0.07281998289709682,0.020766455712642243,-0.10789353180052588,0.017424235113476877,-0.14941823127865705,-0.06803028061015776,-0.15950934810684184,-0.005750723881465659,-0.0982326164824736,-0.04512913554437724,0.12313914493032928,0.2007352248609884,0.06804164369088578
8210,-0.10909224574826545,-0.007047774312243595,0.04614205264923946,-0.006911994690149558,0.16142803421085652,-0.05927639554950945,-0.058860109841673745,-0.09486829650667813,-0.05052096887552115,-0.006769363691534257,0.1736082280724956,-0.09481876695965254,0.22756094558245177,0.22781813222124053,-0.006492336349587336,0.2706490845878272,0.2706490845878272,0.22770382370418304,0.22656280339384274,0.22656280339384213,0.10835468568090427,0.2706490845878272,0.22620633489526001,0.00974377783736108,-0.019017893005081027,-0.03723360365396503,-0.054681986986494936,0.013543998464881794,0.8326374060967021,0.35831692608704463,0.44888102989227074,0.10271442004651773,0.08105084112528602,-0.07978040376928676,-0.021155859951335287,0.36432832809610477,0.17657631613290384,0.17245431412857495,-0.05166015576217959,0.3608366314541913,0.3608366314541912,0.3608366314541911,0.36083663145419126,0.44888102989227113,-0.09000002115816484,0.38875152034237553,0.49484472207618624,-0.10622651968724489,-0.10628551365471385,-0.10143186310817369,-0.09582033141690827,-0.0948187669596525,-0.09184035693691746,-0.13693333935264784,-0.1397055521404117,0.0667046568799705,-0.0948187669596525,-0.13802334122334847,-0.09785580078782466,-0.08889185838917954,-0.10455417379615169,0.3524756237001597,0.27028142737243244,0.571280343256602,0.629814983058125,0.011694292299519848,,,0.3035708439769765,-0.04200717670716873,,-0.06810719139196669,0.2585007306279545,,0.07962232937693986,-0.0688032942267845,,-0.1020736383811068,0.011694292299519848,0.6375107559424632,0.4651031117416467,-0.014539406470129773,0.005234997572868931,,,0.17181260695420034,0.049832416249038135,,0.0005487360836517017,-0.006911994690149558,0.07133383186715696,0.11061045005608665,-0.04365949473359192,0.0748733826133147,-0.09031498132523054,0.03300204530958181,-0.10561207123675938,0.027327415191345256,0.03349498002924739,-0.08461306094879435,0.024190550451211414,0.08734985375601252,-0.03145431014115288,0.21007154089042884,0.14528344652546463,0.2885898297395552,0.07673335852298996
8255,-0.0551010744366998,-0.08290090949281093,-0.04871311123727813,0.03241909287764903,-0.05761146317354722,-0.0995402964406931,-0.027694471990945133,-0.11189525310316133,-0.10946532060005484,0.030595381838431378,-0.03427434689947682,-0.1766074571864515,0.14850494512183282,0.15009602941479303,-0.04504941051822617,0.11123979801265355,0.11123979801265355,0.14992148709211792,0.1485381978711164,0.14853819787111674,-0.14906421707250042,0.11123979801265355,0.14870606413617035,-0.013921348062322616,0.029710216207255048,-0.0664880545613291,0.10215706888253116,0.21498337475841175,0.7355336489104595,0.41415236492917007,0.34692017079752313,0.10844970358534027,0.25021085356874795,-0.1598937437787517,-0.17903587079894848,0.3437775428572084,0.304433835176066,0.23536754915111358,0.0943804785306103,0.33376185474293824,0.3337618547429383,0.33376185474293835,0.33376185474293824,0.34692017079752324,-0.10952228298819212,0.41356468480056835,0.498836518602735,-0.10344975289183304,-0.14840762740829894,-0.1684360098513139,-0.17148629577060628,-0.1766074571864515,-0.06882885716990778,-0.10112092003294844,-0.18552847786475166,0.2546766554225565,-0.1766074571864515,-0.05962856211448323,-0.061509453213179424,-0.1854310414075671,-0.14405397500755354,0.06472571306527729,0.08515093484520533,0.5804354512896376,0.6238065273129937,0.05003155052162626,,0.027329379633761412,0.32135934717840015,-0.008717641562645774,-0.04386336273212767,-0.020057188358573907,0.12251508557888768,0.0726464445409701,0.05210582207333958,0.04505744648981055,0.016682059703816896,,0.05003155052162626,0.5751737851050521,0.5113442754257758,-0.0003322533855060267,0.03123104011359158,,,0.12962938640876417,0.09454254694908619,0.027329379633761412,0.02969597510672196,0.03241909287764903,0.07128824139637802,0.09076550534484852,-0.13509157453852294,-0.024455778715177286,-0.016542809720942162,0.16198798230565745,-0.17856352592234587,0.16958744252298047,-0.06121513051022281,-0.0036308907445139443,-0.05911602550558463,-0.14545896855928775,-0.21149027358922695,0.003645392629320734,0.16522036877563406,0.24713159127642176,0.01049591008484559
8299,0.10900945339508973,0.09962924547970996,-0.04309986275123965,0.050324687236755344,-0.03011748906227251,-0.021304334501775147,0.021597090729910978,-0.10515095514280663,-0.02549547367372546,0.05404985946809937,-0.022548965705403205,-0.11962874824727263,0.10497249367550351,0.10666423361701513,-0.008662096700147738,,,0.10758441495820538,0.10561866842658446,0.10561866842658398,0.055711751443417154,,0.10615826347256503,0.04659048296570214,0.07700620263100254,0.03750807672384818,-0.07899865804580276,0.08712387134933537,0.6786626729401685,0.44153354994026706,0.30539241139018,-0.04174144993298024,0.1694891663161514,-0.1819397683170733,-0.19902440768937887,0.28691456478623784,0.24302183111295772,0.14268709073517608,-0.0908250567966778,0.2768776394167794,0.2768776394167794,0.27687763941677945,0.2768776394167795,0.30539241139017986,-0.07666839274408459,0.366221707412635,0.4210452724959718,-0.11582047478404989,-0.1282704766569355,-0.14560825578447242,-0.12854407796509082,-0.11962874824727275,-0.08360620451291084,-0.0827567248772061,-0.1843813297040067,0.17457117053916454,-0.11962874824727275,-0.1255169855655386,-0.1135239868652329,-0.12082722558228141,-0.12866847840204562,0.2258008826323188,0.08659899349000033,0.5447754977203931,0.46009091125361323,-0.06398614982571223,-0.03128140615021166,-0.005806535908981991,0.20847576945669682,0.10323220700780668,-0.04690982015066241,,0.11703955318433269,0.03990657938275009,-0.0720880092547323,0.09022528250206385,0.04578895368893263,-0.06196571862224862,0.04016174071387886,0.5752346403213789,0.38433031570277193,0.0166632797092975,0.08775354699510708,,-0.10618330137099137,-0.02071280597175495,-0.038713607605920755,-0.005806535908981991,0.045692149842971486,0.050324687236755344,0.06921043580548232,0.07864344542599548,-0.04562227061981998,0.21477344544995733,-0.09612945283773411,0.022985653071383817,-0.1290751735165968,0.027018137912592465,-0.1945454628067596,-0.09016302010148791,-0.20597557819902287,-0.05508720698846537,-0.12545984754148515,-0.32374159040455375,0.024428925733126362,0.2191023730826198,0.13280913719338167
