,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ADD,DIV,MAX,MAXINDEX,MIN,MININDEX,MULT,SUB,SUM,ATAN,CEIL,COS,COSH,EXP,FLOOR,LN,LOG10,SIN,SINH,SQRT,TAN,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,TRIX,ULTOSC,WILLR,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,CDL3INSIDE,CDL3OUTSIDE,CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHOMINGPIGEON,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLRICKSHAWMAN,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ATR,NATR,TRANGE,AD,ADOSC,OBV
1101,-0.044100101501895986,-0.10454130820161875,0.13027085763044688,0.08126196490519395,0.2865061155555503,-0.12984431252804238,-0.04303345651765443,-0.17212107477688635,-0.09308449498425465,0.08136782622159291,0.29172795397026835,-0.20475651084542845,0.18282622461978854,0.13982458851520435,-0.1503339528584541,0.20084998353247085,0.20084998353247085,0.13982458851520435,0.1830570103990334,0.18305701039903227,0.1402357502110542,0.20084998353247085,0.18317553190940727,0.03935310944821481,0.02991254842289278,0.05277501736300635,0.058656893701558264,0.10728152900623648,0.7555095126207704,0.40347452851625,0.34904477694660135,-0.09305415773335796,0.17283106102909085,-0.20387290611159606,-0.18736462958236122,0.30983547102021775,0.24592142360420596,0.21539502124990928,0.05806491014480399,0.3125642791433583,0.3125642791433582,0.31256427914335827,0.31256427914335827,0.3490447769466014,-0.1388320541295422,0.32083491769685946,0.4145222127377789,-0.12855709892261433,-0.17964110289726076,-0.17446637015094568,-0.20450458237622443,-0.20475651084542856,-0.06787556581140151,-0.05761703895636549,-0.1665947014006105,0.12685374555260936,-0.20475651084542856,-0.10572513996798454,-0.07507650962907916,-0.18865251806754374,-0.16353502521979202,0.10204249319937837,0.21611262149582697,0.41895859845505334,0.4672632063088479,-0.06512959404338672,,,0.22550506711085702,,,-0.21017400298579547,0.1643546113405895,,-0.02420210815862206,0.1331595391844973,0.019664562094797586,,-0.06512959404338672,0.5409834080664244,0.3688024623220336,,-0.05814742324747556,,0.13907814065416402,0.03100912785143632,,0.08029969916541015,0.08126196490519395,0.1155196652426748,0.13260286311333477,-0.20982247197210285,0.12011693923799681,-0.05915373547414734,0.06485780681430085,-0.13716366540540445,0.06474772804274025,-0.10062440713712559,-0.050204556452216366,-0.14776783017108872,0.1108798756805916,0.07587947587557382,0.20051382107463944,0.115067852447371,0.1793355471811417,0.05192999536502334
1102,-0.08182974708036159,0.02375646984968748,0.09701700685007875,0.007205202289176584,-0.32720998698803627,-0.10863847210721923,-0.057210611088090786,-0.14687127671059713,-0.03489216921582496,0.007265973822221175,-0.32207734201865895,-0.16256852603102165,0.17656198350872815,0.18534234557218085,-0.11003781589866976,0.12165191520589944,0.12165191520589944,0.18534234557218085,0.17513366570596986,0.17513366570596994,0.2010436874753813,0.12165191520589944,0.17441563747368008,-0.010646244977414811,-0.031661870136696316,-0.07687237657452331,0.02338521540739957,0.010158722976165002,0.770749395552936,0.37484903395107194,0.34769208419587433,-0.1359227350016717,0.13495982704660991,-0.2541898314478189,-0.26642736734322575,0.2298786067872046,0.23768617300727102,0.2046242517472785,0.023348216516870447,0.2321699917487744,0.2321699917487745,0.23216999174877442,0.2321699917487745,0.3476920841958743,-0.1332385359568871,0.18380257414750129,0.41005125664673475,-0.14357504257951992,-0.16832457882159185,-0.1523962566836739,-0.17325195483795305,-0.16256852603102154,-0.07992881242195116,-0.08988680007873472,-0.20972820972560963,0.13447919737880787,-0.16256852603102154,-0.18703710130561005,-0.11999340623680295,-0.15524243438643298,-0.15822834133363578,,0.11421809560231835,0.4887948970885226,0.5739490497785964,-0.05411457070207443,,,0.14508057901713764,-0.0038010763540737348,,-0.06627358841897744,0.08496713650665332,0.06276980794269751,-0.015065452923296899,0.060351221106438445,,-0.08983941127622838,-0.05411457070207443,0.5267130947280183,0.43597588884651556,,-0.07568494545904778,-0.04382361062311229,0.11595524963713179,-0.005445656984689126,,0.014620667096624363,0.007205202289176584,0.06280273652059737,0.09070098820265014,-0.38413395763501945,0.12184980904738836,-0.14385477754133358,-0.06923920737025173,-0.06489271922996827,-0.06934109648129239,-0.17367922818829537,-0.1424906344948203,-0.2245039306406095,-0.06342018301317776,-0.09964996777074545,-0.30966398712544657,0.08731805697871522,0.110254504501175,0.09658472054129853
1210,0.05241192747364089,0.05317978600292365,0.018679813594601965,0.032078804778479394,-0.1880273322537179,-0.07594518913905615,0.06000935785829864,-0.0888058819028554,0.00950216275229221,0.03077544744327675,-0.1758940357975369,-0.10122115601194853,0.11325128178592751,0.1056257668273752,0.05414543469441375,0.14087341240263665,0.14087341240263665,0.1056257668273752,0.1125832310031199,0.11258323100311969,0.173727505465668,0.14087341240263665,0.11228187669981099,0.06430869556732899,0.03273295177407886,0.013546938082089035,0.09911013562894484,0.16513905405918014,0.8637033986727872,0.3676067116642334,0.355540392567271,0.1602631252168872,0.19269695226696598,-0.16609645550149413,-0.20725629525818315,0.38462290788668074,0.23329529964591977,0.17092113197241082,0.10187498471423231,0.38372080796212177,0.38372080796212177,0.38372080796212155,0.3837208079621216,0.3555403925672706,-0.10909877059068708,0.14463234712867484,0.47654780570088534,-0.058501688901071096,-0.0800658808308569,-0.09761987329668284,-0.1322632552016272,-0.10122115601194852,-0.05813930786749847,-0.06008067431289039,-0.16526430090413685,0.19413884368080955,-0.10122115601194852,-0.03788717414715043,-0.02993954589639662,-0.10980926485340922,-0.07843410504862494,0.2565092072137682,0.07692557707480718,0.549773864476357,0.5070991255651878,-0.00614832746154203,-0.028896225830508823,-0.047648670974321836,0.3351101601190933,0.009561457078127276,,-0.04230033767846781,0.1709703262277821,0.04764867097432183,-0.033204277775638176,-0.26369509572048655,,,-0.00614832746154203,0.5917158362338213,0.22308862480691236,,0.019699699793212268,-0.10980330445349208,0.1594633449558968,0.03674249889598765,-0.047648670974321836,0.02892474007248629,0.032078804778479394,0.059179546927048,0.07257464459912122,-0.019511138029190255,0.06291053589330231,0.0005798021667894845,0.18407356060297025,-0.12636699795738607,0.18408480948443964,0.06682266761079912,0.009523563315621484,0.06775959883484146,-0.18320096978284345,-0.2305236245003326,-0.05379320009108533,-0.09655680700428454,0.019765226824376873,0.007717932767483091
1215,0.10447264086445822,0.04910412022615962,0.010322609088714439,0.0809957749637172,0.16516312652743817,-0.14617014411993703,0.060960574871069366,-0.037920879947008344,0.02796303626721889,0.08046271196069982,0.17415524518206646,-0.10493503316015612,0.19314046830257067,0.19803651979238673,-0.05539797152468818,0.18695974028672155,0.18695974028672155,0.19803651979238673,0.1932879779572993,0.19328797795730052,-0.08093043806651501,0.18695974028672155,0.19336172834208726,0.015254436925805567,-0.08890494241703671,-0.12183605597885559,0.060229650076701675,0.10543330916002691,0.8101328558924815,0.3416695185229875,0.36017063679101613,0.029872775464928038,0.11715280916286533,-0.11549886356304011,-0.12951342230231055,0.19923654999407617,0.336335320223323,0.21007858914554814,0.05991880729590461,0.20028898327867808,0.20028898327867795,0.20028898327867814,0.200288983278678,0.3601706367910159,-0.16307966753953757,0.13437148654729647,0.3824061861891735,-0.08824587944950693,-0.07064886022975407,-0.11328097684893941,-0.0657811664255456,-0.10493503316015565,-0.023237159745973575,-0.0203615634593747,-0.17124933227413172,0.18250598534611742,-0.10493503316015565,-0.08409396882244732,-0.06533678430320129,-0.11173875197514313,-0.09287060985719077,0.1407474539758955,,0.688880971795565,0.45523965264426464,-0.0965703118796283,-0.0565831505748898,-0.03753699661910581,0.21696127056298747,-0.030969707622944025,-0.25619329425617077,-0.009816494497060875,0.04139033353318192,,-0.10853852298957152,-0.10789245642250782,0.01199675984360018,-0.11145582760005408,-0.0965703118796283,0.5830457357381683,0.40362354961071356,-0.007912843262545724,-0.02274311900101144,-0.04819813891656295,0.1527723114669558,-0.08050051855757319,-0.03753699661910581,0.06879772837242078,0.0809957749637172,0.11997770227358584,0.13895054181019312,-0.08412250885459673,-0.022665352355354357,-0.059200212022753246,-0.01751306357533666,-0.039743451409066745,-0.017125558230495896,0.050341892979896496,-0.05766964731100296,-0.012952384695426963,-0.08305833205131305,-0.09665432613436763,0.13725892685065486,0.01904372281844405,0.07453401578516906,0.13373415262140292
1216,-0.03923766026677059,0.05746802962408345,-0.050027151443801876,0.1106445056093144,0.16074370072125183,0.006781149964726061,0.08752095490225975,-0.08114295379901201,0.07744641678678607,0.11050348070979313,0.17433036287940384,-0.09073088522148248,0.1990187158410297,0.1692108674805487,0.008380858914838602,0.2037150979370398,0.2037150979370398,0.1692108674805487,0.19941371350020595,0.19941371350020565,-0.11444102271559654,0.2037150979370398,0.1996166988691542,-0.12101874283308621,0.09878020602997704,0.018254660904981387,0.07518277069028483,0.22843405355561727,0.6149818473001343,0.4447108830087938,0.3761853413468281,0.10144324486888268,0.27441174786691147,-0.2806456471745731,-0.3238100012525007,0.3882561861600231,0.27273544815499445,0.24811869346284757,0.0757540402596354,0.38586469464222756,0.38586469464222745,0.38586469464222756,0.38586469464222733,0.376185341346828,-0.0943274563189195,0.2026642298834214,0.48775935954858574,-0.04846226339556821,-0.059113278071227966,-0.0913840823041179,-0.09638260714379213,-0.0907308852214825,-0.024600720825953645,-0.029778278935321496,-0.13183749954149052,0.2170522762608453,-0.0907308852214825,-0.014495846717918141,-0.027006968834515414,-0.11523624515137912,-0.07378886506509563,0.30275838274558314,0.1245964263171772,0.27146402528667374,0.4857616754999117,-0.051085729389234745,-0.04845218325403177,,0.19511182624884046,0.05498378641245658,-0.014943427085017464,-0.09094612510609813,0.14759167054174865,0.0874055180657564,0.049657568863120005,-0.05446883631572595,,-0.1632557691145421,-0.051085729389234745,0.4081804501115876,0.21268069795671707,-0.016169126721870822,-0.07055486451849635,,0.13895253135552146,0.0761182912734018,,0.11663621182551755,0.1106445056093144,0.14118530032684876,0.1561840490691724,-0.15898064610224347,0.1864614011565307,0.03017050799867498,0.16712554723648326,-0.14434589247769686,0.16529407281259959,0.12186413879286068,0.040172797453104564,0.12034326588561461,0.036370204727112124,-0.030343284823410855,0.06471676539140869,0.06219837007962097,0.04003238054302367,0.13001428559904848
1303,-0.26319036794441225,-0.03658406918884288,-0.008961273499430534,0.08145700457111912,0.32055750880738193,-0.05155664536988633,-0.04379665760318907,-0.09500070260357184,-0.055732509090304916,0.08207758281337929,0.3291284230734435,-0.10220968427095227,0.1874356022861649,0.18620855432034727,0.03837708729616889,0.2908392085971742,0.2908392085971742,0.18620855432034727,0.1893643151515002,0.18936431515150065,-0.1766392751634778,0.2908392085971742,0.1903426359730504,-0.06434626482215362,0.05108265894146193,-0.028786920185014272,-0.03338016937480778,0.14330601516525474,0.7565683832304693,0.41062898252354396,0.3673031559940236,-0.13619237956850389,0.058430160121408045,-0.18810066159966304,-0.21337027431860472,0.31279623356395736,0.2554870688766399,0.22913407536472571,-0.035643314781944234,0.31320646310958317,0.31320646310958344,0.3132064631095832,0.31320646310958317,0.36730315599402347,-0.14259144223201795,0.26231264613613153,0.45410516282243113,-0.07834601846123677,-0.08125654277464031,-0.12953998575636505,-0.0779214807902815,-0.10220968427095234,-0.040577234058740703,-0.04565187910295939,-0.20891038398660944,0.20666096522250765,-0.10220968427095234,-0.06646824887784902,-0.05544059189045541,-0.09419351682910798,-0.08707270510634203,0.08438571180953816,0.11615300726716993,0.2050377916243496,0.5816182176837711,-0.03753550388748011,-0.034933901151297596,0.02162459635065596,0.09838910562122503,-0.01509947234892146,-0.027817547700066465,-0.1144594388097127,0.21056746053479655,0.10497174246245951,-0.009696401153192619,0.09899095582782953,0.15572203001985194,-0.20840385199286826,-0.03753550388748011,0.4357292689707024,0.09588262871087147,,-0.06864788580651718,,0.13432431341894327,0.02672097524325974,0.02162459635065596,0.09499995855025753,0.08145700457111912,0.11854383787567536,0.13695447357913945,0.06269366977965891,-0.009949513049205641,-0.026039429730960094,0.08717180589418974,-0.1283785706030176,0.08574604856714226,-0.03748568340108456,-0.01802718011489246,-0.03437184673235315,-0.0056363108141009016,-0.14091871225522112,0.09517699352385853,0.10331478129090577,0.07600347413558774,0.13201614699745548
1304,0.092123453780065,-0.08797774267890107,-0.061245661891544886,0.05638497472284442,0.08554556359780788,-0.07184052735054738,0.008190211485627078,-0.05527598534875346,-0.001360826271335787,0.05710153112753467,0.10043151156488353,-0.09002966103455916,0.16680170259940136,0.21462896079246735,-0.07026454685433116,0.19455217311031725,0.19455217311031725,0.21462896079246735,0.1681006266915026,0.16810062669150314,0.15131142054222804,0.1945521731103172,0.1687615438777668,0.2174698539398828,0.12539934667192362,0.15308714823032138,-0.011632065005055574,0.21534547096119286,0.7680840458516935,0.41020271839974864,0.37337441403443394,-0.1395686538680883,0.18247574310553374,-0.21003185880166747,-0.21312083122221206,0.2985868484314503,0.22199089756128984,0.20599106784958088,-0.01669735993003682,0.2967724632197414,0.2967724632197413,0.29677246321974143,0.29677246321974154,0.3733744140344337,-0.14008699512528092,0.18024840278338952,0.43034709525851295,-0.1191399060011105,-0.09043235210864407,-0.08797997780492418,-0.09666483662793143,-0.09002966103455914,-0.06302422430537834,-0.06094391652029419,-0.1548878743992547,0.1059191218090848,-0.09002966103455914,-0.13587853510835635,-0.10724485841756261,-0.09684825273123188,-0.10519885160972912,0.06824358178666728,0.029819355781766824,0.596276325290854,0.4448061496037597,-0.06372578632935873,,0.009411909628831202,0.15852562500884432,,-0.051235792859371326,-0.06674936813993838,0.1639151714773167,,-0.034055238944803716,-0.028305645047202597,0.027634819887973772,-0.02738760582006592,-0.06372578632935873,0.5230673963645376,0.41318248516615863,0.009411909628832494,-0.029225282045750263,,0.09348199716440928,-0.03617093752323561,0.009411909628831202,0.045139639263053914,0.05638497472284442,0.09523146175443893,0.11427375879650499,-0.1499595327407126,0.009968825973033758,-0.08890117812173332,0.028252769311497627,-0.09574068445859102,0.028113701570634857,0.014735214737301527,-0.08410233119901887,0.014216297180429037,-0.06637950945449062,-0.11855785533717329,0.009847873480180297,0.08947056368237438,-0.0050485412366602965,0.08927731890186874
1319,0.018832631424799413,-0.19751580851039774,0.11104835857008574,0.16932700058534267,0.41930903585139223,0.0612037588615546,0.16888461477146413,-0.009503458113042361,0.129075477435693,0.16924478760646067,0.4134702254660474,-0.037550733786943444,0.3031690765818505,0.30572882017358227,-0.14610966569779718,0.12449368240940131,0.12449368240940131,0.30572882017358227,0.301373299557555,0.3013732995575549,0.0756139142184769,0.12449368240940131,0.3002825661038852,-0.14872428481926492,-0.08892909760082297,-0.09117994126555146,0.005210243434839015,0.11087093408104391,0.8160895373329995,0.4645907450293584,0.38905066727143267,0.2297629639942943,0.16948851433427212,-0.20218394601301207,-0.23211757582358158,0.3081418954956299,0.29862395911725553,0.2220076670777602,0.0021072788889083638,0.3090465197972785,0.3090465197972784,0.3090465197972785,0.3090465197972785,0.3890506672714328,-0.1258822926289212,0.35592573517935566,0.44834014860532984,-0.025293664531258822,0.023712393965907037,-0.05685842246561886,0.040281388528517925,-0.03755073378694346,0.05137451590026068,0.0496300627996665,-0.2454117798638252,0.26019334468598937,-0.03755073378694346,-0.012136700828156126,0.007863942159909407,-0.04816281158827524,-0.018953522313348646,0.2626203743567094,0.28506072659598014,0.47439282845969866,0.5487558074930511,0.0759595095928892,-0.12297193099233851,0.029561515476780462,0.2935313958427079,0.045186096859694616,,,0.08573359915430125,0.053129114465688666,0.08914960641200335,0.004535860023966488,0.0024504726041555554,-0.1338901238133683,0.0759595095928892,0.531808600035466,0.34125598517307093,-0.01985832222220994,-0.003825966667066581,-0.022059481941862705,0.14862873033093624,0.10826175824908983,0.029561515476780462,0.16967367362519659,0.16932700058534267,0.2135723793628678,0.23538287745999692,-0.16038624637923748,-0.05604970819803321,0.028916760778511894,0.06565559336609453,-0.08048487261142258,0.06543238630001284,0.21593198876393033,0.032457701099134484,0.2206185756916712,0.015089109190262594,-0.16024873113802357,0.4789730984672225,0.03211075759546486,0.3919287006672725,0.27969600591908395
1342,0.06712212197089118,0.13391752873505866,0.03781686215089446,0.14685539052056937,0.18897745242706387,0.03868496041839115,0.056433255588994154,-0.06090813552068043,0.037707209687758286,0.15023580877213213,0.19888272159965287,-0.08005427455156984,0.2625668119379647,0.26164050692755814,0.02460943929133667,0.0877770418043029,0.0877770418043029,0.26164050692755814,0.26585722140707285,0.26585722140707274,-0.0899640487596893,0.0877770418043029,0.2673884660790606,0.06341229395829931,-0.14275000512790081,-0.14269285352343525,-0.05901364554662645,0.05722524754712923,0.634017034262011,0.3922646139894356,0.41987354229287244,0.30850650436601157,0.18944750250752032,-0.1604338367802253,-0.15082767270909653,0.28027168646959943,0.37216533651737516,0.22392012088593674,-0.05915550881801135,0.276627915806434,0.2766279158064341,0.276627915806434,0.2766279158064342,0.4198735422928726,-0.10230308678156871,0.28435321153415943,0.4320905011702886,-0.09866064992414393,-0.07636324778665933,-0.10928274083348598,-0.06887479114466968,-0.08005427455156991,-0.024802609265154877,-0.04104441647651306,-0.15632551227298883,0.10326855870863107,-0.08005427455156991,-0.17581333069101437,-0.10655320150930231,-0.06162085794133984,-0.08778150000611239,0.35659702372021124,0.06685659833202115,0.5024378046853268,0.2565716968900772,0.022229778030138855,,0.046045251527470424,0.22784110153214765,-0.05146196573969769,-0.03487541402113904,-0.030805069174729343,0.10528909515931671,0.09730349248454351,0.024664991308008997,-0.0631612299398387,0.010636856903491745,-0.03477658909266606,0.022229778030138855,0.352987924539396,0.2098041405698464,-0.028333976899079925,0.015521102919108541,-0.0362005238183537,0.12767103054460224,0.011627537012266187,0.046045251527470424,0.13529647930490332,0.14685539052056937,0.18766394374227452,0.20813423530890104,-0.07701081488515166,0.1323215269896726,-0.14050897180712124,-0.11882769371609134,-0.0007897038337968843,-0.1216634772158267,0.21881362992703857,-0.1444238720491949,0.2107453876402139,-0.03581198668356343,-0.09611591282258111,0.30510615376138933,0.05363604869105678,0.2005836652123859,0.0901174336747066
1476,0.13852947146313166,0.09147124014160361,-0.09687529183302808,-0.05421785410735686,0.19507796203168343,-0.16365661250430358,-0.1572867929542016,-0.191807246341688,-0.1563354593497355,-0.053512702418435094,0.1852901317318089,-0.22482580243539044,0.057213263552766076,0.05547479192646741,0.016223424004347026,0.04202611819972054,0.04202611819972054,0.05547479192646741,0.05658234322362753,0.05658234322362818,0.11034605199807407,0.04202611819972054,0.05627304438644735,-0.07656887127135831,-0.13593146377249157,-0.19722585940590667,0.04718382042224602,0.10283650001564548,0.6738209002416289,0.409118181305477,0.34669261884695535,0.07148670710593391,0.1230941483623631,-0.1526466330681962,-0.10372605235189701,0.2524467823508918,0.29233074741797715,0.2711388217096462,0.04779991665843284,0.2498723349859704,0.2498723349859706,0.2498723349859704,0.2498723349859704,0.34669261884695546,-0.13422545322160476,0.19873022334681748,0.4245307078862159,-0.19394912329256803,-0.22303093802020457,-0.22289372360979026,-0.23128507213514427,-0.2248258024353903,-0.16083508644317054,-0.15657113985048504,-0.2547799049131619,0.18978523308824305,-0.2248258024353903,-0.21080353006906463,-0.16285296901717616,-0.21112636704150134,-0.21314788096573473,0.11584261157775481,0.1485551482003101,0.4044124590047477,0.37725859968553027,0.03575785298725202,,0.06956310227171898,0.2308975027461659,,-0.08669189490311976,-0.13345613608221574,0.14307052723939348,0.04304604140976467,-0.061204278330540374,0.042085192906945325,0.016987151973171927,,0.03575785298725202,0.34272267995812083,0.17644355216141497,-0.007784669124031166,-0.015222461821809046,,0.02516742149558533,0.00576508969898261,0.06956310227171898,-0.056729357848851664,-0.05421785410735686,-0.017412067284414877,0.0010113976351181673,-0.0028021114032842098,0.019028873842844938,-0.1816538937636984,0.019491080273213172,-0.15422825102219825,-0.0028799288453483438,0.21013626533502397,-0.1764446029723318,0.2163924736171581,0.14131078113842774,0.13604275481482195,0.3039395462119016,-0.12469129361076071,0.04926465722600138,0.06259005515639648
