instrument,datetime,BOP,SIN,BETA,HT_DCPHASE,COS,ADX,TAN,DEMA
9958,2021-11-01,-0.2857013492710316,0.8935732486108651,,,-0.4489174193178798,,-1.9905069622128497,
9958,2021-11-02,-0.8333392027046065,-0.957021057791501,,,0.29001843897179425,,-3.2998627990152594,
9958,2021-11-03,-0.14286576715264418,-0.7196167493725367,,,0.6943714668839034,,-1.0363570274595606,
9958,2021-11-04,-0.8333215945907896,-0.7947177508643607,,,-0.606979156529359,,1.309299903160548,
9958,2021-11-05,-0.2857013492710316,-0.7947177508643607,,,-0.606979156529359,,1.309299903160548,
9958,2021-11-08,0.5454580379953495,0.8865574289443598,0.6322514637404275,,0.4626185525717341,,1.9163896994963023,
9958,2021-11-09,-0.5714328835763243,0.9999699956405186,0.45821048865731134,,0.007746471370964314,,129.0871608186216,
9958,2021-11-10,-0.5000176087339351,0.8865574289443598,0.5768046568327839,,0.4626185525717341,,1.9163896994963023,
9958,2021-11-11,0.0,-0.32399593594775833,0.7715767498745532,,0.9460584725530109,,-0.34246925041898374,
9958,2021-11-12,-0.8333215945907846,-0.9840304381123607,0.6784323254782412,,-0.17800027210202657,,5.528252437436342,
9958,2021-11-15,-0.6667018841345319,0.48052877936645005,1.6299831698811051,,-0.8769789576726397,,-0.547936498546893,
9958,2021-11-16,-0.19997464395892478,0.8273973711643074,1.3690687993766761,,-0.5616169425777621,,-1.4732414719660012,
9958,2021-11-17,-0.5000000000000026,0.9392831015983433,1.4821150613219445,,0.3431431990463987,,2.7372919067276533,
9958,2021-11-18,0.39999154798630865,0.48052877936645005,1.0976380654367104,,-0.8769789576726397,,-0.547936498546893,
9958,2021-11-19,0.6249966984495899,-0.957021057791501,0.7278063211176788,,0.29001843897179425,,-3.2998627990152594,
9958,2021-11-22,-1.0,0.027953926546815996,0.6839961110255038,,-0.9996092126379265,,-0.027964854858676988,
9958,2021-11-23,0.39999154798630865,-0.9840304381123607,0.6178550996499681,,-0.17800027210202657,,5.528252437436342,
9958,2021-11-24,-0.18181294300697293,-0.7196167493725367,0.4128494809872631,,0.6943714668839034,,-1.0363570274595606,
9958,2021-11-25,-0.6000084520136973,-0.957021057791501,0.37874435616832325,,0.29001843897179425,,-3.2998627990152594,
9958,2021-11-26,-0.7499735868990973,-0.4307669374145713,0.36065154456358944,,-0.9024632101257485,,0.47732354358749823,
9958,2021-11-29,0.16664318918157658,0.48052877936645005,0.4376008006404929,,-0.8769789576726397,,-0.547936498546893,
9958,2021-11-30,0.6666431891815741,-0.7196167493725367,0.5190108006573153,,0.6943714668839034,,-1.0363570274595606,
9958,2021-12-01,0.0,-0.7196167493725367,0.7326698243930927,,0.6943714668839034,,-1.0363570274595606,
9958,2021-12-02,-1.0,-0.4307669374145713,1.098576908900986,,-0.9024632101257485,,0.47732354358749823,
9958,2021-12-03,-0.2857013492710316,-0.7947177508643607,1.0856551405969046,,-0.606979156529359,,1.309299903160548,
9958,2021-12-06,-0.33332159459078703,-0.7947177508643607,0.6570000295621437,,-0.606979156529359,,1.309299903160548,
9958,2021-12-07,0.0,-0.9840304381123607,0.35538656523087886,,-0.17800027210202657,,5.528252437436342,
9958,2021-12-08,-0.39999154798630865,-0.7947177508643607,0.3528727265340896,,-0.606979156529359,7.979338654819455,1.309299903160548,
9958,2021-12-09,-0.6666431891815707,-0.4307669374145713,0.38999645993370496,,-0.9024632101257485,7.467625018528035,0.47732354358749823,
9958,2021-12-10,-0.5000000000000026,0.8273973711643074,0.3314122303198205,,-0.5616169425777621,7.790316637975013,-1.4732414719660012,
9958,2021-12-13,0.40003380805477134,-0.4307669374145713,0.42553317098658605,,-0.9024632101257485,8.08995885603292,0.47732354358749823,
9958,2021-12-14,-0.5000176087339351,0.8273973711643074,0.5844524399716939,,-0.5616169425777621,7.877873079573365,-1.4732414719660012,
9958,2021-12-15,0.4999471737982097,0.48052877936645005,0.29752381112224613,,-0.8769789576726397,7.897502163749043,-0.547936498546893,
9958,2021-12-16,0.6000084520136938,-0.9840304381123607,0.3327669547911826,,-0.17800027210202657,7.685755936915541,5.528252437436342,
9958,2021-12-17,0.6111071981969292,-0.3093953563004047,0.21801873480175823,,-0.9509334958343542,9.909279254623938,0.32535961521571977,
9958,2021-12-20,-0.5999943653242066,0.8865574289443598,0.21338692363868683,,0.4626185525717341,12.33596366217894,1.9163896994963023,
9958,2021-12-21,-0.16664318918157658,0.8865574289443598,0.2729415553276655,,0.4626185525717341,13.944860421930542,1.9163896994963023,
9958,2021-12-22,-1.0,-0.7196167493725367,0.27515214190976556,,0.6943714668839034,15.226759332017153,-1.0363570274595606,
9958,2021-12-23,-0.5000528262017978,-0.957021057791501,0.30263475820749924,,0.29001843897179425,15.990637116981905,-3.2998627990152594,
9958,2021-12-24,-0.6000084520136973,-0.7947177508643607,0.5799806998307383,,-0.606979156529359,16.28186224852916,1.309299903160548,
9958,2021-12-27,0.0,-0.7947177508643607,0.14822014616090956,,-0.606979156529359,16.342844946833573,1.309299903160548,
9958,2021-12-28,0.0,-0.7947177508643607,0.2457410887495231,,-0.606979156529359,16.399471738116244,1.309299903160548,
9958,2021-12-29,-0.333309854194544,-0.9840304381123607,0.4943723810918189,,-0.17800027210202657,16.769323860747072,5.528252437436342,
9958,2021-12-30,-0.6666431891815707,-0.7947177508643607,0.5072606929264731,,-0.606979156529359,17.269918746890905,1.309299903160548,
9958,2022-01-03,0.6000084520136896,0.8865574289443598,-0.08661209457438143,,0.4626185525717341,18.449261963331107,1.9163896994963023,
