datetime,cum_bench,cum_wo_cost,cum_w_cost
2022-07-01,0.0,0.0,0.0
2022-07-04,-0.038045678808691905,0.00010759599999979138,0.0036418874721218042
2022-07-05,-0.026804995276157435,0.020475249999999997,0.02242564673222514
2022-07-06,-0.04020702427905162,0.004275821999999877,0.005749984675732522
2022-07-07,-0.05360999055231474,0.017286219999999998,0.019056543272958013
2022-07-08,-0.020320021594709352,0.028869861999999878,0.02785118113503464
2022-07-11,-0.01729357557398439,0.034013045999999936,0.03257448859465194
2022-07-12,-0.040639105919049914,0.026268139999999995,0.022880883104875856
2022-07-13,-0.02291344870506736,0.03958922600000009,0.035849219043643535
2022-07-14,-0.02550781308579403,0.04593998400000006,0.041298228492376486
2022-07-15,-0.009078400791806086,0.04340547999999985,0.03787434528414879
2022-07-18,0.007047335902703771,0.06140257399999961,0.05669993125931316
2022-07-19,0.0008988422836405194,0.06230870399999991,0.054447793090089756
2022-07-20,0.017587878469774845,0.06524968599999995,0.055931303791743124
2022-07-21,0.013635409324715374,0.08538754199999989,0.07415084944336253
2022-07-22,0.02417595189178645,0.08585858199999989,0.07470733771814661
2022-07-25,0.02154034761483432,0.10120520400000008,0.08973437341321304
2022-07-26,0.02417595189178645,0.08349229200000005,0.07201225588050889
2022-07-27,0.014513631660243156,0.0872222660000001,0.07523224444297053
2022-07-28,0.03515513699143709,0.08329847599999995,0.07029545945256116
2022-07-29,0.037790741268389216,0.09556874799999984,0.08253886525705177
2022-08-01,0.03735116146544087,0.11535856999999987,0.1023286872570518
2022-08-02,0.023736372088838234,0.11325129199999989,0.10022140925705182
2022-08-03,0.01583143379871929,0.10545788199999989,0.0896335724124778
2022-08-04,0.02197992741778254,0.11058670000000001,0.09667991204798194
2022-08-05,0.03647293912991309,0.12223354399999992,0.10726308329771948
2022-08-08,0.04525609975555982,0.12172914399999991,0.10810556601581382
2022-08-09,0.039985828472024344,0.12346852599999994,0.10984494801581385
2022-08-10,0.03647293912991309,0.12914379799999998,0.11484361427206688
2022-08-11,0.052283752980519765,0.14401571199999988,0.12913247886011353
2022-08-12,0.058870889132162575,0.16286048200000017,0.14678147375419381
2022-08-15,0.06677676469265031,0.16679643400000005,0.15001540456980128
2022-08-16,0.07160745617323756,0.1665708760000001,0.14978984656980132
2022-08-17,0.07248567850876535,0.1700610160000001,0.15194911338617698
2022-08-18,0.06633718488970196,0.17517387400000006,0.1545169450882323
2022-08-19,0.06501938275122596,0.17487070799999999,0.1541503409842622
2022-08-22,0.05404019765157532,0.16461689000000002,0.1433704434659622
2022-08-23,0.04130363061050033,0.16402829400000007,0.1424901936358069
2022-08-24,0.04349965508450424,0.1799710439999999,0.15716885901405975
2022-08-25,0.040864988077920904,0.19675156399999977,0.17541750074374274
2022-08-26,0.052722395513099186,0.20221178999999986,0.18087772674374283
2022-08-29,0.02110170508225475,0.17491848399999993,0.15415817323225944
2022-08-30,0.023736372088838224,0.1975274319999999,0.17674658816004116
2022-08-31,0.01846610080530262,0.22802624000000002,0.20554147370268128
2022-09-01,0.014513631660243147,0.21612157999999987,0.19261592100018085
2022-09-02,0.010999805047763236,0.21136936999999972,0.1878637110001807
2022-09-05,0.0022166444221165104,0.20901822199999975,0.18551256300018074
2022-09-06,0.008365138041179894,0.19519832799999984,0.17169266900018082
2022-09-07,-0.006567453473899006,0.17776808399999977,0.1538015888964887
2022-09-08,-0.007006096006478434,0.19829772399999993,0.17396566545625586
2022-09-12,0.012757186989187584,0.20611541999999972,0.1796858803309746
2022-09-13,0.01978390294377875,0.21398327,0.18647285024708024
2022-09-14,-0.007006096006478436,0.22631886200000018,0.19681792868443665
2022-09-15,-0.0030536268614189633,0.22743593799999998,0.19643330369385936
2022-09-16,-0.010519922618958347,0.21110707399999992,0.1801044396938593
2022-09-19,-0.007884318342006216,0.20330339,0.17194148600138034
2022-09-20,-0.01139814495448626,0.2065352339999999,0.17463486549232682
2022-09-21,-0.009202120480482348,0.19271470599999993,0.16102011470021552
2022-09-22,-0.030283205614624498,0.19413524999999998,0.16044275028573865
2022-09-23,-0.0316010077531005,0.17074171999999999,0.13537763313141402
2022-09-26,-0.0509247109458183,0.13963906999999998,0.10467291605122735
2022-09-27,-0.05312073541982221,0.14517524400000004,0.1102090900512274
2022-09-28,-0.05487718009087777,0.10495167999999998,0.06975519993833304
2022-09-29,-0.06497814285500063,0.11872699999999997,0.08166567029110842
2022-09-30,-0.09264730141115425,0.12248524399999988,0.08671879591405737
2022-10-03,-0.09967401736574541,0.12427568399999989,0.08850923591405738
2022-10-04,-0.08166717904113495,0.14237438199999972,0.10490328102395512
2022-10-05,-0.06453950032242106,0.1359902679999998,0.09856999347610305
2022-10-06,-0.05312073541982221,0.1427409079999998,0.10143177287854263
2022-10-07,-0.05663362476193333,0.13670801599999993,0.09460428771941443
2022-10-11,-0.10406606631375323,0.08156174399999991,0.04080633608517105
2022-10-12,-0.11811949822293542,0.07591668199999958,0.03445038736645078
2022-10-13,-0.11680263335482809,0.03275888599999979,-0.00913444650219053
2022-10-14,-0.10626209078775702,0.07045306199999987,0.02800246234736556
2022-10-17,-0.1220719673679949,0.05567885200000002,0.013338823103863232
2022-10-18,-0.10845811526176093,0.06371602799999997,0.019779482446228795
2022-10-19,-0.11460660888082418,0.06230213599999994,0.019195222849491208
2022-10-20,-0.137444138686022,0.05384041800000012,0.010038570862651697
2022-10-21,-0.12778181845447872,0.04781910399999991,0.004646014775022031
2022-10-24,-0.11504525141340374,0.04872585599999994,0.006809395520471093
