,BOP,TSF,HT_DCPERIOD,TAN,COS,AD,SIN,TRANGE
0,-0.23813613,-0.056934897,-0.06343432,0.05631296,0.17118154,-0.031484205,0.10981214,0.0867179
1,0.1321003,0.0075495355,0.028486721,0.04853174,-0.032321792,0.041453645,-0.00503552,-0.047231074
2,0.17284086,0.074709184,-0.005271355,-0.06871279,-0.0034373114,0.07169833,-0.045062605,-0.0050233593
3,0.023476126,0.042461637,-0.019818075,0.05505249,-0.087267175,0.03647955,-0.045196526,-0.012455552
4,-0.11024985,0.09281584,-0.013302291,-0.0335262,0.03983904,0.0015908623,-0.035683323,-0.053940713
5,0.042374153,-0.032588184,-0.06754478,-0.019976005,-0.055716544,-0.05197519,-0.0850035,0.00758642
6,0.03149977,0.019073434,-0.05790658,0.044458807,-0.01732218,0.08179417,0.045976415,-0.053488076
7,0.05719086,0.02483087,-0.042722207,0.03502803,0.08588815,0.026052343,0.04252962,0.056336083
8,0.028221976,-0.07929493,-0.05643109,-0.025519516,-0.07888355,0.08756157,0.07413068,-0.027804893
9,0.13758987,-0.017516728,-0.030268889,-0.011912102,-0.07034385,-0.029095694,-0.08984386,0.0041964133
10,-0.11688904,-0.047952674,-0.022247164,-0.058162823,0.0002837834,0.059038296,0.03968134,-0.041594036
11,0.03346776,-0.034430403,-0.028057395,0.05664825,0.051195342,0.020630227,0.060864024,-0.034182407
12,0.07213423,0.03149667,-0.0556566,-0.0017386934,0.07780173,0.08259024,-0.011232699,-0.011162662
13,-0.04358189,-0.048442528,-0.11072338,0.004691104,0.06844653,0.06804717,0.11711515,0.059990484
14,0.054779954,0.0008353386,-0.0547384,-0.039417785,-0.001167792,0.031624172,-0.020227926,0.00088717113
15,-0.05666285,-0.03114314,-0.024738435,-0.021956868,0.06008505,-0.06996629,0.0082718115,-0.028633887
16,-0.13787505,-0.06713697,0.02491999,0.051232584,0.06802178,-0.009720608,0.108060576,0.039713405
17,-0.19418529,-0.032013163,-0.12205306,0.06608172,0.1733786,0.07648285,0.08289922,0.11916229
18,0.15770303,0.06347021,-0.049805596,-0.010127989,-0.0021431397,-0.06839979,-0.118658036,0.02101436
19,-0.11807209,0.025790911,0.032369617,-0.051267017,0.0259809,-0.060404725,0.13661362,0.12151556
20,0.043065805,-0.030572504,0.101801425,-0.027850933,-0.15401758,-0.0344318,-0.13273972,-0.07591725
21,-0.030196832,-0.060984127,-0.03183933,-0.066123374,0.06024115,0.009049175,-0.030894184,0.011037204
22,0.077286266,-0.04707318,-0.05993676,0.025537316,-0.057269607,0.039869163,0.06415081,-0.024175946
23,0.11521404,-0.007997335,-0.047019508,-0.03914701,-0.054286424,0.08187214,-0.044487067,-0.0603429
24,0.059009697,-0.00011996046,0.035361663,0.011278698,0.066672854,-0.08774692,-0.053362694,-0.058008626
25,-0.15284614,0.039336674,-0.017522547,-0.086857975,0.045369375,0.060231205,0.12060469,0.019442286
26,0.047783792,0.07408602,0.08175683,-0.06916658,0.010550729,0.032416154,0.014111223,0.055143256
27,0.049465366,-0.041722953,-0.02625003,-0.03156031,-0.08892813,0.044346135,0.0049498486,-0.011298591
28,0.06483051,-0.057088718,0.10000742,-0.010346676,-0.04896465,0.03395656,0.010739515,0.037961833
29,0.05017948,-0.05992132,0.051606383,0.081611514,-0.10919087,0.059395835,0.034645915,0.014487212
30,-0.1358351,0.014762785,-0.07625306,0.0824655,0.1037606,0.013729193,0.11209188,-0.026710814
31,0.1279465,0.037773024,-0.023213474,0.0061289687,-0.09875899,-0.045555785,0.029283466,0.002575008
32,-0.04199402,-0.042853616,-0.09070422,-0.07724183,-0.027685188,0.039418805,0.016510464,0.07117947
33,0.09603241,0.04890589,-0.05527896,0.06788132,-0.0041445307,-0.052587472,-0.11252946,0.022772124
34,-0.011788657,0.010514437,-0.034408055,-0.05992272,-0.008048308,0.055945598,0.04069516,0.09816536
35,0.1417814,-0.04194839,-0.071318716,-0.006164583,-0.09343206,0.07747551,-0.10714819,0.051701285
36,-0.08367134,0.072584756,-0.046597738,0.034221936,0.008608278,0.07442808,0.045498904,0.09075232
37,-0.07501305,0.086913444,0.07182203,-0.014957358,-0.03019832,0.0073170876,-0.019807389,-0.07490446
38,0.01024742,-0.05103019,-0.08037096,0.07285247,-0.015971694,-0.069988295,-0.054585144,0.036612466
39,-0.07370977,0.06994978,0.047871035,0.012620863,0.10668674,-0.03517897,-0.003625961,0.1216789
40,-0.09777763,-0.06446603,0.00846585,0.037750736,-0.023376828,0.0023472395,0.10390381,0.086940534
41,-0.002033887,0.07029758,0.056911863,0.085590966,0.042159453,-0.028427823,0.0018705844,-0.07971473
42,0.12503535,-0.06738447,-0.017277747,0.021794036,-0.006619249,-0.024402672,-0.05295744,0.025064183
43,-0.053690106,0.06499805,-0.08451474,-0.07504211,0.10876234,-0.036478423,0.09077442,0.05706185
44,-0.076990515,0.0021402761,0.021306869,0.020037977,-0.02661448,-0.06308829,-0.002197655,0.07653126
45,0.04467325,0.05341484,-0.014561447,-0.081888415,0.066407084,0.021417713,0.08385487,0.008696355
46,0.13862236,0.022173222,-0.049181104,0.0026277627,-0.08368447,-0.05492454,0.059054606,-0.10256603
47,-0.0026404453,0.06440764,-0.013314974,-0.0068545924,0.06493524,0.010991182,0.06294249,0.049332738
48,-0.10426001,0.0026138558,0.05122358,0.006978781,-0.011500472,-0.040916074,0.1186506,0.0536971
49,-0.0515959,-0.06434933,-0.046857804,0.075121224,0.09272991,-0.029115707,0.03281265,0.04263122
50,0.010090781,-0.048693918,-0.052631702,-0.021785636,-0.094663486,-0.071501106,-0.019971749,0.053840138
51,-0.005502682,-0.054259762,0.06511885,0.033392522,0.055480782,0.056281302,-0.009802579,-0.05672728
52,0.0094971815,-0.033466194,0.02944074,-0.07404243,0.013360703,0.01365251,0.05188935,0.06511964
53,-0.03832765,0.07009415,-0.09923037,-0.06700395,0.08937961,-0.05333637,0.036009364,0.10971962
