,BOP,TSF,HT_DCPERIOD,TAN,COS,AD,SIN,TRANGE
0,-0.07327001,0.053488795,0.00736255,-0.036547855,0.05363364,0.023503643,0.08512285,0.05432578
1,0.110882156,-0.042515956,-0.059076153,-0.040384434,-0.09767148,-0.035576735,0.02135077,0.0019026196
2,0.12348784,-0.024109235,0.036880784,0.029081477,-0.079580426,-0.03207451,-0.08518037,0.017137237
3,0.09842851,-0.010091005,-0.030729977,0.043169655,0.012431382,0.005644848,0.06750989,0.046552498
4,0.16928107,0.088916495,0.06891319,-0.00427194,-0.1265801,0.05665682,-0.06342374,-0.029469835
5,0.11458458,-0.056215797,0.004769962,-0.03500275,-0.015667835,0.009050291,-0.07640717,0.030594684
6,0.046539478,-0.082404524,0.07665868,0.067999676,0.07124567,0.06872697,-0.06600654,-0.003878631
7,-0.0071946234,0.0814554,0.061568823,0.058876637,0.026959848,0.040015582,-0.03279079,0.06936825
8,-0.1944596,-0.07638188,0.03167384,0.057111632,0.13225113,-0.017762817,0.07586182,-0.061201837
9,-0.041301012,0.048436403,0.04001347,-0.0016271145,-0.031398077,-0.0001673385,0.053477,-0.071925975
10,0.1526769,0.05397873,0.06368025,-0.013539175,-0.1102734,-0.06779014,0.045353897,-0.023118688
11,0.0070287995,-0.017131245,-0.012166641,-0.020959292,0.048212975,0.082779765,-0.0011966642,0.08233057
12,0.082114585,0.014708814,-0.05947201,-0.0019714637,0.03852497,-0.06309522,-0.01654258,0.06452781
13,0.052292336,0.072383374,-0.08634809,-0.010075086,0.0060723997,0.043542385,-0.026165556,0.062882796
14,-0.05057347,0.019735822,-0.069679596,0.035098065,0.012860809,-0.010849448,-0.06174973,0.030389192
15,-0.19473194,0.058778558,0.008569237,-0.05221123,0.19399872,-0.013475372,0.06721425,0.12693462
16,0.0653553,-0.04345349,-0.0058989297,0.06655418,-0.06646016,0.051616877,0.018961186,-0.09223031
17,0.05668619,0.068036504,0.04833085,0.03685029,-0.00012459292,-0.035572037,-0.0956611,0.045533523
18,-0.02834324,-0.016096078,-0.018305331,-0.038358327,-0.0009611864,0.07156321,-0.08734617,0.009258779
19,-0.02396815,0.036539868,0.07277145,0.04026591,0.021753564,-0.055509355,0.024023242,-0.03989888
20,-0.012800347,0.043443963,-0.011481279,-0.037321348,0.04253536,0.08278296,-0.01730041,-0.019741798
21,0.13209443,-0.0274351,0.044755284,-0.092895605,-0.04173021,0.10531091,-0.05816242,-0.11429356
22,-0.0001869235,-0.011560088,-0.057707757,-0.036832627,-0.026050877,0.014404324,-0.01341182,-0.04613297
23,-0.02906443,-0.0285337,0.058184966,0.060671385,0.05709721,0.08886172,0.07747306,-0.06719789
24,0.18030068,0.017626092,0.05114195,0.054136585,-0.016181426,-0.053261694,0.04896268,-0.09043995
25,-0.012833127,0.07369003,0.073240645,-0.081372775,-0.060066264,0.082815744,0.08618588,0.0019500656
26,-0.072721824,0.02690512,0.08073998,0.060851492,-0.02697252,-0.041092966,-0.031008119,0.050728213
27,0.20836991,0.09470349,-0.07911619,0.051340003,-0.09057249,-0.03688108,0.024590364,-0.07689666
28,0.035080682,0.028452005,-0.016722783,0.025441457,0.014532161,0.0032606705,-0.068516046,0.07420042
29,0.036932524,0.0073733223,-0.038723473,0.085159436,-0.0426393,0.047422815,0.02440394,-0.012166766
30,0.14416666,0.020438703,0.0699046,0.03984099,0.019544238,-0.07655217,-0.019860579,0.06195764
31,0.08922864,0.080712594,0.08140569,-0.0023264925,-0.051855538,0.06285422,-0.07948215,-0.009631506
32,-0.08551562,-0.0365209,0.08793968,-0.005251088,0.00448221,0.049685955,-0.045044847,0.061718192
33,0.12665778,-0.06428029,0.05390825,0.051799826,-0.02993112,0.050829917,0.037938464,0.023617186
34,0.006706195,-0.04414346,-0.041450333,-0.076375075,-0.0005521254,0.03048577,-0.07535847,0.029026372
35,-0.10706001,-0.010019813,-0.021191979,0.020344757,-0.022610418,0.06064599,0.082931474,0.06361185
36,0.018670153,0.06934661,-0.03855471,0.004596727,-0.06034206,-0.037821725,0.044994943,0.045515783
37,0.07980722,-0.018295106,-0.023775522,-0.03044792,-0.02606526,-0.05308444,-0.074919894,0.048383523
38,0.15197767,-0.056221504,-0.013553803,-0.06688376,-0.1684278,0.0035989254,-0.0632672,-0.07623495
39,0.16462857,-0.07671151,0.016548056,-0.04756028,-0.09605714,0.00719548,0.0326686,-0.096522786
40,-0.09787007,0.017928096,0.08808609,0.07393776,-0.0147431055,-0.019640448,-0.025061186,-0.0039799437
41,-0.064578384,0.016439792,0.020845585,-0.009276388,0.039788153,-0.0101607535,0.083166875,-0.06312571
42,0.06710971,-0.0022227399,0.0024027713,-0.04660594,-0.009560921,0.09069278,0.0412361,0.03338225
43,-0.20243081,-0.009802131,-0.066993274,0.009884116,0.116438374,0.043252636,-0.010186683,0.010162143
44,-0.084065065,0.0527263,0.059401404,0.06644045,-0.027477441,0.021363236,0.007036142,0.07991961
45,-0.19804347,-0.06477255,-0.023644444,-0.0024028625,0.16107291,0.056317825,0.084193595,-0.037418783
46,-0.2247498,-0.005126663,-0.007643582,-0.059688658,0.13925399,-0.034775678,0.061080534,0.105810665
47,-0.07091201,0.045648538,0.07282237,-0.038758114,0.11540348,-0.051284894,-0.046658345,-0.046481367
48,0.048771612,-0.03485017,0.07256539,-0.014283591,-0.006906461,0.060095504,0.0882532,-0.03962166
49,-0.16075076,0.0035211917,-0.028908566,-0.029747741,0.15614057,0.005995879,0.08185959,0.08625188
50,0.30363852,-0.029263893,0.046560064,-0.03717184,-0.07523724,0.0044535175,0.040998902,-0.00054726546
51,-0.13122055,-0.006832737,-0.016733916,0.05677758,0.0546188,-0.06659418,-0.004516315,0.04487328
52,0.112791955,0.063073985,0.031242702,0.0609988,-0.024148403,0.01701089,-0.02254368,-0.02112747
53,0.20693944,0.081236735,0.05852262,-0.08002019,-0.11896931,-0.027788289,-0.0021475393,-0.10659719
54,0.07267623,-0.02745738,-0.013244775,-0.023933277,-0.08907913,0.0048268125,-0.051708277,0.023326451
55,-0.057003163,-0.062451415,0.0067012357,-0.030773453,0.025020083,0.067640126,0.016358366,-0.037802067
56,0.09928437,0.0261701,0.021316716,-0.020471003,-0.11863632,-0.015619033,-0.015859302,0.052256726
57,0.054893605,0.03807194,-0.022837725,-0.019577676,-0.0018954516,-0.03550437,0.05746414,-0.05312542
58,-0.017721148,-0.040569045,-0.059270382,0.06037158,-0.04164521,-0.006944527,-0.06399409,0.07189137
59,0.10746898,0.020776905,0.045519028,0.040866166,-0.107456066,-0.030945491,0.055609796,-0.07114919
60,0.037193373,-0.024408506,0.06290421,-0.07190327,0.044520628,-0.054742124,0.018932132,0.012548471
