,BOP,TSF,HT_DCPERIOD,TAN,COS,AD,SIN,TRANGE
0,0.07367544,-0.030392922,-0.00941208,-0.0034951135,-9.867286e-05,-0.05159242,-0.06267907,0.042311728
1,0.0470418,0.0002300885,0.08031807,0.018638615,0.011883353,-0.0065383883,-0.016286679,0.029467383
2,0.14738843,-0.051954012,0.15055816,0.0596899,-0.06012281,-0.11263555,-0.052490488,-0.0120514305
3,0.012198228,0.01740877,0.10532971,-0.0269703,-0.045176413,-0.08781612,-0.0010238435,0.1044902
4,0.16155772,-0.0618033,0.09674549,0.03828295,-0.07013254,-0.069622874,-0.14908071,0.006462583
5,0.054294292,-0.05018988,0.03374597,-0.025832845,0.060102757,0.043006163,-0.052799515,0.091443434
6,0.07666547,-0.105418935,-0.03591297,0.05632831,-0.020422248,0.030985523,-0.03871339,-0.023158288
7,-0.07319126,0.05998036,0.026954766,0.021385748,0.09835229,-0.045582473,-0.008617782,-0.084633596
8,-0.13377595,0.020729624,-0.1374369,0.06341585,0.08425114,0.005545337,0.10255262,-0.10575516
9,-0.2043981,0.018826362,-0.2186067,-0.046103977,0.13041468,0.10592724,0.18176052,-0.00094603753
10,0.018953016,0.08290343,0.0002993643,0.05381784,-0.01480586,0.031707037,-0.016324263,-0.07749958
11,0.020401731,-0.10054051,0.020531507,0.028459445,0.023232903,-0.088199705,0.011504879,0.08449305
12,0.07958246,-0.020953178,-0.03363329,0.019645534,0.009508387,0.009215192,0.033957697,-0.06582783
13,0.07371938,0.014754599,0.032796685,-0.0250733,0.018110543,-0.07359388,-0.046303786,0.10027661
14,-0.19798791,0.05759192,-0.014716169,-0.027056858,9.716573e-05,0.029767426,0.022759879,0.037671756
15,-0.06119262,0.030943945,-0.16187853,0.055089273,0.09351173,0.12804134,0.08016383,-0.08585086
16,-0.08587869,0.10687147,-0.13911921,0.023457754,0.10440583,0.1786746,0.06502364,-0.015444742
17,0.07522795,-0.05377499,-0.023524744,-0.030934144,-0.077555574,-0.07971143,0.013457345,-0.045936506
18,0.032412566,-0.034243602,-0.019278051,-0.02095469,-0.032834593,0.02880643,-0.025392575,-0.010761478
19,0.0749858,0.012401528,0.084014654,0.016036307,-0.053343706,0.0427395,0.052006904,-0.071430616
20,-0.0026404837,-0.0013800861,0.031797264,0.015690835,-0.09397816,-0.0675001,-0.01358412,-0.000761558
21,-0.03137727,-0.025977971,0.008578011,0.0940153,-0.060439307,-0.119003475,-0.08330595,-0.016873043
22,-0.060926463,-0.07815547,-0.07817562,0.04542054,0.08115491,0.055903498,-0.032997824,-0.046774037
23,0.00011621918,0.005206565,0.039901745,-0.06107908,0.023582214,-0.02145898,0.019373335,0.050288804
24,0.11260535,0.051092837,0.011365807,0.09490592,0.04152483,-0.123137034,-0.122260235,0.0940861
25,-0.032320116,0.05827796,-0.041942447,-0.08175203,0.003844914,0.029755758,-0.04462437,0.008147848
26,0.03241068,0.020238768,-0.1029706,-0.013664187,-0.022759676,-0.0470246,0.045565095,-0.07234739
27,0.008687089,-0.06484755,0.04413419,-0.054203603,0.06916678,0.1009507,0.00996405,0.04244268
28,0.015578302,0.073328726,0.051549945,-0.07157358,-0.047589812,-0.06607046,0.07287539,-0.04031865
29,0.25311196,-0.082702704,0.10612609,0.016842479,-0.0651168,-0.060448427,-0.10925395,0.102766916
30,0.006033963,0.07270451,-0.044152554,0.035361394,0.0070242113,0.025814684,0.0130801415,-0.0067728385
31,0.12110791,0.010133109,-0.013895545,0.06285295,-0.03280428,-0.0004274329,-0.022416476,0.07916263
32,0.036553916,-0.13036814,0.10401746,0.053185824,-0.012055961,-0.12240111,-0.11140311,0.035728972
33,0.019267721,-0.016834063,-0.039402146,-0.043808695,-0.010070557,-0.06969525,0.04668751,0.00016589319
34,0.005984129,0.017099518,0.032763537,0.09524281,0.01777726,-0.0391837,-0.0651481,0.045186035
35,-0.068778336,0.071906224,-0.038225863,0.08171389,-0.037025727,0.024064923,-0.008214142,-0.062113676
36,-0.17537451,0.022007708,-0.15061037,-0.11230891,-0.0026957155,0.1324444,0.101194434,-0.051080678
37,-0.09028596,-0.062769115,-0.06656151,-0.017534077,-0.016893584,-0.023134995,-0.045621507,0.0772381
38,-0.13529922,0.0887119,-0.08421615,0.040272314,-0.029080102,-0.014209644,0.012434758,0.05150007
39,0.0062180813,0.075673446,-0.05507328,-0.08373554,-0.061087854,-0.02832752,-0.019444196,0.061605204
40,-0.11268659,0.017676007,-0.10965867,0.007333563,0.113141045,0.124759294,0.15713389,0.02932754
41,-0.019363418,-0.059291277,-0.03965706,0.046878856,-0.0019253294,-0.08952609,-0.011497059,0.0062550306
42,0.09810354,0.018472131,0.23434581,0.07054383,-0.059917208,-0.13866429,-0.19391225,0.0711451
43,0.04372307,0.056076836,-0.093947396,-0.050322466,0.08724986,0.10288695,0.0101160025,0.046519533
44,-0.20718007,0.033194672,-0.068954244,-0.0690025,0.027182333,0.10171296,0.18352325,-0.0954631
45,0.1498676,-0.0662432,0.017144857,0.04417363,-0.040588368,-0.104319744,-0.052804716,-0.045369737
46,-0.0099596055,-0.045345914,-0.040443838,0.051071428,-0.056685593,0.016318612,0.053643905,0.07032633
47,-0.055324033,-0.04303373,-0.0727195,0.070132665,0.078528315,0.032001637,-0.060365096,0.025468044
48,-0.0072641945,-0.07501655,0.020980766,0.07934179,-0.09811756,0.027309299,0.0036719022,0.03229929
49,-0.11191023,0.027034137,-0.019889958,-0.0107622,-0.056252595,0.06535246,0.10979438,-0.034061175
50,0.065911025,-0.122539006,0.030291222,-0.05675399,0.022702796,-0.12791303,-0.12694275,-0.04810949
51,-0.091130026,0.07337389,-0.054608364,-0.04725265,-0.026109725,0.058457647,-0.012435262,0.009020506
52,0.033008397,0.036960218,0.051132116,0.06357754,0.034377113,-0.10131983,-0.05989714,0.03167787
53,0.12817127,-0.043249484,0.049403355,0.06965507,-0.05083428,-0.037251316,-0.041047897,0.040469438
54,-0.0076386686,-0.05196046,0.053772185,0.05578162,-0.10088925,-0.0063680196,-0.004182674,-0.051493376
55,0.040353026,-0.03245721,0.11478753,-0.06250033,-0.0020738347,-0.04679397,-0.028495867,0.06696471
56,0.16184671,0.050504338,0.037172936,-0.056066927,-0.11078618,-0.11621062,0.0049871937,0.08318044
57,-0.12711388,0.1488131,-0.21586072,-0.091336034,0.12933698,0.11756323,0.14208804,-0.14393106
58,0.053645603,-0.035948034,0.15248811,0.07198879,-0.04235615,-0.10606335,-0.065928824,0.017754288
59,0.12325056,-0.020234251,0.03346921,-0.039343584,0.05648869,-0.11320908,-0.09320442,-0.06701091
60,-0.0725869,0.114754885,-0.099030875,0.02946685,0.10864507,0.13558847,0.13419063,-0.05461688
61,-0.038896877,0.086293235,0.02159836,0.008650607,-0.0390965,0.015264504,-0.009676844,-0.062282655
62,0.13331261,-0.12408244,0.22532696,-0.058661066,-0.11442318,-0.13141167,-0.06731711,0.013196177
63,-0.03772901,-0.005300827,-0.034940805,0.008393271,-0.033772744,0.02308147,0.036243223,0.056444593
64,0.054817453,-0.031152193,-0.09515529,0.062016007,0.0574857,-0.026721606,0.021715727,0.036560856
65,0.05269831,-0.04689168,0.064042434,0.07135678,-0.017127449,0.03887456,0.03598435,0.053046677
66,0.0039030784,0.0102460245,0.001985854,-0.05610994,-0.013030991,-0.04368301,-0.008173494,0.07288079
67,-0.26946533,0.07813259,-0.14218168,0.034210816,0.13890152,0.20228995,0.14196134,-0.023133604
68,-0.019935377,-0.077369235,0.028844291,0.024553416,0.027851628,0.031733703,0.034167416,-0.026711766
69,-0.07326234,0.05466419,-0.03925802,0.024730157,0.0702148,0.028211735,0.004496463,-0.06347847
70,0.08353012,-0.033432648,0.08203513,0.07791845,0.0133080995,0.0399288,0.025998866,0.010307615
71,0.0864374,-0.057941306,0.09159645,0.037488315,0.03531794,-0.040624067,0.021765541,-0.07253219
72,0.17413642,-0.14729364,0.13430147,0.051141866,-0.09810965,-0.20889863,-0.17550948,0.11316971
73,0.019311946,0.023603084,0.10234412,0.064423904,-0.06947417,-0.008115683,0.026512835,-0.014847061
74,-0.0035379757,-0.024695586,0.044480655,0.04379408,0.03369802,0.010452685,-0.043680817,0.08815084
75,0.00889879,-0.014499222,-0.08827531,-0.03238253,-0.027925014,-0.05307537,-0.049675874,0.04099714
76,-0.030376198,-0.02685927,-0.1257284,0.0019979551,0.020357864,-0.04117543,0.023895968,0.044469036
77,-0.13454312,0.11164252,-0.1931394,-0.03136821,0.09447204,0.14204054,0.13392948,-0.119531006
78,-0.036882054,-0.054810148,0.081650965,-0.07159312,0.08185485,0.023904232,-0.04301957,0.012033276
79,-0.04708438,-0.039935302,0.023056922,0.027738247,-0.07919254,0.04852231,-0.048148934,-0.064214244
80,0.05309342,-0.1328591,0.08926004,0.023350036,-0.040335603,-0.016224734,-0.0726654,-0.037155632
81,-0.032127887,0.06491293,-0.014320651,0.05240444,-0.037742946,0.106015116,0.0021099797,-0.07475453
82,0.11292481,-0.087671064,0.012192775,0.08821618,0.057454053,-0.094198614,-0.063489385,0.0020649366
83,0.018990029,-0.019904805,-0.007864397,-0.042730417,-0.02036135,-0.07341893,-0.0639307,-0.07020213
84,0.0047513833,-0.055716977,-0.035930585,0.004457801,-0.054615825,0.10081608,0.1549163,-0.019975392
85,-0.009714943,0.078794286,-0.06004897,-0.066412956,0.049537543,-0.023144545,-0.053507455,-0.067389384
86,-0.008722451,-0.042092726,-0.075342,-0.0795388,-0.010061881,0.08704062,0.11220785,0.008106052
87,0.1266744,-0.11527497,0.09355766,-0.03498675,0.06383105,-0.008949837,0.013030443,0.031473078
