,BOP,TSF,HT_DCPERIOD,TAN,COS,AD,SIN,TRANGE
0,0.024190933,0.063221864,0.0013740807,-0.032821823,0.07448282,-0.021069711,-0.018643577,-0.01728055
1,-0.0041967477,-0.06447953,0.02990967,-0.052634206,-0.064641036,-0.034215666,-0.029714137,0.050805658
2,0.109563775,0.060703598,-0.008843309,-0.028527467,0.033653345,-0.071282245,0.03510418,-0.01571863
3,0.060715806,-0.041853618,-0.008086182,-0.02803181,0.04487183,-0.074612156,0.020884762,-0.08431718
4,-0.060451414,0.048288155,-0.06734299,-0.0116598755,0.038006153,-0.029449241,0.06421415,0.049392622
5,0.14092912,0.050243396,0.08441241,0.08921205,-0.10260144,0.055547435,0.07462175,-0.089429684
6,0.07031164,-0.030460898,0.07091379,0.046988614,0.0012085729,-0.016228322,0.097824946,-0.050291803
7,0.07774337,0.06823817,0.020951668,0.060634904,-0.067798,-0.06299091,0.026316479,0.035794653
8,0.06941445,0.0071445205,-0.0069374875,-0.026196122,0.014314332,-0.059209377,-0.034131654,0.0010033705
9,-0.07221112,0.068195835,-0.07638797,-0.034896567,0.04460607,0.044728488,-0.004480536,-0.06567829
10,0.051595096,-0.0338417,0.0652391,-0.020418951,0.02021694,0.03859272,0.070165165,0.08380966
11,-0.11360231,0.05995537,0.049236562,0.06306034,0.0074105076,0.06449805,-0.03468025,0.043500483
12,0.15597267,0.039211065,0.014737893,-0.017773725,-0.0792262,-0.07920757,0.094441175,-0.07881849
13,0.12950224,-0.083654754,0.00061995146,0.032944497,-0.08099156,-0.070035696,0.11467098,0.020357948
14,0.051702864,-0.017297177,-0.06271839,0.07236223,-0.078337245,-0.10922754,0.08884126,-0.1862396
15,-0.024012212,-0.043072168,0.07806493,-0.03677032,0.10335465,-0.04938575,-0.05570683,0.13707097
16,0.003303128,-0.03974338,0.05397465,0.04807645,0.004115756,-0.05249009,0.02998267,0.01340647
17,-0.07082373,-0.06533238,0.06829075,0.0033870942,-0.06942365,0.027502913,-0.018995984,0.124254905
18,-0.015119334,0.08660038,0.05115189,-0.013856619,-0.016424214,0.07545427,-0.020742856,0.088386804
19,-0.14003344,0.03605493,-0.059172776,0.057188034,0.10912779,-0.048411097,0.021101063,0.15490516
20,-0.02465434,-0.036306925,-0.056732632,0.04506428,-0.0038164037,0.037112918,0.023700844,-0.027243327
21,-0.009315872,0.05262411,-0.03741701,0.09322311,0.034126855,-0.017065633,0.0009401357,-0.09128768
22,-0.074293986,0.034835383,-0.08738029,0.08306942,0.08549007,-0.077711895,-0.005601908,-0.00659915
23,-0.0010234443,-0.07607825,0.05083844,-0.064336464,-0.09416017,0.026806187,0.09669106,-0.102599
24,-0.073488265,0.063491784,-0.04480389,0.067286916,0.08340701,0.08774063,-0.08947135,0.07543484
25,0.05001964,0.03233853,0.056293525,-0.082460016,0.010868122,-0.00080847344,0.05102643,0.07976289
26,0.04465632,-0.017528402,0.06950774,0.042204954,-0.09335553,0.010488111,0.09490113,0.02008416
27,0.052300878,0.005679969,0.06949506,0.07328659,-0.05775514,-0.010361058,0.07573268,-0.078467615
28,-0.03624734,0.060325027,-0.07882518,0.085725434,0.001712277,0.0643135,0.029312732,0.0009765545
29,-0.0035010527,-0.01635565,0.075063474,0.0791163,0.031541217,0.030801084,0.03878764,-0.12032123
30,0.057216406,-0.0017071543,0.030432526,0.07603093,0.020813812,0.0014762144,0.044764306,0.093449056
31,0.021758504,-0.004643179,-0.0033404646,-0.0033522644,0.048978075,0.029322188,-0.0048130495,0.123281956
32,0.08068297,0.05176833,-0.07178563,-0.07789616,-0.05521964,-0.021555653,0.07998752,-0.10855638
33,-0.064351775,-0.06568539,-0.06749821,0.06771698,-0.04243924,0.020663252,0.028688166,0.15168352
34,-0.079785645,0.07454458,-0.0012928608,-0.02288811,-0.07895321,0.0043125227,0.015948465,-0.018026646
35,0.061923165,-0.043135718,-0.019505339,0.029097322,-0.05719806,0.07729093,-0.04864082,0.0017147071
36,0.06496377,-0.07177807,0.020729989,-0.016306758,0.030738726,-0.039803386,0.06543241,0.02415082
37,-0.096250325,0.02672209,0.038846422,-0.03305255,0.08241888,-0.042848874,0.07563342,0.040572397
38,0.049518246,-0.077958524,-0.083009265,-0.062403373,0.011690846,0.07867485,0.030689053,-0.029287994
39,0.04175785,-0.031443603,0.01845147,-0.0011040248,-0.057876226,-0.021498738,-0.0687938,-0.05827812
40,-0.050842084,-0.016876379,-0.031496834,-0.06295277,-0.004441056,0.04679373,-0.04861242,0.029469762
41,0.07938592,-0.05784444,0.08301221,0.067642756,-0.09105857,0.05426208,-0.006815185,-0.079963036
42,0.043151733,-0.042117734,0.061495904,-0.059488177,0.07377758,0.044218298,-0.005845346,0.103486516
43,0.074049465,-0.094670035,0.044123404,-0.007642531,-0.03119812,0.027712036,0.040533997,-0.011529393
44,0.018754702,0.039178755,-0.0076725283,0.04220965,-0.02602275,-0.04507385,-0.020170998,0.022856005
45,-0.030852212,-0.046620656,-0.05855006,0.052783772,0.053379126,-0.0044454453,0.0077168015,-0.012453
46,0.035677128,-0.071239814,-0.0691817,-0.026922308,-0.03857803,-0.033264384,-0.04978731,0.023947917
47,-0.05261792,-0.06285747,-0.0689035,0.06737082,0.022600839,0.0012343583,0.025032276,0.0898895
48,-0.02082051,-0.07450918,-0.08913536,-0.032760087,0.026649952,0.015677677,-0.09189259,-0.049584854
49,-0.011703937,0.0175145,-0.053010117,0.014082117,-0.06350763,0.026162209,-0.048942015,0.054080248
50,-0.038644694,-0.009848602,-0.061490335,0.014691115,0.055590045,-0.029649533,-0.038082518,0.0612777
51,-0.09349058,-0.07894123,0.07256866,0.04403063,0.03046706,0.08083302,-0.030195827,0.06229303
52,-0.07840667,-0.054370802,-0.06271235,0.061086297,-0.06260426,-0.058316104,0.009881142,0.062241435
53,-0.03337215,0.07204374,0.037093814,0.06715361,-0.05012318,0.08938589,0.0397878,0.02806987
