,BOP,LINEARREG,SIN,HT_DCPERIOD,VAR,TRIX,COS,TAN
0,-0.022131646,0.014229425,0.008694267,-0.012573692,0.011147613,0.013265788,0.027524821,-0.009587723
1,-0.0709009,0.030438738,-0.019736178,-0.04855864,0.021738745,-0.08603449,0.106870525,0.020004272
2,0.026933935,-0.031188875,-0.010367547,-0.04299058,-0.010578022,-0.05342642,0.059295487,0.015125285
3,0.06494605,0.017600838,0.060188357,0.078110225,-0.07701013,-0.068107195,-0.06898634,-0.05938784
4,0.008578554,-0.030300546,0.073975764,0.0023488132,0.0610106,-0.024466453,0.00842125,-0.024506077
5,-0.0064540184,0.020335108,-0.04415763,0.059505884,-0.02886578,0.0020306867,-0.04716894,-0.03867053
6,-0.023157807,-0.021178579,0.08621852,-0.043876946,0.048683815,-0.04783933,0.013784501,0.010629857
7,-0.10284767,-0.015360072,0.008042616,-0.037917368,-0.07012731,-0.0143912835,0.08036287,0.046648245
8,0.046053436,-0.09282344,0.06215679,-0.01493065,0.034029238,0.0027100765,-0.046405382,-0.07998917
9,-0.07488329,-0.080266304,0.046669465,0.056585394,-0.024092272,-0.030462671,0.08302996,-0.066266246
10,-0.005409918,0.053288694,0.04844084,-0.012354567,-0.041415125,0.045759495,0.07953796,0.025236407
11,0.030756794,-0.0069470867,-0.03178389,0.0120404605,0.019803353,-0.051769894,0.06177245,0.0011038306
12,-0.09083002,0.0046065487,0.034328427,-0.04623641,0.015690321,0.033760082,0.07378836,-0.03779106
13,0.007468989,0.083906054,-0.08550957,0.052075487,0.022985775,0.06749326,-0.048683893,-0.04306347
14,0.017830392,-0.07442596,-0.038577918,-0.07138266,-0.061651025,0.07162881,-0.071032785,0.016453546
15,-0.08179531,-0.00605228,0.028710347,0.08208168,0.029966122,0.0049391286,-0.055777077,0.025857342
16,0.07893607,0.07120387,-0.06324732,-0.062480874,0.021758702,-0.0015422604,-0.035246525,-0.064606056
17,0.027300432,0.042868864,-0.053010665,-0.06295967,-0.008609022,-0.059482314,-0.044362076,0.04826054
18,0.056452997,0.05715522,0.06079287,-0.07672491,-0.06552268,0.035711188,-0.09969375,0.06627862
19,0.12093014,-0.01651665,-0.05711728,0.025988607,0.059313282,0.07481256,-0.053011157,-0.052961033
20,0.07446101,-0.061841365,0.07438745,0.06052459,0.0792743,-0.034214206,-0.021803679,-0.050051395
21,-0.0014552908,0.044287596,-0.05900589,-0.0604261,0.08660798,-0.030664107,0.021337243,-0.00066464336
22,-0.053826965,-0.046709266,-0.08538776,-0.0014587926,-0.01859363,-0.07391487,0.03210017,-0.0682944
23,-0.08051733,-0.0715461,0.06143022,-0.012175811,-0.004004415,-0.021793358,0.07128557,-0.027870126
24,-0.025506623,-0.063461944,-0.025626725,-0.08403345,0.04160366,0.06585171,-0.04865442,-0.030816514
25,-0.046655215,0.029697463,0.021833861,0.07851643,-0.077815436,0.07130811,0.09263187,0.011817731
26,-0.0568755,-0.007081899,-0.015711773,0.05234507,0.06332713,0.019629098,-0.060616195,0.017840575
27,-0.024581285,-0.03370331,0.046216484,0.07918793,0.0708049,-0.0073860036,0.021605195,0.08098315
28,-0.018686883,-0.06943654,0.04109952,-0.08923947,-0.086429305,0.046378355,-0.08206132,-0.013885474
29,0.02743944,0.04543437,-0.0002235442,-0.0039595664,-0.0748217,-0.078222945,-0.017021146,-0.009982681
30,-0.055247307,-0.046618078,0.006536768,-0.085626,-0.036204346,-0.019651415,0.07738732,0.052056126
