,BOP,LINEARREG,SIN,HT_DCPERIOD,VAR,TRIX,COS,TAN
0,-0.21370307,-0.052463114,0.054608747,0.075964294,0.08748853,-0.018314824,-0.06429262,0.09027845
1,-0.16632007,0.093785115,-0.036994055,0.031347465,0.01737386,-0.004230224,-0.0633889,-0.0516649
2,-0.021067835,-0.0037950962,-0.025376618,-0.08803135,0.03702999,-0.029477114,-0.07858223,-0.057422843
3,-0.021769077,0.08224735,0.07283003,0.061266866,-0.06629441,0.0448957,0.0438819,-0.012618228
4,-0.12666321,-0.046480738,0.02211355,-0.048671823,0.02329346,-0.046332266,0.051314194,-0.014769079
5,-0.20038535,-0.06659343,0.05958575,0.022017041,-0.036484696,-0.058678985,-0.06006111,0.0059324373
6,0.096592665,-0.062429044,0.053515352,0.08576038,0.06985902,-0.08350113,-0.04507035,-0.0059575606
7,-0.110162474,-0.0068971515,0.13042761,0.054470073,-0.00084469817,0.07779574,0.08159018,0.06697056
8,-0.006607434,-0.039314047,0.00037380352,-0.07649918,0.048246335,-0.0550704,0.0045302967,-0.069922075
9,-0.12093214,0.00047941072,0.03419476,-0.07238935,0.017896105,0.085143454,-0.012200069,0.0068616476
10,0.055955485,-0.023709668,0.036908332,-0.0407733,-0.04553847,0.054447014,-0.012357801,-0.020178486
11,-0.114614725,-0.024315301,-0.04250755,-0.0062904013,-0.033167746,0.07677034,0.055143937,0.05985757
12,-0.13493216,0.044979796,-0.015964013,-0.07848495,-0.011776266,-0.004117533,-0.06478882,0.07642555
13,-0.015379415,0.072672114,-0.016015219,0.06537114,-0.06014443,-0.016731368,0.06368344,-0.07551772
14,-0.08603454,-0.086294666,-0.04331596,-0.03945231,-0.07499789,-0.015362997,0.066509426,-0.026456377
15,0.029001309,0.07783191,-0.087920815,0.0026522856,-0.08670276,-0.05309727,-0.06529803,-0.09693873
16,-0.02122626,0.026461877,0.023500735,-0.0858318,-0.033174705,-0.05336514,0.08248684,0.0026029411
17,-0.10824825,0.03867099,-0.021326222,0.04241394,0.05376173,-0.08333383,-0.0744755,0.08327626
18,0.044206772,-0.01312168,-0.10105319,-0.06410057,-0.028083518,-0.058228265,-0.045519073,-0.022440944
19,-0.081896305,-0.029181827,-0.029172845,0.07938485,-0.00034232478,0.07022895,0.04811043,0.10758842
20,0.0929172,0.06332019,-0.11183752,0.04924911,0.053948477,-0.09104234,-0.0010287964,0.0137331635
21,-0.11706923,0.0143607445,-0.03857607,0.058113635,-0.036419917,0.06614983,-0.08423372,0.047438517
22,0.045342512,0.03000615,-0.06144976,-0.029616207,0.01797667,0.0028372526,0.04040471,-0.03147825
23,0.23531787,-0.04420163,-0.12084376,-0.022301449,0.037387162,-0.08894295,0.016985042,-0.083897166
24,-0.032622084,-0.03756156,0.013328273,-0.05919725,-0.026073968,-0.010938686,0.040901665,0.0786543
25,-0.12023161,0.03522892,0.094520524,-0.07062591,0.10319448,-0.06203956,-0.076935515,0.07684964
26,0.00644259,-0.012382685,-0.018019175,0.0573837,0.097787715,-0.062321093,-0.00049607176,-0.033822972
27,0.11184678,0.048395894,-0.013464832,0.06786431,-0.004154267,-0.072742864,-0.074394085,-0.026896961
28,0.097365454,0.06334879,0.004228089,0.06671654,-0.042550743,0.048334982,-0.041818112,0.042294554
29,-0.20955388,-0.0009514984,0.042954657,0.020183366,0.05265672,0.01796238,-0.079262875,-0.044261612
