,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T0102,1476,1560,1590,2049,2330,2345,2379,2383,2454,3443,3529,3661,4966,5269,6531,6643,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1590,2049,2379,2454,3227,3443,3529,3665,3711,4966,5269,5425,6488,6510,6531,6643,6679,6683,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,2059,2329,2330,2376,2382,2383,3035,3131,3231,3583,3653,3661,4746,4966,5289,6235,6274,6531,6669,8155,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,2330,2337,2408,2454,2912,3037,3661,3680,4147,4572,4746,4966,5269,5607,6143,6235,6589,6643,6781,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1476,1515,1560,1590,1722,1723,2031,2049,2105,2233,2330,2357,2458,2606,2707,2890,3008,3042,3376,3529,4105,4746,4966,5009,6143,6187,6279,6531,8016,9802,9938,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1319,1519,2385,2388,2412,2455,2492,3036,3105,3217,3227,3260,3264,3374,4105,4162,4506,4904,5009,5269,5287,5347,5371,5439,5483,5904,6121,6138,6147,6231,6469,6472,6488,6531,6561,6643,6679,6732,6803,6811,8086,8279,8299,NA
T0313,1319,1477,1519,2313,2385,2388,2412,2449,2455,2492,3036,3045,3105,3217,3227,3260,3264,4162,4904,5269,5371,5439,5904,6121,6138,6147,6231,6469,6472,6488,6531,6561,6643,6679,6732,6803,6811,8086,NA,NA,NA,NA,NA,NA
T0314,2301,2303,2308,2313,2317,2330,2345,2357,2368,2379,2382,2383,2412,2454,3008,3017,3034,3037,3443,3529,3653,3711,6515,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,2303,2308,2313,2317,2330,2357,2368,2379,2382,2383,2412,2454,2881,2882,2885,2886,3017,3034,3443,3529,3653,3711,5269,6515,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,2006,2014,2031,2049,2211,2303,2308,2313,2330,2345,2357,2368,2376,2377,2379,2382,2383,2454,2455,2458,3005,3017,3034,3035,3231,3374,3443,3515,3529,3653,3711,4961,5347,5483,6223,6285,6488,6531,6669,8299,NA,NA,NA,NA
