,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
T0102,1301,2002,2330,2881,2883,2912,3008,3289,3443,3661,3708,5425,6279,6443,6477,6491,6505,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1536,2059,2103,2890,2892,2912,3443,3533,3661,3665,5009,6143,6235,6279,6443,6477,6669,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,2059,2330,2368,2412,2634,3008,3042,5425,5483,6271,6279,6443,6477,6488,6643,6669,6683,8069,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1402,2059,2103,2330,2368,2408,2412,2912,3526,3661,3665,6443,6472,6533,6643,6683,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0129,1513,2059,2330,2368,2412,2634,3008,3042,3533,5425,5483,6271,6279,6443,6477,6488,6643,6669,6683,8069,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1101,1102,1216,1301,2002,2330,2881,2882,2883,2891,2892,2912,3008,3289,3443,3708,5425,6279,6443,6477,6491,6505,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1216,1402,1513,1795,2317,2812,2834,2890,3088,3546,4105,4162,4175,4506,4541,5009,5289,5371,5903,6180,6469,6472,6561,6803,8279,8349,8420,9917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1216,1402,1513,1605,1795,2105,2308,2317,2345,2412,2812,2834,2890,3045,3088,3546,4105,4162,4572,5009,5371,6180,6469,6472,6561,6581,6803,8349,8420,9917,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1560,2303,2308,2313,2317,2330,2345,2368,2382,2383,2412,2454,3017,3037,3443,3533,3653,3680,3711,5274,5425,5434,6285,6488,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1560,2303,2308,2313,2317,2330,2345,2368,2382,2383,2454,2881,2882,3017,3035,3037,3443,3533,3653,3680,5274,5425,6279,6285,6488,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1101,1504,1795,2002,2027,2301,2303,2308,2317,2330,2337,2345,2368,2382,2395,2504,2634,3045,3264,3443,3533,3558,3653,3711,4105,4904,4915,5483,6269,6285,6505,6803,8069,8422,9933,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1590,2002,2006,2603,2618,2707,2723,2912,3708,5871,6505,8926,8938,9910,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1303,1476,2002,2059,2301,2303,2308,2317,2330,2345,2368,2377,2412,2454,2618,2707,2881,2884,2885,2886,2891,3017,3023,3037,3533,3665,3711,4551,5347,5425,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910
T0410,2059,2301,2303,2308,2317,2330,2345,2351,2360,2368,2379,2382,2383,2395,2412,2454,3017,3023,3037,3413,3443,3529,3533,3665,3711,4919,5274,5425,5434,6121,6271,6488,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1216,1303,1476,2002,2059,2301,2303,2308,2317,2330,2345,2368,2412,2454,2618,2707,2881,2884,2885,2886,2891,3017,3023,3037,3533,3665,3711,4551,5347,5425,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910,NA
T0502,1477,1795,2308,2313,2330,2345,2360,2368,2376,2412,2454,3017,3443,3491,3533,3596,3653,3665,3680,4551,5274,5388,5425,5483,6279,6472,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1477,2308,2313,2317,2330,2345,2360,2368,2376,2412,2634,3017,3443,3533,3596,3653,3665,3680,5425,6279,6472,6643,6669,6683,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,2308,2313,2317,2330,2345,2360,2368,2376,3017,3443,3533,3653,3665,3680,4551,5425,6472,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
