,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T3203,1476,1477,2002,2303,2330,2707,3017,3037,3324,3443,3529,3532,3533,3596,3653,4919,4966,5269,5425,5483,6415,6488,6515,6669,6679,8046,8069,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3205,2330,3037,3189,3443,3529,3533,3653,3665,4966,5269,5274,5425,6271,6415,6515,6669,6679,6756,6781,8046,8069,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1476,2006,2014,2308,2330,2455,3017,3037,3324,3443,3529,3653,3665,4551,4919,4966,5269,5274,6415,6446,6488,6515,6669,6679,6781,8046,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,2308,2330,2345,2454,2455,2707,3017,3023,3037,3189,3324,3443,3515,3529,3533,3596,3653,3665,4919,4966,5269,5274,5425,6415,6488,6515,6669,6781,8046,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3228,2330,3037,3189,3443,3529,3533,3653,3665,4966,5269,5274,5425,6271,6415,6515,6669,6679,6781,8046,8069,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1305,1537,2002,2006,2015,2034,2303,2330,2382,2385,2393,2449,2548,2707,2886,2891,3037,3044,3211,3596,3702,4551,4915,4958,5434,5483,5534,6121,6176,6274,6488,8046,9933,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,2002,2233,2303,2330,2344,2454,2603,3006,3035,3037,3189,3443,3526,3529,3653,3675,3714,4966,5388,6271,6415,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3501,1560,2030,2330,2368,2383,2454,2603,2610,2615,3006,3017,3035,3037,3189,3529,3532,3653,3665,3675,3701,3707,4721,4966,5274,5351,6104,6138,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,2308,2330,2344,2351,2454,2882,3017,3035,3037,3105,3529,3532,3661,5269,5274,5483,6415,6491,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,2308,2327,2330,2344,2376,2408,3035,3037,3105,3189,3406,3529,3532,3661,4919,5483,6223,6269,6415,6488,6732,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1477,1565,2303,2308,2327,2330,2344,2454,2455,2481,3035,3037,3105,3189,3406,3529,3532,3661,4919,5483,6223,6269,6488,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,2303,2330,2338,2368,2383,2610,2618,3006,3017,3035,3037,3141,3189,3228,3529,3533,3624,3653,3661,3675,3680,4919,4927,5274,5425,6182,6187,6271,6706,8046,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,2303,2330,2338,2351,2368,2383,2458,2481,2610,2618,3006,3035,3037,3141,3189,3228,3529,3533,3624,3653,3661,3665,4919,4966,5274,5425,6121,6187,6271,6488,6491,8046,8069,8155,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3707,2303,2330,2338,2383,2387,2481,3035,3131,3141,3189,3228,3264,3413,3443,3624,3653,3661,3680,5425,6187,6271,6719,8046,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3714,2303,2330,2338,2379,2383,2610,2618,3006,3035,3037,3131,3141,3189,3228,3443,3529,3533,3624,3653,3665,3675,3680,4755,4919,5274,6187,6271,6415,6679,6719,8046,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3786,1216,1476,2227,2233,2303,2313,2330,2368,2376,2383,2458,2618,2881,2886,2892,3006,3017,3023,3035,3037,3045,3141,3189,3661,3702,4919,4927,5425,5483,6121,6147,6271,8046,8069,8155,9941,NA,NA,NA,NA,NA,NA,NA,NA
T3803,1301,2002,2308,2317,2330,2368,2379,2382,2454,2481,2610,2881,2882,2884,2886,2891,3017,3035,3037,3189,3413,3533,3653,4919,4966,5871,6669,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,2239,2330,2368,2376,3008,3017,3037,3152,3189,3217,3324,3413,3552,3596,4551,4919,6271,6274,6279,6670,6781,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,2006,2330,2344,2382,2454,2615,2618,3006,3016,3037,3443,3526,3707,5009,5388,6182,6206,6284,6470,6488,6533,6612,8215,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,2002,2027,2303,2330,2344,2368,2382,2383,2548,2610,2618,2637,2882,3035,3037,3189,3443,3533,3596,3653,3665,3707,4919,5009,5274,5347,5388,5425,5434,5483,6592,6669,8046,8069,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1301,1476,2006,2031,2303,2308,2330,2357,2368,2454,2455,2603,2881,2891,3023,3034,3042,3189,3293,3416,3533,3707,5269,5347,6279,6285,6488,6491,6669,6679,8046,8255,8299,8454,9911,9921,NA,NA,NA,NA,NA,NA,NA,NA
T4301,2330,2383,2481,2610,3035,3037,3105,3189,3324,3533,3653,4927,4966,5269,5274,5425,6104,6182,6271,6669,8046,8069,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4502,1477,1565,1795,2006,2014,2027,2059,2233,2303,2313,2330,2476,2481,2603,2610,2615,2707,3037,3131,3532,3592,3596,3624,3665,4536,4736,4770,6271,6477,6788,8046,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,1590,2059,2303,2308,2313,2330,2379,2395,2454,2603,3037,3189,3443,3532,3533,3596,3653,4551,4966,5274,5288,5388,5483,6271,6415,6488,6491,6669,6719,8046,8155,8299,9907,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,2233,2330,2610,3035,3037,3131,3141,3483,3533,3592,3661,4966,5347,6138,6274,6411,6488,6531,6716,6719,6732,6747,8046,8422,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,2337,2344,2379,2454,2603,3034,3035,3037,3413,3587,3592,4961,4966,6104,6411,8016,8422,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,2330,2368,2376,3017,3035,3037,3081,3131,3141,3533,3592,3596,3653,3661,4953,4966,5274,6104,6182,6488,6491,6679,6719,6732,6756,6781,8016,8046,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4801,1303,2002,2031,2301,2330,2368,2383,2603,2606,2618,2886,2890,2891,3017,3037,3533,3702,4938,6548,8046,8069,8114,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,2301,2330,2368,2383,2412,2603,2886,2890,2891,3017,3037,3045,3533,3653,3702,4904,4938,6548,8046,8069,8114,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1215,1308,1709,1712,1720,2303,2330,2357,2420,2423,2430,2441,2454,2504,2850,2851,2881,2882,2883,2885,2887,2890,2891,3028,3033,3036,3209,4722,4942,5434,6257,8112,8422,9911,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA
