,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ADD,DIV,MAX,MAXINDEX,MIN,MININDEX,MULT,SUB,SUM,ATAN,CEIL,COS,COSH,EXP,FLOOR,LN,LOG10,SIN,SINH,SQRT,TAN,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,TRIX,ULTOSC,WILLR,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,CDL3INSIDE,CDL3OUTSIDE,CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHOMINGPIGEON,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLRICKSHAWMAN,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI,CDLTHRUSTING,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ATR,NATR,TRANGE,AD,ADOSC,OBV
2449,0.12792372341321667,-0.11817959328210907,-0.08985067977821491,0.029947880228015134,-0.14750891005156436,-0.06472267859372353,0.05091875448430181,-0.1518644100982289,0.01855784864894915,0.03062675759681177,-0.14149508581781514,-0.15872865914940903,0.11484936697402387,0.10956568338437406,0.10118029619766276,0.09117591118146116,0.09117591118146116,0.10956568338437406,0.11272703066822863,0.11272703066822864,0.0066711724612215535,0.09117591118146116,0.11169855511002091,-0.01216797686595427,0.055991203481695104,0.20179122346327197,-0.005208025807456168,0.21811862298655127,0.7343868404273438,0.4463093273210352,0.35394629185788073,-0.19693337549806353,0.2292600321153413,-0.30738471555507246,-0.20504415135639636,0.3403344735047717,0.25557800687350396,0.26092682617108365,-0.004807907324161349,0.3433327391419873,0.34333273914198725,0.3433327391419874,0.34333273914198736,0.3539462918578807,-0.217383175821551,0.26124072375238083,0.4460475498911512,-0.1731153825354987,-0.16241682738159302,-0.12395931607238687,-0.16712818377355906,-0.1587286591494092,-0.16164060687323006,-0.15626954120460193,-0.14549008088738963,0.15088888544731496,-0.1587286591494092,-0.12600725558700537,-0.1542329739618492,-0.17765658831615738,-0.18177231368754362,0.16369297542803335,0.11197191864258,0.5780508755090971,0.5987878081141519,0.05321315376915694,-0.08469758102192562,0.020949458330721777,0.22584781375026997,0.03015069386783295,-0.04452431371770687,-0.05919118454348528,0.181653310865484,0.05862335172860079,-0.03609179580043836,0.02511502376990959,0.09686979664747819,-0.08235126640448594,0.05321315376915694,0.5473694726282551,0.45340629553733414,0.0015248552086127114,0.048900879240586025,-0.19145810429178736,0.1968148790626573,0.030749274040171002,0.020949458330721777,,0.029648836005070116,0.029947880228015134,0.057018252920861316,0.07052082070943405,-0.02488172782701487,0.04398136057444921,-0.06523603164702967,0.18369141385754365,-0.24335381585927338,0.18298420795056228,-0.13787089434880556,-0.046326754002884135,-0.18070106686398632,0.1154766190324381,0.07129956437998058,-0.15738984921738772,0.0433776054128998,0.1698103328781733,0.036670497958847595
2454,-0.024561590815143947,0.08282893359588028,0.050072055465454755,0.1003057142118442,0.14893338626046135,-0.028785948249754834,0.1276005594801334,-0.14961657567612013,0.049964564207734284,0.09956968741607368,0.1956480426025465,-0.14556481229376586,0.18548726794895667,0.18390159886992147,0.13475582903321584,0.10576094545986992,0.10576094545986992,0.18390159886992147,0.18476062119415287,0.18476062119415262,0.05606461844146777,0.10576094545986992,0.1844333361098072,-0.028298042193830645,0.03396795153221913,0.11520282566918365,0.05562291590561325,0.2551299086417393,0.6551358671461189,0.4621798971983795,0.3440891044172006,-0.09671107903169,0.21122525136684847,-0.28163161750155385,-0.1828990520711182,0.3429899817563532,0.26687810130500905,0.29237950129900425,0.060428964471260574,0.35255119835306264,0.3525511983530626,0.35255119835306264,0.3525511983530627,0.3440891044172006,-0.07336053297421347,0.3522364753849679,0.46150810917208995,-0.10806791206873317,-0.1351555871729765,-0.1159191620865751,-0.1449445975507391,-0.14556481229376592,-0.07577445145724482,-0.09442215904022502,-0.17634056109137966,0.20071891940829753,-0.14556481229376592,-0.057013711678322226,-0.06779344512201729,-0.1587475859821887,-0.143329446606399,0.11491312211262024,0.2061222510348541,0.16189403278179812,0.5138795957491754,0.02072379783022926,-0.09177941370260946,,0.18996635691235708,-0.1034067483256755,-0.04894003574873089,-0.22980454099161096,0.06483619002182842,0.01283412088300551,0.059772026153457225,-0.27492851502832716,,-0.1034067483256755,0.02072379783022926,0.48835873190360596,0.18880596973572059,-0.0037882669236735996,0.08919144327079351,-0.07238151943696595,0.12761693913861477,0.11093197003567286,,-0.017598857432197083,0.10367851339105141,0.1003057142118442,0.12877318589599848,0.14283199080126377,-0.21358069527258924,-0.01127402488942595,0.0013257742844855341,0.221838276287718,-0.2017348445423026,0.16763495337956794,0.09768376939065614,0.016532101334441742,0.12761261633522603,0.14735467155955306,0.046801601669356915,0.3310825845593245,0.027241663100305163,0.25440027648147606,0.0709334734690474
2455,-0.014470543591159951,0.03299179074248207,-0.05719709484005288,0.07321830219892274,0.084258509565002,-0.08859902191666774,0.13310533588181567,-0.1400075936546511,0.11469185931346997,0.07673400349752449,0.12038428251603395,-0.1515930359519632,0.1745766364706552,0.18249618573885293,0.06973457419129889,0.2160677948637171,0.2160677948637171,0.18249618573885293,0.17812614302526558,0.17812614302526508,-0.03848670721257778,0.2160677948637171,0.18019343919308553,0.022719691178406866,0.14336526302096048,0.10411681568298033,0.07082721868726462,0.1316084451723716,0.782434839642439,0.4439932766654796,0.38823838721417203,-0.03197991697711071,0.27220588175088306,-0.30334869062750835,-0.2381220831315418,0.3364605454894023,0.22176557551985404,0.23597311809845525,0.07975355327804412,0.3406177163773714,0.3406177163773713,0.34061771637737137,0.3406177163773715,0.38823838721417225,-0.024474097304378436,0.355797149703875,0.47551269638116095,-0.1179853252432788,-0.14323066693186706,-0.13008310018766797,-0.16807429861550968,-0.1515930359519633,-0.09570361534160093,-0.11613164950098509,-0.18334919497377905,0.16490590052503912,-0.1515930359519633,-0.08297270713952608,-0.07861208507486818,-0.1575780474430511,-0.14561429764848552,0.16550966739494122,0.13635452172550833,0.6194062670701953,0.5565774926524796,-0.028553209866494424,-0.09635623913109233,0.05865340839596808,0.15410106356150505,-0.0023834558800943815,-0.13513280496118885,-0.1237269130468826,0.15042865050431195,0.06533221376924411,0.00045691542875323865,0.1336587887141153,0.11044473626225938,-0.06312020750591286,-0.028553209866494424,0.604331204442135,0.47003007288488435,-0.005751080851058831,-0.07016777177162926,-0.05967003586013236,0.10389040310531869,0.04086557427696166,0.05865340839596808,-0.03541406279953518,0.07187182651220678,0.07321830219892274,0.11041701344511771,0.12875981778909643,-0.07318008376314805,-0.023715234344655348,-0.023347143994004272,0.16484487672625264,-0.19228643191972636,0.16003396624207153,-0.062420170677261425,-0.007619554994888969,-0.052215754286238945,0.07167528457148122,-0.0754141639214833,0.1110320253402227,0.1046645672086023,0.21007186366086264,0.26953976312247824
2458,-0.12834781301499104,0.03825824393376257,-0.06348658373377278,-0.12448857371192534,-0.10598713542022824,-0.1754815278903158,0.19415180071637383,-0.18638110558006396,0.14808956639934176,-0.13011178581102958,-0.17269156847252973,-0.18918740564874115,-0.042578355420728776,-0.05731605672990599,0.05627368463731382,-0.16507460279234606,-0.16507460279234606,-0.05731605672990599,-0.05070715403031347,-0.05070715403031363,0.057725381174818076,-0.16507460279234606,-0.054564601864708934,0.07085881209263879,-0.07666633290585263,-0.06457278041627323,0.05331434097614357,0.18240884050446998,0.7125228415658431,0.4649702400542081,0.375785467836911,-0.31808205049374016,0.19617675358863645,-0.26154382979417173,-0.19827043724180865,0.28663156438996085,0.32055788288977705,0.32697659940740464,0.05346014090141177,0.3039857927833767,0.30398579278337695,0.3039857927833767,0.30398579278337684,0.375785467836911,-0.10931454716319737,0.28817228021582353,0.4424112784295148,-0.1964918411778523,-0.19095140734235402,-0.1978052275466451,-0.20234677459126058,-0.18918740564874115,-0.16577093705065649,-0.17759548401518363,-0.24722864865891533,0.24401850575562656,-0.18918740564874115,-0.2201616148167816,-0.19980838778497695,-0.1842581501631746,-0.19356783508417735,0.16040570483429548,0.07366226493221495,0.5401729402235103,0.3419892297281979,0.02679379742663636,-0.02285040635739412,0.013670384750909353,0.21058020894030052,-0.01918070125534367,-0.08653317927807501,-0.111459298458392,0.1747777588004097,0.05260977501296426,-0.03930209206271298,0.16898603004029528,,-0.06215701073909315,0.02679379742663636,0.47478446580339945,0.19848146458958202,0.020794563909826102,0.027892961365901855,-0.07210066728575389,0.12577104240698345,0.06944409968667002,0.013670384750909353,-0.02511912228279273,-0.12734704156716561,-0.12448857371192534,-0.10270079332156433,-0.09168716325307653,-0.2153951229353473,-0.2722783182377014,-0.20440513773175636,0.0610992700785521,-0.17894484961367033,0.042275137563729415,-0.15611069487337503,-0.20337748814425743,-0.18781571539314057,-0.04106841334613035,0.002549541642277111,-0.19098338065342527,-0.09753346159442174,0.19328652262648974,-0.11017647447875809
2474,-0.08669705221290386,0.048298989571554894,-0.010901456745577557,0.03948443461035091,-0.11665421582932116,-0.01851804663752115,0.021445826827860046,-0.06018439985420338,0.010146063417196418,0.03977624205951594,-0.11625141479667218,-0.04260652749474682,0.14180538447502486,0.14681939649082648,-0.1881651196558706,0.0993952690239794,0.0993952690239794,0.14681939649082648,0.14163889367628466,0.14163889367628402,-0.13524245319767114,0.0993952690239794,0.1415010006428338,-0.0538335049407743,-0.06700311329380045,-0.11733856068687018,-0.031160350576044455,-0.006207569909041954,0.7735236822123915,0.37323018097574867,0.39244691778931046,0.03663312976156361,0.15037909753017542,-0.16739278548313963,-0.16439262317936104,0.2611879238098563,0.2306677557989689,0.20958078790429865,-0.028237152641500295,0.266047631732865,0.26604763173286505,0.2660476317328649,0.266047631732865,0.3924469177893105,-0.1509608502379622,0.2677999487848199,0.4754502720583268,-0.06299935735730267,-0.03911794133632857,-0.06638581873988383,-0.04208059054278365,-0.042606527494746804,-0.0372925455107095,-0.04882905764617552,-0.11969552393292916,0.13404184206703929,-0.042606527494746804,-0.08323027782438752,-0.06463653336877002,-0.048053933956928356,-0.05311242330995495,0.19490380337815144,0.17293652982985944,0.5163874314511538,0.3794111491272509,-0.015198667611535035,-0.07044524099988432,,0.18593878359224997,,-0.12385810245040853,-0.09721716459042996,0.18423421370165508,0.1023102072434169,0.04988808158550257,-0.2630852841262791,0.010184148552998472,-0.11027911767914222,-0.015198667611535035,0.5224623110933352,0.32410254154384927,-0.011413633350328769,-0.054019698784440545,-0.10126318917221759,0.05325375740566696,0.09322840232072932,,,0.036085883338267545,0.03948443461035091,0.07412039991271135,0.0912156408576575,-0.18804022811735843,0.11278789792418861,-0.05854959240503391,-0.04323295157772674,-0.035800624634148334,-0.03566062891170889,0.06328047605974049,-0.05882970997941952,0.08262647255658113,-0.10909462319440971,-0.1696934926360646,-0.052087833344495814,0.0597020158015571,0.15602912521186799,0.21298854397793554
2476,-0.14261219742284062,0.08959736927240848,-0.0620823000167103,-0.006815038570499379,0.04176238539356817,-0.17607106796785044,-0.04734821493138415,-0.20870382122378903,-0.095513380983641,-0.008740371142296767,0.054044376613364725,-0.23738474483348804,0.12112203485293555,0.1001422665722729,-0.12049728026366205,0.04882286135512704,0.04882286135512704,0.1001422665722729,0.11261184749754226,0.1126118474975422,0.03799990908801425,0.04882286135512704,0.10853089888920013,-0.019330695811081777,0.030792575673795754,0.06713178915164625,0.12115121205128755,0.18145198650855887,0.7640474662250096,0.36536838021856965,0.3375133162021299,-0.03128030949140432,0.25433526636065085,-0.1963612944863467,-0.18864455815323092,0.3606815106957468,0.18225492957303654,0.1527910483325321,0.12040756864874659,0.36386518551159736,0.36386518551159747,0.3638651855115975,0.36386518551159747,0.3375133162021298,-0.19633551401942634,0.29871634397065844,0.4520521366076456,-0.15441749932487103,-0.20844683459436478,-0.22680124398629972,-0.19967780971608373,-0.23738474483348795,-0.1302793754538081,-0.14009336801865993,-0.18004856667174124,0.19092589932354437,-0.23738474483348795,-0.10611142303455237,-0.10039181768952837,-0.23952116835988124,-0.19502079735293928,0.4005191968733312,0.2753671019217385,0.42189199219710627,0.6043830660605896,0.023076609101174633,-0.024272170211180354,0.019699696306741104,0.3122423235689576,,-0.08471540022141905,-0.02015364856841078,0.2461708170822647,0.05899562738685273,-0.01699719448645641,-0.05579020689135115,0.06161632258313052,,0.023076609101174633,0.5917215557553185,0.40517446286682374,-0.007591132585859469,0.017565688114479193,-0.05831573649570308,0.15149314859312996,0.04101833829057636,0.019699696306741104,,-0.004582384356469358,-0.006815038570499379,0.030555818034480375,0.04919567774112496,-0.15740743516864694,-0.07969307590572526,-0.05673632812370773,0.17050091831068354,-0.20767994279949015,0.16681805359625532,-0.04150970858429648,-0.04305551491822254,-0.07196218666750843,0.027896829882155055,-0.06659165089361237,0.14310588552263562,0.19223735863205801,0.26627814863419486,-0.05364429170382856
2481,0.050946099427805654,0.11387977995653104,-0.044332548778304205,0.021728388098998814,-0.27864760654196197,-0.06690100218219745,0.018943735146537216,-0.13244321091266786,-0.03935301021320818,0.021189031676357988,-0.24995238937489406,-0.17571481283132528,0.16051557916739384,0.14721270607083017,0.13323578624445784,0.10912056974873724,0.10912056974873724,0.14721270607083017,0.15398721342138338,0.1539872134213835,-0.06806764602696704,0.10912056974873724,0.15090056311062794,-0.05811190128913061,0.11388455520666245,0.2109366009498683,0.060467722774382476,0.1931055223967759,0.7673339228343026,0.3841625215273132,0.34257568496171237,-0.11891359782280947,0.174380888006121,-0.2137142012533121,-0.1537299930082678,0.3276414431007065,0.10330785702902862,0.10962725665271068,0.05435636798796246,0.3265188887038542,0.3265188887038543,0.32651888870385426,0.3265188887038542,0.34257568496171253,-0.1933850716107649,0.29224487995491577,0.4556767243158506,-0.15620783757079534,-0.15287370651730156,-0.18665702085512065,-0.18988788840220122,-0.1757148128313252,-0.13059867045623408,-0.13592300904672777,-0.203508255254892,0.21350819963046777,-0.1757148128313252,-0.10225617499243414,-0.10884003098786922,-0.18956356305353664,-0.17214764556544004,0.2901051605850381,0.12562914891458585,0.4394059200728907,0.6270078097148322,0.045487392496417776,-0.08690736761892241,,0.33489324561129213,0.007524740257196135,-0.05557513283752819,,0.23804834261246904,0.06684173531567802,0.08703545983955278,-0.1808876620289726,0.0761384268632805,-0.1569401080328627,0.045487392496417776,0.5828864791246223,0.3292600682916684,-0.008120716813944105,0.030431516585565685,-0.08056357785775768,0.2207805776158958,0.13688050971585428,,,0.026182840268955662,0.021728388098998814,0.06435560149090518,0.08552810424009197,-0.021094761023171392,0.10528675353062095,-0.04148944997197723,0.15752282516645252,-0.2062409704944743,0.15483835987165703,-0.15128031549120274,-0.02714569647471091,-0.19851650043068086,-0.006610877298774759,-0.09248770717648887,-0.19921138329696372,0.12414656536700885,0.19986894581419762,0.07025692838990401
2497,0.10671487828471551,-0.0053116396537014774,-0.03400379518508438,0.044550088548317206,-0.21295369592433422,-0.14067274430697213,0.026791279970799234,-0.1362886477738208,-0.010732999794120889,0.043785906394798756,-0.18276977317015589,-0.20815156485812808,0.19990291824449236,0.1914393368330736,0.11140600503758243,0.14152222157627567,0.14152222157627567,0.19192846040771178,0.1978086099007727,0.19780860990077268,-0.17195823092016577,0.14152222157627567,0.19667639087094427,0.016435554594161052,0.07398242665786996,0.014151050591041825,-0.018928868008811092,0.07781223588706929,0.8239951224755359,0.3750298888734494,0.3594137247904708,-0.060534435703155115,0.21029919228643512,-0.2187333785149328,-0.23579014078403593,0.29306965564402265,0.1987428697316007,0.1416644383946905,-0.02668848557729798,0.29509313035914014,0.29509313035914037,0.2950931303591402,0.2950931303591401,0.3594137247904709,-0.15768750059661574,0.3274677397735711,0.40556434305459005,-0.16858384553809147,-0.20965656449941908,-0.20719633791672099,-0.2117448234062761,-0.20815156485812797,-0.11812550403172874,-0.14696498334770952,-0.28048159642304854,0.21760022374182886,-0.20815156485812797,-0.15713062098600955,-0.1333419495620951,-0.1853963147898151,-0.19422754162691572,0.05982849525164986,0.16188787849556338,0.5894844042690227,0.5659732193758715,0.052717617796315716,-0.016206876050514702,-0.022276106917377008,0.11879360789167866,0.04993209005003138,-0.03233273742636731,,0.21361052582082452,0.08891369168755477,0.059781706386164125,-0.01358109453795288,0.017305648651446744,-0.07770512807510059,0.052717617796315716,0.6294946570748862,0.4339657752515903,-0.0009043366271543768,0.03146635574137401,-0.01829503281907012,0.1287046263118602,0.06544379238456162,-0.022276106917377008,,0.04418189504104027,0.044550088548317206,0.09555969563187845,0.12091737562000617,-0.12519505878829293,0.19206231517527247,-0.09448759442538426,0.0555473341267169,-0.16788885792379538,0.05838569987411178,-0.08464540116431465,-0.08291730451770853,-0.13605910543150654,-0.1236195264164846,-0.2345837987976079,-0.06787210638837013,0.07556143381814184,0.2632409989305096,0.10445145024446517
2504,0.14032046720754127,-0.011173291123410523,0.00403480039746965,0.043178927459552575,-0.23781508668481793,-0.16682025250625315,-0.014064791080213659,-0.17126813511312167,-0.05772169427327569,0.04304341564413809,-0.23759252576945616,-0.21906803944973346,0.17047851936938063,0.18054459993317445,0.009809292623033919,0.1495248433850233,0.1495248433850233,0.18054459993317445,0.16904649870059807,0.16904649870059837,-0.14366276282517354,0.1495248433850233,0.16833964590663064,-0.07833087460158755,0.11811658223249294,0.18072842160556035,0.03006826170441778,0.1729841710575436,0.8247729323308786,0.37858424344429775,0.3359437594465665,-0.08629357043253223,0.14833125263558966,-0.2025337398739864,-0.17396033950851172,0.2892217961459351,0.1669067343464011,0.18439382645249272,0.02758911673886437,0.28934909884962084,0.28934909884962096,0.2893490988496209,0.28934909884962107,0.33594375944656646,-0.19147638347758864,0.3890927360162877,0.46257156216774536,-0.1574617570635236,-0.2004985764230516,-0.19711428170567732,-0.20565119047858896,-0.21906803944973335,-0.14404187672233673,-0.16787888754671157,-0.2297684673777799,0.20571853956703398,-0.21906803944973335,-0.10463945600630364,-0.10960731107789552,-0.2156648475101003,-0.19202441725172348,0.2292274787272866,,0.6800163222926277,0.43308584695480223,0.11921822706747283,-0.046599952770443924,0.027161040416248835,0.19860010644373893,0.005579848214037516,-0.08686462134072408,-0.022962387420235805,0.1868133433823313,0.11413664595017296,0.08128050916836421,-0.23252915328141144,0.008705785666911358,,0.11921822706747283,0.6170528732359855,0.3541375245225197,,0.06221977975148866,-0.07962095341150663,0.18201773152409323,0.08025898523181983,0.027161040416248835,,0.039495512491993734,0.043178927459552575,0.08467397367491435,0.10548366999858447,-0.14419823287143638,0.22861165225166166,-0.05366431560555131,0.11830961242152267,-0.20075370302280274,0.11836900792543859,-0.138815485104745,-0.04048629048179439,-0.16867239698148384,-0.03066253091775316,-0.08409340618041279,-0.292031787335278,0.1926943596787735,0.28966534931970794,0.14798430819419747
2542,-0.09343776961676549,-0.07010853796222835,-0.10823679937691467,0.10985197043357878,0.12319446186679839,0.0765842559970844,0.10802819886392523,0.017519873169366044,0.09242937972927906,0.10879208546267216,0.1471426068360663,0.03413883149229643,0.18970307198714012,0.18307455478260784,0.02198246518524428,0.08108026242393618,0.08108026242393618,0.18307455478260784,0.18702473324330623,0.18702473324330632,-0.04697487300817095,0.08108026242393618,0.1856123977068886,0.06168646916254876,-0.053577904096447235,-0.15125921651381147,0.09690807216702708,0.09834790435337917,0.7440731958026944,0.37060202471728343,0.33968129432390015,0.08740723384179253,0.14813171087641733,-0.21944705470158857,-0.11306835000432841,0.2987382277020609,0.23381125417784668,0.29537968117858987,0.09773440579975991,0.2999531167066834,0.2999531167066836,0.29995311670668345,0.2999531167066833,0.3396812943239003,0.019099025853061617,0.2702585719881644,0.43047536385205787,0.053661876423860284,0.05399553875358203,0.04851202770086064,0.030160946129014113,0.03413883149229621,0.07753843707729244,0.07123772256617687,-0.0007274008165270285,0.1767977997594786,0.03413883149229621,0.04930605560852986,0.059030602010821755,0.029461644349059034,0.047486411174135594,0.11668401355929868,0.04606080602680174,0.5184394270196423,0.48637522454428794,-0.04562442488886497,-0.0158280705308708,-0.03489599775717847,0.16682603892858963,,-0.13281959992553957,0.01305562229024392,0.14230243296676737,,-0.01584072158314551,0.278537802243055,0.03222320807685439,,-0.04562442488886497,0.5958705408483901,0.30937238353462715,-0.016145968122640058,-0.02500358376928839,-0.015338104550488346,0.1378193300461337,0.013918865950396344,-0.03489599775717847,,0.10664558942568518,0.10985197043357878,0.13507871208968925,0.14753159066301152,-0.07266073601865106,0.019118387373471928,0.06975391777079411,0.08295521333303026,0.03306711880528502,0.08282613655080175,0.13384219550809248,0.0711936411983671,0.11081838698392152,0.09899869089032505,0.03438965154099488,0.1453053436733466,0.1100875979933659,0.13991198342389996,0.13856899148042195
