有價證券代號及名稱,,國際證券辨識號碼(ISIN Code),發行日,CFICode,備註
T0901Y,統一統信基金,TW000T0901Y6,1993/1/30,CIOGEU,
T0902A,統一全天候基金-I類型,TW000T0902A4,2018/6/8,CIOGLU,
T0902Y,統一全天候基金,TW000T0902Y4,1994/2/18,CIOGEU,
T0903Y,統一黑馬基金,TW000T0903Y2,1994/11/1,CIOGEU,
T0904Y,統一龍馬基金,TW000T0904Y0,1995/4/8,CIOGEU,
T0905Y,統一強棒貨幣市場基金,TW000T0905Y7,1995/6/16,CIOGEU,
T0906Y,統一中小基金,TW000T0906Y5,1996/5/10,CIOGEU,
T0909Y,統一經建基金,TW000T0909Y9,1997/10/23,CIOGEU,
T0910Y,統一奔騰基金,TW000T0910Y7,1998/8/11,CIOGEU,
T0911A,統一大滿貫基金-I類型,TW000T0911A5,2018/6/8,CIOGLU,
T0911Y,統一大滿貫基金,TW000T0911Y5,2000/4/10,CIOGEU,
T0912Y,統一亞太基金,TW000T0912Y3,2000/8/7,CIOGEU,
T0920Y,統一全球債券組合基金,TW000T0920Y6,2006/9/22,CIOGBU,
T0921B,統一強漢基金-美元(B),TW000T0921B2,2018/3/15,CIOGLU,
T0921C,統一強漢基金-人民幣(C),TW000T0921C0,2018/3/15,CIOGLU,
T0921Y,統一強漢基金,TW000T0921Y4,2007/4/17,CIOGEU,
T0922Y,統一台灣動力基金,TW000T0922Y2,2007/9/13,CIOGEU,
T0923Y,統一大龍印基金,TW000T0923Y0,2010/1/26,CIOGEU,
T0924B,統一大中華中小基金-美元(B),TW000T0924B6,2018/3/15,CIOGLU,
T0924C,統一大中華中小基金-人民幣(C),TW000T0924C4,2018/3/15,CIOGLU,
T0924Y,統一大中華中小基金,TW000T0924Y8,2010/8/26,CIOGEU,
T0925Y,統一新亞洲科技能源基金,TW000T0925Y5,2011/6/28,CIOGEU,
T0927Y,統一亞洲大金磚基金,TW000T0927Y1,2012/7/31,CIOGEU,
T0931B,統一大龍騰中國基金-美元(B),TW000T0931B1,2018/3/15,CIOGLU,
T0931C,統一大龍騰中國基金-人民幣(C),TW000T0931C9,2018/3/15,CIOGLU,
T0931Y,統一大龍騰中國基金-台幣,TW000T0931Y3,2014/10/27,CIOGEU,
T0932A,統一中國高收益債券基金-累積型台幣(A),TW000T0932A1,2015/10/19,CIOGBU,
T0932B,統一中國高收益債券基金-月配型台幣(B),TW000T0932B9,2015/10/19,CIOIBU,
T0932C,統一中國高收益債券基金-累積型美元(C),TW000T0932C7,2015/10/19,CIOGBU,
T0932D,統一中國高收益債券基金-月配型美元(D),TW000T0932D5,2015/10/19,CIOIBU,
T0932E,統一中國高收益債券基金-累積型人民幣(E),TW000T0932E3,2015/10/19,CIOGBU,
T0932F,統一中國高收益債券基金-月配型人民幣(F),TW000T0932F0,2015/10/19,CIOIBU,
T0933A,統一全球新科技基金-台幣(A),TW000T0933A9,2016/5/3,CIOGEU,
T0933B,統一全球新科技基金-美元(B),TW000T0933B7,2016/5/3,CIOGEU,
T0933C,統一全球新科技基金-人民幣(C),TW000T0933C5,2016/5/3,CIOGEU,
T0934A,統一全球動態多重資產基金-累積型台幣(A),TW000T0934A7,2017/9/29,CIOGLU,
T0934B,統一全球動態多重資產基金-月配型台幣(B),TW000T0934B5,2017/9/29,CIOILU,
T0934C,統一全球動態多重資產基金-累積型美元(C),TW000T0934C3,2017/9/29,CIOGLU,
T0934D,統一全球動態多重資產基金-月配型美元(D),TW000T0934D1,2017/9/29,CIOILU,
T0934E,統一全球動態多重資產基金-累積型人民幣(E),TW000T0934E9,2017/9/29,CIOGLU,
T0934F,統一全球動態多重資產基金-月配型人民幣(F),TW000T0934F6,2017/9/29,CIOILU,
T0935A,統一大東協高股息基金-台幣(A),TW000T0935A4,2018/5/28,CIOGLU,
T0935B,統一大東協高股息基金-美元(B),TW000T0935B2,2018/5/28,CIOGLU,
T0935C,統一大東協高股息基金-人民幣(C),TW000T0935C0,2018/5/28,CIOGLU,
T0938A,統一全球智聯網AIoT基金-台幣(A),TW000T0938A8,2019/10/8,CIOGLU,
T0938B,統一全球智聯網AIoT基金-美元(B),TW000T0938B6,2019/10/8,CIOGLU,
T0938C,統一全球智聯網AIoT基金-人民幣(C),TW000T0938C4,2019/10/8,CIOGLU,
T0945A,統一台灣高息優選證券投資信託,TW000T0945A3,2023/9/12,CIOGLU,
T0945B,統一台灣高息優選證券投資信託,TW000T0945B1,2023/9/12,CIOILU,
T1001B,富邦基金-Ｉ類型,TW000T1001B2,2018/8/9,CIOGEU,
T1001Y,富邦FB,TW000T1001Y4,2014/2/19,CIOGEU,於2014/10/27登錄櫃檯買賣
T1004Y,富邦精準基金,TW000T1004Y8,1994/11/1,CIOJEU,
T1005Y,富邦長紅基金,TW000T1005Y5,1995/2/27,CIOJEU,
T1008Y,富邦吉祥貨幣市場基金,TW000T1008Y9,1996/6/14,CIOGEU,
T1010Y,精銳FB,TW000T1010Y5,1997/6/16,CIOJEU,於2014/10/27登錄櫃檯買賣
T1011Y,富邦高成長基金,TW000T1011Y3,1998/2/4,CIOGEU,
T1012Y,科技FB,TW000T1012Y1,1999/1/20,CIOGEU,於2014/10/27登錄櫃檯買賣
T1017Y,富邦台灣心基金,TW000T1017Y0,1999/12/7,CIOGEU,
T1026B,富邦全球不動產基金(美元),TW000T1026B9,2016/8/29,CIOGRU,
T1026Y,富邦全球不動產基金,TW000T1026Y1,2005/4/25,CIOGRU,
T1028B,富邦大中華成長基金(美元),TW000T1028B5,2017/7/13,CIOGEU,
T1028Y,富邦大中華成長基金,TW000T1028Y7,2007/7/26,CIOGEU,
T1034A,富邦全球投資等級債券基金-A類型,TW000T1034A5,2010/12/21,CIOGBU,
T1034B,富邦全球投資等級債券基金-B類型,TW000T1034B3,2010/12/21,CIOIBU,
T1034C,富邦全球投資等級債券基金-A類型(美元),TW000T1034C1,2017/5/18,CIOGLU,
T1034D,富邦全球投資等級債券基金-B類型(美元),TW000T1034D9,2017/5/18,CIOILU,
T1034E,富邦全球投資等級債券基金-A類型(人民幣),TW000T1034E7,2017/11/23,CIOGBU,
T1034F,富邦全球投資等級債券基金-B類型(人民幣),TW000T1034F4,2017/11/23,CIOIBU,
T1034G,富邦全球投資等級債券證券投資,TW000T1034G2,2021/9/13,CIOGBU,
T1041A,富邦中國高收益債券基金(不配息),TW000T1041A0,2013/6/28,CIOGBU,
T1041B,富邦中國高收益債券基金(配息),TW000T1041B8,2013/6/28,CIOIBU,
T1041C,富邦中國高收益債券基金(不配息),TW000T1041C6,2013/11/15,CIOGBU,
T1041D,富邦中國高收益債券基金(配息),TW000T1041D4,2013/12/5,CIOIBU,
T1042A,富邦中國優質債券基金(不配息),TW000T1042A8,2013/6/28,CIOGBU,
T1042B,富邦中國優質債券基金(配息),TW000T1042B6,2013/6/28,CIOIBU,
T1042C,富邦中國優質債券基金(不配息),TW000T1042C4,2013/11/15,CIOGBU,
T1042D,富邦中國優質債券基金(配息),TW000T1042D2,2013/11/15,CIOIBU,
T1044A,富邦中國貨幣市場基金(新臺幣),TW000T1044A4,2014/8/5,CIOGEU,
T1044B,富邦中國貨幣市場基金(人民幣),TW000T1044B2,2014/8/5,CIOGEU,
T1047A,富邦中國多重資產型基金-A(新臺幣),TW000T1047A7,2015/4/7,CIOGLU,
T1047B,富邦中國多重資產型基金-B(新臺幣),TW000T1047B5,2015/4/7,CIOILU,
T1047C,富邦中國多重資產型基金-A(人民幣),TW000T1047C3,2015/4/7,CIOGLU,
T1047D,富邦中國多重資產型基金-B(人民幣),TW000T1047D1,2015/4/7,CIOILU,
T1047E,富邦中國多重資產型基金-A(美元),TW000T1047E9,2015/4/7,CIOGLU,
T1047F,富邦中國多重資產型基金-B(美元),TW000T1047F6,2015/4/7,CIOILU,
T1063A,富邦歐亞絲路多重資產型基金-A類型(新臺幣),TW000T1063A4,2017/4/17,CIOGLU,
T1063B,富邦歐亞絲路多重資產型基金-B類型(新臺幣),TW000T1063B2,2017/4/17,CIOGMU,
T1063C,富邦歐亞絲路多重資產型基金-A類型(人民幣),TW000T1063C0,2017/4/17,CIOGLU,
T1063D,富邦歐亞絲路多重資產型基金-B類型(人民幣),TW000T1063D8,2017/4/17,CIOILU,
T1063E,富邦歐亞絲路多重資產型基金-A類型(美元),TW000T1063E6,2017/4/17,CIOGLU,
T1063F,富邦歐亞絲路多重資產型基金-B類型(美元),TW000T1063F3,2017/4/17,CIOILU,
T1079A,富邦六年到期新興市場債券基金-美元,TW000T1079A0,2018/10/29,CIOGBU,
T1079B,富邦六年到期新興市場債券基金-人民幣,TW000T1079B8,2018/10/29,CIOGBU,
T1080A,富邦AI智能新趨勢多重資產型基金-A類型(新臺幣),TW000T1080A8,2019/1/30,CIOGLU,
T1080B,富邦AI智能新趨勢多重資產型基金-N類型(新臺幣),TW000T1080B6,2019/1/30,CIOGLU,
T1080C,富邦AI智能新趨勢多重資產型基金-A類型(人民幣),TW000T1080C4,2019/1/30,CIOGLU,
T1080D,富邦AI智能新趨勢多重資產型基金-N類型(人民幣),TW000T1080D2,2019/1/30,CIOGLU,
T1080E,富邦AI智能新趨勢多重資產型基金-A類型(美元),TW000T1080E0,2019/1/30,CIOGLU,
T1080F,富邦AI智能新趨勢多重資產型基金-N類型(美元),TW000T1080F7,2019/1/30,CIOGLU,
T1089A,富邦台灣高股息證券投資信託基,TW000T1089A9,2020/7/10,CIOGEU,
T1089B,富邦台灣高股息證券投資信託基,TW000T1089B7,2020/7/10,CIOIEU,
T1097A,富邦台美雙星多重資產證券投資,TW000T1097A2,2022/12/7,CIOGLU,
T1097B,富邦台美雙星多重資產證券投資,TW000T1097B0,2022/12/7,CIOGLU,
T1097C,富邦台美雙星多重資產證券投資,TW000T1097C8,2022/12/7,CIOILU,
T1097D,富邦台美雙星多重資產證券投資,TW000T1097D6,2022/12/7,CIOILU,
T1097E,富邦台美雙星多重資產證券投資,TW000T1097E4,2022/12/7,CIOGLU,
T1097F,富邦台美雙星多重資產證券投資,TW000T1097F1,2022/12/7,CIOGLU,
T1097G,富邦台美雙星多重資產證券投資,TW000T1097G9,2022/12/7,CIOILU,
T1097H,富邦台美雙星多重資產證券投資,TW000T1097H7,2022/12/7,CIOILU,
T1097J,富邦台美雙星多重資產證券投資,TW000T1097J3,2022/12/7,CIOGLU,
T1097K,富邦台美雙星多重資產證券投資,TW000T1097K1,2022/12/7,CIOGLU,
T1097L,富邦台美雙星多重資產證券投資,TW000T1097L9,2022/12/7,CIOILU,
T1097M,富邦台美雙星多重資產證券投資,TW000T1097M7,2022/12/7,CIOILU,
T1099A,富邦美國通膨連結公債指數證券,TW000T1099A8,2023/3/8,CIOGBU,
T1099B,富邦美國通膨連結公債指數證券,TW000T1099B6,2023/3/8,CIOIBU,
T1099C,富邦美國通膨連結公債指數證券,TW000T1099C4,2023/3/8,CIOGBU,
T1099D,富邦美國通膨連結公債指數證券,TW000T1099D2,2023/3/8,CIOIBU,
T1102Y,摩根台灣增長基金,TW000T1102Y0,1994/4/7,CIOJEU,
T1103Y,摩根新興日本基金,TW000T1103Y8,1995/1/21,CIOGEU,
T1104A,摩根新興科技證券投資信託基金,TW000T1104A6,2022/10/28,CIOGEU,
T1104Y,摩根新興科技基金,TW000T1104Y6,1995/3/23,CIOJEU,
T1106A,摩根亞洲證券投資信託基金,TW000T1106A1,1995/10/18,CIOGEU,
T1106Y,摩根亞洲基金,TW000T1106Y1,1995/10/18,CIOJEU,
T1107Y,摩根第一貨幣市場基金,TW000T1107Y9,1996/10/15,CIOGEU,
T1108A,摩根龍揚證券投資信託基金,TW000T1108A7,2023/12/5,CIOGEU,
T1108Y,摩根龍揚基金,TW000T1108Y7,1997/1/29,CIOGEU,
T1109A,摩根東方科技證券投資信託基金,TW000T1109A5,2023/5/22,CIOGEU,
T1109Y,摩根東方科技基金,TW000T1109Y5,1997/9/8,CIOGEU,
T1110A,摩根大歐洲證券投資信託基金,TW000T1110A3,2023/5/22,CIOGEU,
T1110Y,摩根大歐洲基金,TW000T1110Y3,1998/6/1,CIOGEU,
T1111Y,摩根中小基金,TW000T1111Y1,1998/8/19,CIOGEU,
T1114Y,摩根平衡基金,TW000T1114Y5,2000/9/28,CIOGEU,
T1117Y,摩根全球平衡基金,TW000T1117Y8,2003/12/9,CIOGEU,
T1119A,摩根全球創新成長證券投資信託,TW000T1119A4,2020/12/14,CIOGEU,
T1119B,摩根全球創新成長證券投資信託,TW000T1119B2,2022/10/28,CIOGEU,
T1119Y,摩根全球創新成長證券投資信託,TW000T1119Y4,2004/11/12,CIOGEU,
T1120A,摩根亞太高息平衡基金-累積型,TW000T1120A2,2005/5/23,CIOGEU,
T1120B,摩根亞太高息平衡基金-季配息型,TW000T1120B0,2005/5/23,CIOJEU,
T1124A,摩根絕對日本證券投資信託基金,TW000T1124A4,2023/12/5,CIOGEU,
T1124Y,摩根絕對日本基金,TW000T1124Y4,2006/4/4,CIOGEU,
T1125A,摩根新興３５證券投資信託基金,TW000T1125A1,2023/5/22,CIOGEU,
T1125Y,摩根新興35基金,TW000T1125Y1,2006/7/25,CIOGEU,
T1129Y,摩根新絲路基金,TW000T1129Y3,2008/1/25,CIOGEU,
T1130Y,摩根東方內需機會基金,TW000T1130Y1,2008/6/25,CIOGEU,
T1131Y,摩根金龍收成基金,TW000T1131Y9,2008/9/22,CIOGEU,
T1134Y,摩根中國亮點基金,TW000T1134Y3,2009/12/1,CIOGEU,
T1135B,摩根台灣金磚證券基金-法人機構型,TW000T1135B8,2018/6/27,CIOGEU,
T1135C,摩根台灣金磚證券投資信託基金,TW000T1135C6,2010/2/2,CIOGEU,
T1135Y,摩根台灣金磚基金,TW000T1135Y0,2010/2/2,CIOGEU,
T1136Y,摩根新金磚五國基金,TW000T1136Y8,2010/7/20,CIOGEU,
T1137B,摩根總收益組合基金-月配息型,TW000T1137B4,2012/11/1,CIOILU,
T1137C,摩根總收益組合證券投資信託基,TW000T1137C2,2019/12/23,CIOGEU,
T1137Y,摩根總收益組合基金,TW000T1137Y6,2010/12/20,CIOGEU,
T1140A,摩根亞洲總合非投資等級債券證,TW000T1140A0,2011/9/29,CIOGBU,
T1140B,摩根亞洲總合非投資等級債券證,TW000T1140B8,2011/9/29,CIOIBU,
T1140C,摩根亞洲總合非投資等級債券證,TW000T1140C6,2011/9/29,CIOIBU,
T1140E,摩根亞洲總合非投資等級債券證,TW000T1140E2,2011/9/29,CIOIBU,
T1142B,摩根中國A股基金-美元,TW000T1142B4,2015/10/14,CIOGEU,
T1142C,摩根中國Ａ股證券投資信託基金,TW000T1142C2,2013/2/26,CIOGEU,
T1142Y,摩根中國A股證券投資信託基金,TW000T1142Y6,2013/6/26,CIOGEU,
T1145A,摩根泛亞太股票入息基金-累積型,TW000T1145A9,2014/6/19,CIOGEU,
T1145B,摩根泛亞太股票入息基金-月配息型,TW000T1145B7,2014/6/19,CIOIEU,
T1145C,摩根泛亞太股票入息基金-月配息型(美元),TW000T1145C5,2014/6/19,CIOIEU,
T1145D,摩根泛亞太股票入息基金-累積型(美元),TW000T1145D3,2014/9/2,CIOGEU,
T1145E,摩根泛亞太股票入息基金-月配息型(人民幣),TW000T1145E1,2014/9/2,CIOIEU,
T1146A,摩根多元入息成長基金-累積型台幣,TW000T1146A7,2014/10/15,CIOGEU,
T1146B,摩根多元入息成長基金-月配息型台幣,TW000T1146B5,2014/10/15,CIOIEU,
T1146C,摩根多元入息成長基金-美元月配息型(美元),TW000T1146C3,2014/10/15,CFOJIU,
T1146D,摩根多元入息成長基金-人民月配息型,TW000T1146D1,2014/10/15,CFOJIU,
T1146E,摩根多元入息成長基金-美元累積型(美元),TW000T1146E9,2018/4/13,CFOGIU,
T1148A,摩根新興雙利平衡基金-累積型(台幣),TW000T1148A3,2015/4/17,CIOGEU,
T1148B,摩根新興雙利平衡基金-月配息型(台幣),TW000T1148B1,2015/4/17,CIOILU,
T1148C,摩根新興雙利平衡基金-美元月配息型(美元),TW000T1148C9,2015/4/17,CIOILU,
T1148D,摩根新興雙利平衡基金-人民月配息型(人民幣),TW000T1148D7,2015/4/17,CIOILU,
T1150A,摩根中國雙息平衡基金-累積型(台幣),TW000T1150A9,2015/8/25,CIOGEU,
T1150B,摩根中國雙息基金-月配息型(台幣),TW000T1150B7,2015/8/25,CIOILU,
T1150C,摩根中國雙息平衡基金-人民累積型(人民幣),TW000T1150C5,2015/8/25,CIOGEU,
T1150D,摩根中國雙息平衡基金-人民月配息型(人民幣),TW000T1150D3,2015/8/25,CIOILU,
T1150E,摩根中國雙息平衡基金-美元月配息型(美元),TW000T1150E1,2017/9/8,CIOIBU,
T1155A,摩根環球股票收益基金-累積型(台幣),TW000T1155A8,2016/3/29,CIOGEU,
T1155B,摩根環球股票收益基金-月配息型(台幣),TW000T1155B6,2016/3/29,CIOIEU,
T1155C,摩根環球股票收益基金-美元配息型(美元),TW000T1155C4,2016/3/29,CIOIEU,
T1155D,摩根環球股票收益基金-人民月配息型(人民幣),TW000T1155D2,2016/3/29,CIOIEU,
T1201Y,華南永昌永昌,TW000T1201Y0,1993/2/16,CIOGEU,於2021/02/23登錄櫃檯買賣
T1204Y,華南永昌鳳翔貨幣市場基金,TW000T1204Y4,1996/2/6,CIOGEU,
T1208Y,華南永昌麒麟貨幣市場基金,TW000T1208Y5,2001/11/9,CIOGEU,
T1217Y,華南永昌全球精品基金,TW000T1217Y6,2006/11/23,CIOGEU,
T1238A,華南永昌中國A股基金-人民幣,TW000T1238A2,2015/1/28,CIOGEU,
T1238B,華南永昌中國A股基金-美元,TW000T1238B0,2015/1/28,CIOGEU,
T1238Y,華南永昌中國A股基金-台幣,TW000T1238Y2,2014/6/12,CIOGEU,
T1239A,華南永昌多重資產入息平衡基金-累積型台幣,TW000T1239A0,2014/10/23,CIOGLU,
T1239B,華南永昌多重資產入息平衡基金-月配型台幣,TW000T1239B8,2014/10/23,CIOILU,
T1239C,華南永昌多重資產入息平衡基金-累積型美元,TW000T1239C6,2014/10/23,CIOGLU,
T1239D,華南永昌多重資產入息平衡基金-月配型美元,TW000T1239D4,2014/10/23,CIOILU,
T1250A,華南永昌全球物聯網精選證券投,TW000T1250A7,2015/11/27,CIOGEU,
T1250B,華南永昌全球物聯網精選證券投,TW000T1250B5,2015/11/27,CIOGEU,
T1259A,華南永昌Shiller,TW000T1259A8,2017/7/24,CFOGEU,
T1259B,華南永昌Shiller,TW000T1259B6,2017/7/24,CFOIEU,
T1259C,華南永昌Shiller,TW000T1259C4,2017/7/24,CFOGEU,
T1259D,華南永昌Shiller,TW000T1259D2,2017/7/24,CFOIEU,
T1276Y,華南永昌低波動多重資產證券投,TW000T1276Y2,2020/1/31,CIOGLU,
T1278A,華南永昌實質豐收組合證券投資,TW000T1278A8,2021/10/8,CFOGIU,
T1278B,華南永昌實質豐收組合證券投資,TW000T1278B6,2021/10/8,CFOIIU,
T1278C,華南永昌實質豐收組合證券投資,TW000T1278C4,2021/10/8,CFOGIU,
T1278D,華南永昌實質豐收組合證券投資,TW000T1278D2,2021/10/8,CFOIIU,
T1282A,華南永昌台灣環境永續高股息指,TW000T1282A0,2022/11/15,CIOGEU,
T1282B,華南永昌台灣環境永續高股息指,TW000T1282B8,2022/11/15,CIOIEU,
T1284A,華南永昌全球碳中和趨勢指數證,TW000T1284A6,2022/11/15,CIOGEU,
T1284B,華南永昌全球碳中和趨勢指數證,TW000T1284B4,2022/11/15,CIOGEU,
T1286A,華南永昌全球投資等級債券證券,TW000T1286A1,2023/6/5,CIOGBU,
T1286B,華南永昌全球投資等級債券證券,TW000T1286B9,2023/6/5,CIOIBU,
T1286C,華南永昌全球投資等級債券證券,TW000T1286C7,2023/6/5,CIOGBU,
T1286D,華南永昌全球投資等級債券證券,TW000T1286D5,2023/6/5,CIOIBU,
T1287Y,華南永昌未來科技證券投資信託,TW000T1287Y9,2023/11/27,CIOGEU,
T1403B,新光中國成長基金(美元),TW000T1403B0,2017/2/16,CIOGEU,
T1403C,新光中國成長基金(人民幣),TW000T1403C8,2017/2/16,CIOGEU,
T1403Y,新光中國成長基金(新臺幣),TW000T1403Y2,2009/4/20,CIOGEU,
T1405Y,新光創新科技基金,TW000T1405Y7,1998/3/4,CIOGEU,
T1407Y,新光店頭基金,TW000T1407Y3,1998/10/28,CIOGEU,
T1408Y,新光大三通基金,TW000T1408Y1,2002/5/10,CIOGEU,
T1411Y,新光台灣富貴基金,TW000T1411Y5,1993/4/15,CIOGEU,
T1416Y,新光吉星貨幣市場基金,TW000T1416Y4,1996/9/3,CIOGMU,
T1428Y,新光澳幣十年期保本基金,TW000T1428Y9,2014/5/21,CIOIBU,
T1430B,新光全球生技醫療基金(美元),TW000T1430B3,2016/7/27,CIOGEU,
T1430Y,新光全球生技醫療基金(新臺幣),TW000T1430Y5,2014/10/9,CIOGEU,
T1432Y,新光澳幣八年期保本基金-澳幣,TW000T1432Y1,2015/8/7,CIOGBU,
T1433A,新光美國豐收平衡基金(A累積)新臺幣,TW000T1433A9,2016/3/17,CIOGLU,
T1433B,新光美國豐收平衡基金(B配息)新臺幣,TW000T1433B7,2016/3/17,CIOILU,
T1433C,新光美國豐收平衡基金(A累積)美元,TW000T1433C5,2016/3/17,CIOGLU,
T1433D,新光美國豐收平衡基金(B配息)美元,TW000T1433D3,2016/3/17,CIOILU,
T1433E,新光美國豐收平衡證券投資信託,TW000T1433E1,2019/10/23,CIOGLU,
T1434A,新光全球債券基金(A累積)新臺幣,TW000T1434A7,2016/10/18,CIOGBU,
T1434B,新光全球債券基金(B配息)新臺幣,TW000T1434B5,2016/10/18,CIOIBU,
T1434C,新光全球債券基金(A累積)美元,TW000T1434C3,2016/10/18,CIOGBU,
T1434D,新光全球債券基金(B配息)美元,TW000T1434D1,2016/10/18,CIOIBU,
T1434E,新光全球債券證券投資信託基金,TW000T1434E9,2021/2/26,CIOIBU,
T1434F,新光全球債券證券投資信託基金,TW000T1434F6,2021/2/26,CIOIBU,
T1439A,新光六年到期全球新興市場債券基金(新臺幣),TW000T1439A6,2018/5/18,CIOGBU,
T1439B,新光六年到期全球新興市場債券基金(美元),TW000T1439B4,2018/5/18,CIOGBU,
T1439C,新光六年到期全球新興市場債券基金(人民幣),TW000T1439C2,2018/5/18,CIOGBU,
T1440A,新光全球AI新創產業基金(新臺幣),TW000T1440A4,2018/12/4,CIOGEU,
T1440B,新光全球AI新創產業基金(美元),TW000T1440B2,2018/12/4,CIOGEU,
T1440C,新光全球AI新創產業基金(人民幣),TW000T1440C0,2018/12/4,CIOGEU,
T1443A,新光全球特別股收益基金(A累積)新台幣,TW000T1443A8,2019/7/11,CIOGEU,
T1443B,新光全球特別股收益基金(A配息)新台幣,TW000T1443B6,2019/7/11,CIOIEU,
T1443C,新光全球特別股收益基金(A累積)美元,TW000T1443C4,2019/7/11,CIOGEU,
T1444A,新光新興富域國家債券證券投資,TW000T1444A6,2020/1/21,CIOGBU,
T1444B,新光新興富域國家債券證券投資,TW000T1444B4,2020/1/21,CIOIBU,
T1444C,新光新興富域國家債券證券投資,TW000T1444C2,2020/1/21,CIOGBU,
T1444D,新光新興富域國家債券證券投資,TW000T1444D0,2020/1/21,CIOIBU,
T1446A,新光全球宅經濟證券投資信託基,TW000T1446A1,2020/7/24,CIOGEU,
T1446B,新光全球宅經濟證券投資信託基,TW000T1446B9,2020/7/24,CIOGEU,
T1448A,新光𦔒生科技指數證券投資信託,TW000T1448A7,2021/1/25,CIOGEU,
T1448B,新光𦔒生科技指數證券投資信託,TW000T1448B5,2021/1/25,CIOGEU,
T1448C,新光𦔒生科技指數證券投資信託,TW000T1448C3,2021/1/25,CIOGEU,
T1449A,新光再生環境債券證券投資信託,TW000T1449A5,2021/8/20,CIOGBU,
T1449B,新光再生環境債券證券投資信託,TW000T1449B3,2021/8/20,CIOIBU,
T1449C,新光再生環境債券證券投資信託,TW000T1449C1,2021/8/20,CIOGBU,
T1449D,新光再生環境債券證券投資信託,TW000T1449D9,2021/8/20,CIOIBU,
T1449E,新光再生環境債券證券投資信託,TW000T1449E7,2021/8/20,CIOGBU,
T1449F,新光再生環境債券證券投資信託,TW000T1449F4,2021/8/20,CIOIBU,
T1449G,新光再生環境債券證券投資信託,TW000T1449G2,2021/8/20,CIOGBU,
T1449H,新光再生環境債券證券投資信託,TW000T1449H0,2021/8/20,CIOIBU,
T1449J,新光再生環境債券證券投資信託,TW000T1449J6,2021/8/20,CIOGBU,
T1449K,新光再生環境債券證券投資信託,TW000T1449K4,2021/8/20,CIOIBU,
T1449L,新光再生環境債券證券投資信託,TW000T1449L2,2021/8/20,CIOGBU,
T1449M,新光再生環境債券證券投資信託,TW000T1449M0,2021/8/20,CIOIBU,
T1450A,新光臺灣高股息證券投資信託基,TW000T1450A3,2022/6/24,CIOGEU,
T1450B,新光臺灣高股息證券投資信託基,TW000T1450B1,2022/6/24,CIOGEU,
T1451A,新光全球多重資產證券投資信託,TW000T1451A1,2023/5/1,CIOGLU,
T1451B,新光全球多重資產證券投資信託,TW000T1451B9,2023/5/1,CIOILU,
T1451C,新光全球多重資產證券投資信託,TW000T1451C7,2023/5/1,CIOGLU,
T1451D,新光全球多重資產證券投資信託,TW000T1451D5,2023/5/1,CIOILU,
T1451E,新光全球多重資產證券投資信託,TW000T1451E3,2023/5/1,CIOGLU,
T1451F,新光全球多重資產證券投資信託,TW000T1451F0,2023/5/1,CIOILU,
T1451G,新光全球多重資產證券投資信託,TW000T1451G8,2023/5/1,CIOGLU,
T1451H,新光全球多重資產證券投資信託,TW000T1451H6,2023/5/1,CIOILU,
T1452A,新光四年到期美國投資等級債券,TW000T1452A9,2023/7/18,CIOGBU,
T1452B,新光四年到期美國投資等級債券,TW000T1452B7,2023/7/18,CIOGBU,
T1503A,瑞銀亞洲高收益債券證券投資信,TW000T1503A9,2011/3/23,CIOGBU,
T1503B,瑞銀亞洲高收益債券證券投資信,TW000T1503B7,2011/3/23,CIOIBU,
T1503C,瑞銀亞洲高收益債券證券投資信,TW000T1503C5,2011/3/23,CIOGBU,
T1503D,瑞銀亞洲高收益債券證券投資信,TW000T1503D3,2011/3/23,CIOIBU,
T1503E,瑞銀亞洲高收益債券證券投資信,TW000T1503E1,2011/3/23,CIOGBU,
T1503F,瑞銀亞洲高收益債券證券投資信,TW000T1503F8,2011/3/23,CIOIBU,
T1503G,瑞銀亞洲高收益債券證券投資信,TW000T1503G6,2011/3/23,CIOGBU,
T1503H,瑞銀亞洲高收益債券證券投資信,TW000T1503H4,2011/3/23,CIOIBU,
T1503J,瑞銀亞洲高收益債券證券投資信,TW000T1503J0,2020/11/3,CIOIBU,
T1503K,瑞銀亞洲高收益債券證券投資信,TW000T1503K8,2020/11/3,CIOIBU,
T1503L,瑞銀亞洲高收益債券證券投資信,TW000T1503L6,2020/11/3,CIOIBU,
T1505A,瑞銀全方位高收益債券證券投資,TW000T1505A4,2018/2/8,CIOGBU,
T1505B,瑞銀全方位高收益債券證券投資,TW000T1505B2,2018/2/8,CIOIBU,
T1505C,瑞銀全方位高收益債券證券投資,TW000T1505C0,2018/2/8,CIOGBU,
T1505D,瑞銀全方位高收益債券證券投資,TW000T1505D8,2018/2/8,CIOIBU,
T1505E,瑞銀全方位高收益債券證券投資,TW000T1505E6,2018/2/8,CIOGBU,
T1505F,瑞銀全方位高收益債券證券投資,TW000T1505F3,2018/2/8,CIOIBU,
T1505G,瑞銀全方位高收益債券證券投資,TW000T1505G1,2018/2/8,CIOGBU,
T1505H,瑞銀全方位高收益債券證券投資,TW000T1505H9,2018/2/8,CIOIBU,
T1506A,瑞銀２０２３至２０２５年機動,TW000T1506A2,2020/1/30,CIOGBU,
T1506B,瑞銀２０２３至２０２５年機動,TW000T1506B0,2020/1/30,CIOIBU,
