combine,number,0,mkt
s222,1904,正隆,TSE
s223,1905,華紙,TSE
s224,1906,寶隆,TSE
s225,1907,永豐餘,TSE
s226,1909,榮成,TSE
s227,2002,中鋼,TSE
s228,2006,東和鋼鐵,TSE
s229,2007,燁興,TSE
s230,2008,高興昌,TSE
s231,2009,第一銅,TSE
s232,2010,春源,TSE
s233,2012,春雨,TSE
s234,2013,中鋼構,TSE
s235,2014,中鴻,TSE
s236,2015,豐興,TSE
s237,2017,官田鋼,TSE
s238,2020,美亞,TSE
s239,2022,聚亨,TSE
s240,2023,燁輝,TSE
s241,2024,志聯,TSE
s242,2025,千興,TSE
s243,2027,大成鋼,TSE
s244,2028,威致,TSE
s245,2029,盛餘,TSE
s246,2030,彰源,TSE
s247,2031,新光鋼,TSE
s248,2032,新鋼,TSE
s249,2033,佳大,TSE
s250,2034,允強,TSE
s251,2035,唐榮,OTC
s252,2038,海光,TSE
s253,2049,上銀,TSE
s254,2059,川湖,TSE
s255,2061,風青,OTC
s256,2062,橋椿,TSE
s257,2063,世鎧,OTC
s258,2064,晉椿,OTC
s259,2065,世豐,OTC
s260,2066,世德,OTC
s261,2067,嘉鋼,OTC
s262,2069,運錩,TSE
s263,2070,精湛,OTC
s264,2073,雄順,OTC
s265,2101,南港,TSE
s266,2102,泰豐,TSE
s267,2103,台橡,TSE
s268,2104,國際中橡,TSE
s269,2105,正新,TSE
s270,2106,建大,TSE
s271,2107,厚生,TSE
s272,2108,南帝,TSE
s273,2109,華豐,TSE
s274,2114,鑫永銓,TSE
s275,2115,六暉-KY,TSE
s276,2201,裕隆,TSE
s277,2204,中華,TSE
s278,2206,三陽工業,TSE
s279,2207,和泰車,TSE
s280,2208,台船,TSE
s281,2211,長榮鋼,TSE
s282,2221,大甲,OTC
s283,2227,裕日車,TSE
s284,2228,劍麟,TSE
s285,2230,泰茂,OTC
s286,2231,為升,TSE
s287,2233,宇隆,TSE
s288,2235,謚源,OTC
s289,2236,百達-KY,TSE
s290,2239,英利-KY,TSE
s291,2241,艾姆勒,TSE
s292,2243,宏旭-KY,TSE
s293,2247,汎德永業,TSE
s294,2250,IKKA-KY,TSE
s295,2301,光寶科,TSE
s296,2302,麗正,TSE
s297,2303,聯電,TSE
s298,2305,全友,TSE
s299,2308,台達電,TSE
s300,2312,金寶,TSE
s301,2313,華通,TSE
s302,2314,台揚,TSE
s303,2316,楠梓電,TSE
s304,2317,鴻海,TSE
s305,2321,東訊,TSE
s306,2323,中環,TSE
s307,2324,仁寶,TSE
s308,2327,國巨,TSE
s309,2328,廣宇,TSE
s310,2329,華泰,TSE
s311,2330,台積電,TSE
s312,2331,精英,TSE
s313,2332,友訊,TSE
s314,2337,旺宏,TSE
s315,2338,光罩,TSE
s316,2340,台亞,TSE
s317,2342,茂矽,TSE
s318,2344,華邦電,TSE
s319,2345,智邦,TSE
s320,2347,聯強,TSE
s321,2348,海悅,TSE
s322,2349,錸德,TSE
s323,2351,順德,TSE
s324,2352,佳世達,TSE
s325,2353,宏碁,TSE
s326,2354,鴻準,TSE
s327,2355,敬鵬,TSE
s328,2356,英業達,TSE
s329,2357,華碩,TSE
s330,2358,廷鑫,TSE
s331,2359,所羅門,TSE
s332,2360,致茂,TSE
s333,2362,藍天,TSE
s334,2363,矽統,TSE
s335,2364,倫飛,TSE
s336,2365,昆盈,TSE
s337,2367,燿華,TSE
s338,2368,金像電,TSE
s339,2369,菱生,TSE
s340,2371,大同,TSE
s341,2373,震旦行,TSE
s342,2374,佳能,TSE
s343,2375,凱美,TSE
s344,2376,技嘉,TSE
s345,2377,微星,TSE
s346,2379,瑞昱,TSE
s347,2380,虹光,TSE
s348,2382,廣達,TSE
s349,2383,台光電,TSE
s350,2385,群光,TSE
s351,2387,精元,TSE
s352,2388,威盛,TSE
s353,2390,云辰,TSE
s354,2392,正崴,TSE
s355,2393,億光,TSE
s356,2395,研華,TSE
s357,2397,友通,TSE
s358,2399,映泰,TSE
s359,2401,凌陽,TSE
