,ave
BOP,0.7334477065874015
CDLLONGLINE,0.5072241419308287
CDLCLOSINGMARUBOZU,0.4975240769295282
CDLBELTHOLD,0.49124089121698467
WILLR,0.4561990395230199
CCI,0.4146039911162989
RSI,0.37500944185893453
CMO,0.3750094418589344
CDLMARUBOZU,0.34837969789887047
MOM,0.31953988749368023
ROCR100,0.31796630782708785
ROC,0.31796630782708785
ROCP,0.3179663078270878
ROCR,0.3179663078270878
ULTOSC,0.30881233515286505
PLUS_DI,0.23802181521951085
MINUS_DI,0.2233156347906783
CDLENGULFING,0.20306845419760008
MINUS_DM,0.20306545890489933
ADOSC,0.19576598113492935
PLUS_DM,0.19155965803720726
SAR,0.18964665600079397
CDL3INSIDE,0.17110555444287215
SAREXT,0.17041728532142453
MFI,0.1547255485083394
LINEARREG_INTERCEPT,0.15146901210737915
CDLHARAMI,0.1447341436294405
WMA,0.14074113845908642
ATAN,0.14063310418289493
HT_TRENDLINE,0.13941670527388306
LN,0.13891778279939299
LOG10,0.13891778279939299
SQRT,0.13808803595053248
KAMA,0.13735161432957163
EMA,0.13664036750823066
FLOOR,0.1365597902757425
CEIL,0.13637530272431234
TRIMA,0.1338216569443767
SMA,0.13165884584974907
MA,0.13165884584974907
SUM,0.13165884584974905
DEMA,0.13036962951468606
T3,0.1285060026851041
CDL3OUTSIDE,0.1250757420764057
CDLSHORTLINE,0.12313282328808856
TRIX,0.11627362930310776
SINH,0.11576939166755723
EXP,0.11576939166755046
COSH,0.11576939166754369
TEMA,0.11535314755285443
MIDPRICE,0.11374959036872022
OBV,0.10637814035180036
AROONOSC,0.10583926197022779
MIDPOINT,0.10382542780793183
NATR,0.10357410664947307
MIN,0.10267650923494848
CDLINVERTEDHAMMER,0.0936776499824778
BETA,0.08692360771024174
LINEARREG_ANGLE,0.08377008733864799
LINEARREG,0.08353174446846268
WCLPRICE,0.0812787932663982
LINEARREG_SLOPE,0.08092597419978038
MAX,0.07887021394869523
CDLHANGINGMAN,0.0774770468317736
CDLSHOOTINGSTAR,0.07668696645986367
TSF,0.07444009535850864
MAXINDEX,0.07420570894732707
CDLDOJISTAR,0.07089017225611507
MININDEX,0.06985897762838449
CDLHARAMICROSS,0.06428139282662082
TYPPRICE,0.06228104092354901
VAR,0.06028820692148465
CDLHAMMER,0.05448305723558465
STDDEV,0.05318736248896213
CDLHOMINGPIGEON,0.048579917631313724
CDLSPINNINGTOP,0.04692064019506299
CDLTHRUSTING,0.044935708532383975
AD,0.04435228396231593
TRANGE,0.041846137854329654
DIV,0.041673437865006026
ADXR,0.040595050992042574
DX,0.04012885833692229
SUB,0.03724197425557776
CDLHIKKAKE,0.03290360672840114
HT_DCPHASE,0.032615440061279054
ATR,0.032402409578125645
CORREL,0.031281170226069556
ADX,0.0294812024150244
PPO,0.024468108704708582
ADD,0.02409459701868538
MEDPRICE,0.02409459701868538
AVGPRICE,0.023837478028788352
HT_DCPERIOD,0.023732552796019
MULT,0.02350924722642469
CDLDOJI,0.021698977071477613
CDLLONGLEGGEDDOJI,0.021162313265248433
APO,0.020441513648345132
CDLHIGHWAVE,0.0195825121054143
CDLRICKSHAWMAN,0.017619622780659344
CDLTAKURI,0.017357852505264264
CDLDRAGONFLYDOJI,0.01731066596418159
SIN,0.011031946193266652
TAN,0.007280998827364632
HT_TRENDMODE,0.005928344270129941
COS,0.004980910486434631
CDLGRAVESTONEDOJI,0.004176124912161529
CDLMATCHINGLOW,0.0011229410938624939
