,ave
BOP,0.7358010126620228
CDLLONGLINE,0.5065239760757402
CDLCLOSINGMARUBOZU,0.4928487449104957
CDLBELTHOLD,0.49091375497558176
WILLR,0.4516194597828117
CCI,0.4189362487339225
CMO,0.3597258457656442
RSI,0.3597258457656442
CDLMARUBOZU,0.3414939730481909
ROCR100,0.3149181397386595
ROC,0.3149181397386595
ROCP,0.3149181397386595
ROCR,0.3149181397386595
MOM,0.31455032080500517
ULTOSC,0.30005910091331817
PLUS_DI,0.23087660811794133
MINUS_DI,0.22370508039623666
ADOSC,0.2065976690236583
MINUS_DM,0.2061526432748017
CDLENGULFING,0.19998429326404785
SAR,0.19387735690229402
PLUS_DM,0.19063275281630862
SAREXT,0.17769447275266192
MFI,0.17080669850232896
LINEARREG_INTERCEPT,0.1656598288236093
HT_TRENDLINE,0.16309015311162853
CDL3INSIDE,0.16229720698897754
MA,0.16064503254776533
SMA,0.16064503254776533
SUM,0.16064503254776533
TRIMA,0.1606091379001163
KAMA,0.15529977469213824
WMA,0.15386849072623301
EMA,0.1513170593659198
CDLHARAMI,0.14830500046756911
COSH,0.14678412596658547
EXP,0.1467841259665804
SINH,0.14678412596657534
TRIX,0.14645161943343185
SQRT,0.14352780618856853
ATAN,0.1434872733139942
LOG10,0.1434753709414558
LN,0.1434753709414558
CEIL,0.14261756123906896
FLOOR,0.1425128015402653
DEMA,0.13523819305810042
CDL3OUTSIDE,0.13068647037971293
AROONOSC,0.125887835320536
CDLSHORTLINE,0.125256377687627
MIN,0.12373179376809837
NATR,0.12110065135128575
T3,0.11676310508658125
MIDPRICE,0.11468924046791319
TEMA,0.10821425826368616
MIDPOINT,0.10435085289796395
MAX,0.10379790759044613
BETA,0.10309829133901782
LINEARREG_ANGLE,0.10227983015895241
LINEARREG_SLOPE,0.0971358518114325
OBV,0.09268812786272575
CDLINVERTEDHAMMER,0.09225293641574005
WCLPRICE,0.08846860076689389
CDLHANGINGMAN,0.07908549223026437
CDLSHOOTINGSTAR,0.07401486371056551
TYPPRICE,0.06978168891987188
LINEARREG,0.06951423937662632
AD,0.06811000537270673
CDLHARAMICROSS,0.06595356608182582
TSF,0.05907430319020397
CDLDOJISTAR,0.058084815633622666
CDLHAMMER,0.05120032362621802
CDLHOMINGPIGEON,0.050652551918616576
CDLSPINNINGTOP,0.046179309617871075
VAR,0.040862872116470585
ATR,0.03937038478130404
CDLTHRUSTING,0.03538454327529774
ADXR,0.03452697433288332
ADD,0.03220502319222571
MEDPRICE,0.03220502319222571
MULT,0.032156666161571326
AVGPRICE,0.03204691965415768
CDLHIKKAKE,0.03055270886712791
STDDEV,0.030344206121210145
ADX,0.027681954346649364
DIV,0.02678125745998612
MAXINDEX,0.025969624537980837
DX,0.022074221308080393
CDLHIGHWAVE,0.020413581518789622
APO,0.0174882030257446
CDLLONGLEGGEDDOJI,0.016884826024814094
PPO,0.016822232229507024
CDLDOJI,0.016773599465424113
CDLTAKURI,0.015778643791955958
CDLDRAGONFLYDOJI,0.01575625132928632
SUB,0.015379243080572893
CORREL,0.015071296559508078
CDLRICKSHAWMAN,0.012003906865077721
TRANGE,0.010497453435826748
CDLGRAVESTONEDOJI,0.009434236491185195
MININDEX,0.007828450644824363
HT_DCPHASE,0.006385502096749196
CDLMATCHINGLOW,0.006013809864252577
SIN,0.0049776501035859455
TAN,0.003964300718232189
HT_TRENDMODE,0.0029518185537630473
COS,0.002685384074119301
HT_DCPERIOD,0.0006869687370880299
