,BOP,HT_DCPHASE,MIN,VAR,COS,TAN,PLUS_DM,SIN
0,-0.068205915,0.08402018,-0.07873881,0.09402018,0.024465106,0.1024575,-0.008818264,0.038314607
1,-0.048462458,0.07677844,0.055911086,0.027476246,-0.061215132,0.100864716,-0.15027316,0.11943085
2,-0.07883641,0.04560347,-0.06412136,-0.038051996,0.018330066,0.03363714,-0.06973278,-0.02456134
3,0.05205608,-0.037976176,0.034227375,-0.031570323,-0.0063267625,0.02233467,-0.032722898,0.031819176
4,0.030987538,-0.08083417,0.0038377205,0.030794557,-0.06947183,0.016315661,0.038005643,0.024434183
5,0.0699822,-0.0076848017,0.041489456,-0.088933684,0.07161834,-0.060228202,0.07234143,-0.09380904
6,0.08444749,0.0008753627,-0.012780645,0.07353442,0.025627373,0.056524765,-0.06506801,0.019836444
7,-0.0013063077,0.038801085,0.044926528,-0.02539396,0.06401351,-0.10521515,-0.058755223,0.032342292
8,0.072288066,-0.049410902,-0.05437,-0.039062653,0.09603945,-0.0442219,0.01599975,-0.06465846
9,-0.06733196,-0.039147068,-0.04559101,-0.039136138,0.08491763,-0.0382728,-0.03331564,-0.08419138
10,0.019884894,-0.08660232,-0.023330068,0.07635623,0.047372982,-0.048180413,-0.09696496,-0.027400086
11,-0.06800565,0.029828278,0.014168061,0.0045370134,-0.073914245,-0.023628762,0.039205253,-0.07425489
12,0.06678906,-0.016942348,0.03177086,-0.042430885,0.0072020185,0.054490514,-0.05982597,-0.002673992
13,0.013995805,0.05250505,-0.058983296,0.055914067,0.01745336,-0.08560966,-0.05852076,-0.04385811
14,0.04172824,-0.042076122,-0.040247843,-0.031484284,-0.078024775,0.09688021,-0.028456423,0.03838668
15,-0.02251298,0.039409906,-0.044605583,-0.018796425,0.016783984,-0.007891966,0.026322853,0.020063655
16,-0.06529679,0.059627928,-0.013135724,0.08736134,0.0012263664,0.031869516,-0.004049211,0.061580677
17,-0.020845972,-0.029008029,0.00906367,-0.017784813,-0.025039535,0.030381544,-0.008893128,-0.05609408
18,0.047350697,0.019165894,0.03070309,-0.041647375,0.0396856,-0.03308275,-0.03200699,0.033640027
19,0.01192061,0.049108442,0.037802603,-0.044196777,0.086078174,-0.02987105,0.07456507,0.0020062772
20,0.03540403,0.020330774,-0.06309977,-0.026755223,-0.003909597,-0.006237825,-0.082049154,-0.06848744
21,-0.0241282,-0.053868555,-0.057814408,-0.038421117,0.041297466,-0.084835865,-0.04571758,0.044177957
22,0.036951486,0.07167847,-0.03797494,0.03587748,-0.029507633,0.009571859,0.04872643,0.016692786
23,-0.054842267,0.029329356,0.08066279,-0.014255525,0.00639778,0.09451576,-0.019420752,-0.010780381
24,0.06522023,0.07850314,0.06272279,0.06367551,-0.004651117,0.045254715,-0.025862306,0.013114888
25,-0.0310346,-0.022192985,-0.07816629,-0.013977198,-0.073026255,0.064670615,0.04360176,-0.046319656
26,0.051706057,0.060246103,-0.05227855,0.0075829867,-0.0304901,0.065504566,-0.08638372,-0.06881053
