,BOP,HT_DCPHASE,MIN,VAR,COS,TAN,PLUS_DM,SIN
0,0.10072212,-0.070817195,0.018160757,0.03598316,0.048237618,-0.0117937345,-0.003075927,-0.19474782
1,-0.15025744,0.0037195615,0.04461847,0.030107483,0.06797697,0.017989373,-0.061563,0.19732042
2,0.7211853,-0.08978866,-0.014058248,0.1096701,-0.07490638,-0.15443978,0.029007396,-0.70340085
3,-0.03630837,-0.017314374,-0.08148426,0.0052279513,0.08046985,-0.02389524,0.03939234,0.023255719
4,0.50531083,-0.00883484,-0.12115373,0.031632632,0.016112385,-0.049225017,0.05699991,-0.57242507
5,-0.079899885,-0.014744872,-0.019638767,-0.00556645,-0.0677393,0.0044633686,-0.00570447,0.20287694
6,0.4559525,-0.028638111,0.0029048733,0.105275445,-0.05176552,-0.04753614,0.08211458,-0.41507927
7,-0.2395498,-0.05685311,-0.0345892,-0.030675726,-0.046057776,0.030393548,0.0495501,0.19446096
8,-0.40531105,0.03035952,0.03031751,-0.04531546,0.04320729,0.029236445,-0.030855896,0.3700888
9,-0.081075676,0.014074891,0.038035896,0.0039886064,-0.081557184,-0.07518726,-0.09070492,0.058363106
10,-0.17444119,0.06269427,-0.01721937,-0.07186878,-0.06292727,-0.03504171,-0.03760363,0.21268278
11,0.07970818,-0.026501242,0.053672545,-0.039545923,-0.07155052,-0.09994351,-0.05093853,-0.035387848
12,0.05124244,0.042950664,0.03474183,-0.018688409,0.07743367,0.07633662,-0.03031398,-0.054578178
13,-0.15840337,-0.0061281025,-0.022321934,-0.05334035,0.071031526,0.009972348,0.07525896,0.09984682
14,-0.05073163,-0.05520066,0.06813845,0.075220756,-0.027866868,-0.0027869542,-0.085269086,-0.07659353
15,-0.22404075,-0.0066880253,-0.019596154,0.023493081,-0.045823105,0.02221732,0.052988306,0.1978608
16,0.085220255,-0.051883526,-0.08789636,-0.021131942,0.047870222,-0.030311344,-0.0273878,-0.1763171
17,-0.1766643,0.009396285,0.012619055,-0.095693775,-0.008173312,0.08542829,0.0012056446,0.16305204
18,0.2431878,0.042574678,0.045589015,0.120775074,0.06020073,-0.08627229,-0.002836811,-0.15287279
19,0.12335578,0.05187964,0.070822425,-0.07279869,-0.033890758,-0.08417012,0.012969107,-0.07472476
20,0.07682776,-0.045016315,0.025697162,-0.014448824,0.087164104,-0.05872191,-0.08372452,-0.077856354
21,0.04189171,-0.027607355,-0.034306638,-0.034636375,0.05471297,0.060767338,-0.039810926,0.023574699
22,0.056356985,0.08378724,0.059114862,-0.091319904,0.06415857,-0.010742261,0.050580706,0.022198984
23,-0.105526105,0.06291578,0.074150056,0.04533171,0.04802965,0.054107565,-0.05740221,-0.0011798347
24,0.3227839,-0.030164527,-0.02803155,0.026611365,-0.0010249495,0.0026006643,0.11511079,-0.4009249
25,-0.052466176,0.0020531493,0.00092388334,0.034845293,0.06623303,-0.029347166,0.025288798,0.14110295
26,0.10276393,0.039980218,0.00010192765,0.035491686,-0.0029856332,0.055061176,-0.033003576,-0.069261275
27,0.21177775,-0.030064786,0.008549579,-0.0025721933,0.0150087485,-0.0631871,0.089407794,-0.055865914
28,-0.08275309,-0.058737457,0.0010499613,-0.039515886,-0.010248693,0.09337082,-0.008581863,0.09517345
29,0.016006475,0.011328522,-0.006198956,0.056352634,-0.067221634,-0.049785476,-0.06772038,0.01167183
30,0.13183059,0.029362928,0.04262611,0.102424495,-0.027923921,-0.018700344,0.06839653,-0.08490307
31,0.30486575,0.056783386,0.034309737,0.07720045,0.023572886,-0.0773867,0.025717653,-0.26476443
32,0.023916885,0.05171884,0.0828148,0.018386392,0.014960729,0.07904207,0.021419544,-0.0795101
33,0.29990444,0.0033787072,-0.014753823,-0.015997672,0.043136377,-0.11974094,-0.035004128,-0.30028617
34,0.22473992,0.025332293,-0.04157347,0.009145655,-0.039074272,-0.05279624,-0.048576504,-0.14541668
35,0.006337204,-0.052709777,0.087475,-0.06571752,0.07806646,0.016414236,0.05582723,0.090568274
36,0.05644278,-0.08630439,-0.07065223,0.053898286,0.044743884,-0.09159779,0.06406274,-0.10738448
37,0.43450814,-0.0034572624,-0.00060424104,0.11313371,-0.007321313,-0.02685806,-0.041071825,-0.23674299
38,0.0025647068,-0.014481251,-0.019575983,-0.09087413,0.008907004,0.09720642,-0.010991011,-0.0070866044
39,-0.14491172,0.085840024,0.08495326,-0.024483014,0.029876243,0.092594065,-0.08864517,0.07385146
40,-0.30443743,-0.028417893,0.094024636,-0.00088615285,-0.037882097,-0.039698016,-0.034059923,0.27490634
41,0.37391648,0.055453926,-0.05654772,0.03649928,-0.069675945,-0.1181602,0.033361897,-0.18939818
42,-0.31646946,0.036947742,-0.009053067,-0.030208189,0.095255606,0.12688541,0.057643417,0.15021816
43,-0.0046270383,-0.06316894,-0.06277594,0.046517994,0.051142123,0.047489256,-0.0787397,-0.10827128
44,-0.1450735,0.062256172,-0.03242703,-0.056544866,-0.07759515,0.030913124,0.065652564,0.16105253
45,0.028764905,0.037665803,0.044087555,-0.06554498,-0.0061442745,-0.049414784,0.010098634,-0.011516935
46,-0.13679023,-0.03900647,-0.039382044,-0.091297746,-0.07048763,-0.057487953,-0.076451994,0.1819307
47,0.050972257,0.055202506,-1.939991e-05,0.008651215,-0.041507307,-0.02249804,0.072180204,-0.17891046
48,-0.14080955,-0.014727491,0.070292145,-0.11005174,0.093996316,0.05563524,-0.037448443,0.09328809
49,0.41937098,0.025653783,-0.010428477,0.008251426,0.0593369,-0.033040665,-0.039106883,-0.35102636
50,0.024784887,0.0034052616,-0.016045138,0.06765654,-0.07553889,0.085482575,0.024404569,-0.06554677
51,0.569359,-0.059458844,-0.12903437,0.039284293,0.023781946,-0.1451894,-0.038152553,-0.38327104
52,-0.07391305,0.0660905,0.099058844,-0.05789842,0.0801123,-0.026764948,0.05176609,0.11464916
53,-0.52779394,0.031168923,0.10815319,-0.13525394,0.021867065,-0.0026335253,-0.12953907,0.3340113
54,0.06842799,-0.06330511,-0.09051494,0.08688731,-0.08651675,-0.09803886,-0.063260466,-0.0025967048
55,-0.026684513,0.07912534,0.018535534,-0.08426998,-0.06635627,-0.0036065942,0.0068964325,-0.005297462
56,-0.43251732,0.01632058,0.13686082,-0.014958822,0.01736198,0.0033705833,-0.08580784,0.37492564
57,-0.27967542,0.052084282,0.016297445,0.04488547,0.011803057,0.045319337,0.006619776,0.16951777
58,-0.12988636,0.044704523,-0.047910076,-0.0041576326,0.022817397,0.039723415,-0.079555824,0.1949473
59,0.62576276,-0.06534436,0.0017332643,0.18491343,0.050107967,-0.07247889,-0.011716852,-0.61245525
60,0.30586812,-0.02343551,0.010588961,-0.01124721,-0.05393324,0.033169277,0.054301843,-0.18347391
61,-0.15665285,0.015683742,0.06883166,-0.05649617,0.022915337,0.11518941,0.01903227,0.18471368
