,BOP,LINEARREG,SIN,HT_DCPERIOD,VAR,TRIX,COS,TAN
0,0.074309416,0.02933402,-0.07356091,-0.058446206,-0.01634268,0.07357454,-0.020909725,-0.07445802
1,-0.032149035,0.050972298,0.0063217115,-0.040921994,-0.07543115,0.08631039,-0.020084212,0.020919325
2,0.053207096,0.044998433,-0.07135354,0.05420843,-0.08070662,0.04084169,0.05232687,-0.05001202
3,0.014677134,0.07901467,-0.0777701,-0.03664344,-0.007471514,0.06204124,-0.07602805,-0.09184158
4,0.014511301,-0.05257735,-0.013461573,0.058501266,-0.04158406,0.0036036228,0.0007259497,0.02865674
5,-0.07881125,-0.06473042,-0.03073865,-0.017976401,0.09322022,-0.016605256,-0.08566541,0.03983641
6,-0.046634827,0.0019637807,-0.041014593,-0.05073526,0.08197088,0.038028084,-0.0635848,0.05283999
7,0.044303924,-0.05320497,-6.893987e-05,0.07937388,-0.02761908,0.08642137,0.05047966,0.0318336
8,0.059223674,-0.058509182,-0.047726654,-0.11229082,-0.049402352,0.07494233,-0.075304195,0.0036434704
9,0.077623114,0.0632656,0.030084722,0.06661079,-0.01927223,-0.015680598,-0.04849324,0.06269848
10,0.14107461,0.023918733,0.0076624593,0.016179753,0.018180376,0.06267515,-0.04703832,0.057717998
11,-0.11886,-0.04962814,0.0037855785,0.04473687,0.015918886,0.06833586,0.035912253,0.09196138
12,0.091639005,0.053640135,0.04373703,0.038008064,0.03235707,0.0068734908,0.029778462,-0.020130413
13,0.07143289,0.00032439915,0.08019643,-0.008791733,0.05547758,-0.036554914,0.010205164,0.025929324
14,0.06995618,0.03398694,0.029185582,-0.07004593,0.059403278,-0.033138122,0.04574317,0.035283078
15,-0.10662719,0.003962273,0.042139176,-0.06473204,0.079934604,-0.036594596,0.036067262,0.0029290363
16,0.11371001,0.0858719,0.055235546,0.06980093,0.033336278,0.0041997833,-0.049753726,-0.009252155
17,-0.17343262,0.06291007,-0.059809227,0.1011378,0.09338683,-0.049221978,-0.09427171,0.08047273
18,-0.04710149,-0.07017388,0.06830134,0.002325962,-0.07014533,0.018699942,0.003653075,0.041226782
19,-0.09313839,0.02592966,0.007377002,0.03284396,-0.037075713,0.072388865,0.054757275,-0.032089774
20,-0.044743486,0.05525222,0.07711521,-0.011073782,0.057281416,-0.04680424,0.0023146064,0.0008351689
21,-0.09813,0.0142958285,-0.013537373,-0.009137163,0.01494321,-0.044076897,-0.05282793,-0.028746825
22,-0.07270205,-0.06723632,0.033278126,0.0071494067,0.037278336,-0.045328837,0.029360322,0.06411818
23,0.0001480741,0.082442924,-0.031305186,-0.08784726,-0.0034721217,-0.045450546,-0.027103035,-0.05345619
24,0.011695522,-0.07503699,0.08244956,-0.03873993,0.08490047,0.055248983,0.05785142,0.03044315
25,0.05354813,0.020523699,-0.08183891,0.025909737,0.02472491,0.01810615,-0.054596055,-0.014667134
26,-0.08936004,-0.034392834,-0.030997518,0.01115305,0.07775735,0.003913088,-0.075306356,0.027808942
27,0.0893013,0.035646267,0.046210036,-0.02053039,0.044839192,-0.039749913,0.021577088,0.0009057868
28,-0.086454794,0.04688,0.05371594,0.08317047,-0.07521843,0.08223005,-0.028998123,0.09331953
29,0.15746993,-0.03321134,-0.06016415,0.012986849,-0.017337535,-0.0024112314,-0.06829348,-0.022175971
30,0.09910825,0.08664772,-0.019963967,0.01697564,-0.0498389,-0.038975958,-0.0019398269,-0.07701002
31,-0.05744048,-0.007947123,0.036808755,-0.049227744,-0.0059533115,-0.0042688414,-0.08003678,-0.0939361
32,-0.08551196,-0.016374106,0.026430454,0.043700434,0.012522035,0.084562965,-0.060665302,0.003166413
33,-0.08667164,-0.055929564,-0.015529628,0.07437886,0.06297324,0.015435928,0.0590724,0.0732174
34,0.008492259,-0.030337756,0.08656158,0.063740894,0.05947101,-0.042542145,-0.018687237,0.022193875
35,-0.09218426,0.06689419,-0.054089937,0.04486754,-0.01079871,-0.02815045,-0.03709491,-0.015577233
36,-0.04879591,-0.047491312,-0.082901604,0.08756026,-0.02365687,0.062873274,-0.0020805327,0.07497489
37,0.068396136,-0.03405576,-0.009880966,-0.0028433222,-0.045007743,0.031229796,0.08526689,-0.077682644
38,-0.018883122,-0.016984668,0.06039488,-0.05118863,-0.0022388764,-0.03410553,-0.04359186,-0.06441938
39,-0.045783676,-0.04750938,0.04168696,-0.052869253,0.07136798,-0.04807709,-0.08489389,0.013128195
40,0.02400441,-0.021316096,-0.04756137,0.051604107,-0.011438841,0.078571066,-0.067921415,-0.050020244
41,0.08888541,0.087686285,-0.015196067,0.017536107,0.08723312,-0.010294887,0.088963814,-0.014366734
42,-0.14749831,-0.01909022,0.044807386,0.053934366,0.053445335,0.08302723,0.051518604,0.09238074
43,-0.085594885,0.037175752,-0.07224678,0.0015044735,0.09055276,-0.005432928,-0.051823024,-0.040367253
44,0.0050896103,0.050855957,-0.026632436,-0.075015806,0.03590975,0.021481978,-0.056457493,-0.07145384
45,-0.04701624,0.032911085,-0.088867255,0.11183767,0.057367627,-0.077998385,-0.05931744,0.046063464
46,0.0450746,0.042121276,0.028550146,0.08863228,-0.025724862,-0.04742397,0.07276829,0.02247887
47,-0.01446205,-0.031215545,-0.042533945,0.046732962,-0.08369537,0.030744774,0.054018185,0.08810968
48,0.011870269,-0.046729982,0.033164676,0.027478138,-0.021783434,0.018684927,0.054334074,-0.073108
49,0.004300552,-0.08322719,0.059444744,0.07343615,-0.025064407,0.06566372,0.02609136,-0.036502715
50,-0.11297242,-0.014313956,-0.06571718,0.060693447,0.09070391,-0.07608173,-0.04084106,-0.04137097
51,-0.0116383685,0.05287035,0.00088264386,-0.0066743423,-0.049568698,-0.050751533,-0.03819954,0.06953027
52,-0.082795024,0.024113528,-0.05382443,-0.0072374437,-0.079651386,0.08121281,-0.08866123,0.07676742
53,0.10156004,0.070129596,-0.044400528,-0.010302484,0.03798525,-0.058873784,0.06792602,0.052833486
54,0.04269689,0.037609506,0.0072114696,-0.007781331,0.0032553566,0.08380113,-0.007578574,-0.0003189763
55,-0.082344785,-0.015391104,-0.05355609,-0.03232532,-0.044926416,0.05593357,0.0119426865,0.07998701
56,0.037447475,-0.028856441,0.08005041,0.06865304,0.09280498,-0.077154644,-0.0725896,-0.024459219
57,-0.061327875,-0.082918406,-0.03513824,0.06960884,-0.06683364,-0.026262797,-0.075027235,-0.06965457
58,0.05929584,-0.080141716,0.027418552,-0.09295725,-0.050153248,0.0323616,0.023088673,0.017639302
59,0.03411177,0.018158171,0.0761137,-0.009029295,-0.028972324,0.07382524,0.022344867,0.0070925336
60,0.021079144,-0.07498135,0.017283214,-0.07600314,0.04184154,0.032121316,-0.07805982,-0.041532155
61,0.061765723,-0.040938325,0.04287862,0.06440742,0.06472703,0.055342086,0.016140465,-0.028806355
62,-0.16506049,-0.015929813,-0.030098924,0.091498144,-0.047150668,-0.02849047,0.05216707,0.06786948
63,0.090074524,-0.01323651,0.019151315,-0.021232164,-0.027497604,-0.023482932,-0.07336585,-0.03925452
64,0.0947207,0.0067468677,-0.002047935,-0.009066282,-0.02512344,0.06721016,0.047373433,0.026825158
65,-0.17910874,-0.066051096,0.045543395,-0.015639337,-0.068936974,0.024678033,0.06845464,-9.587168e-05
66,0.097355105,0.024356706,-0.04289054,-0.0132205095,-0.045143105,-0.05282369,0.017904673,-0.03458144
67,0.09320478,-0.03632975,0.035323896,-0.05138761,-0.010768963,-0.06536445,0.0843298,-0.014392875
68,0.029799676,-0.06871922,-0.005621852,-0.010317633,-0.0052132607,-0.0032445097,0.034369793,0.086094216
69,-0.0092242705,0.062913045,-0.068361185,0.088385716,0.040410798,0.029249614,0.053906634,-0.068273775
70,-0.0860044,-0.035534006,0.02097,0.065673545,-0.010744051,-0.0045666383,0.0007970598,-0.065380536
71,-0.01930462,0.0030372392,0.08280677,0.06626428,0.07051628,-0.016400306,0.079764314,0.038942114
72,-0.04782673,-0.06170094,-0.042515323,-0.057696514,-0.06578175,-0.07430687,0.04381979,-0.037683286
73,-0.06617083,-0.05283584,0.086212106,0.028421063,0.068891555,-0.051001463,0.020663258,0.013654698
74,0.027087873,-0.05896792,0.008303561,-0.05246647,-0.0697802,-0.08070796,0.07948333,-0.020512888
75,0.019747403,-0.018869793,0.051783457,0.073794656,0.050136883,-0.06874465,0.07796957,-0.02229127
76,0.020930463,0.081641756,-0.025175111,-0.045931637,-0.047477774,0.0018734317,-0.029766232,-0.0560624
77,-0.034900855,0.06710445,0.06923428,-0.044881098,-0.085025474,-0.024387954,-0.027688162,-0.057471346
78,0.03236001,-0.056757145,-0.070641674,-0.06553627,-0.05064454,-0.03590744,0.023835974,0.052309934
79,0.101951934,-0.049683478,0.030315574,0.042765014,-0.006729045,-0.026715737,-0.046714313,-0.07992903
80,-0.013836525,0.06332682,0.06695065,-0.025204895,0.01786343,-0.06611091,0.068581134,0.0023831227
81,-0.09013645,0.010376168,0.020284496,-0.0076246867,0.033284735,-0.015847955,0.06208427,-0.049544826
82,-0.06412774,-0.03996027,0.06968466,0.056986984,0.035767905,0.020103747,0.051228862,-0.07123743
83,0.121777944,-0.077678315,-0.02084091,0.01893304,-0.0016532837,-0.066774815,-0.04895661,-0.10454762
84,0.11755334,-0.034335203,-0.01980934,0.041530866,-0.0320346,0.033788037,0.086431645,-0.015179434
85,-0.09623016,-0.049572133,0.0084795365,-0.008029562,-0.04589209,0.017573122,-0.076316305,-0.011696687
86,-0.06489661,-0.08201833,-0.039015885,0.031286668,0.016326543,0.06275358,0.022302266,0.07387291
87,-0.047107305,0.027563035,0.03080016,0.028172474,0.08105089,0.028015457,-0.07913288,-0.075215615
