,BOP,LINEARREG,SIN,HT_DCPERIOD,VAR,TRIX,COS,TAN
0,-0.019425383,-0.016035704,0.06660768,-0.054525353,0.01381547,-0.0015769773,0.07075893,0.009401178
1,-0.1287552,0.07305425,0.0662097,0.012684698,0.079765424,-0.001430479,0.090082794,-0.075975515
2,0.076178275,0.03325291,-0.083676346,-0.029989557,-0.039017078,0.065727465,-0.0021858588,-0.025548562
3,0.009078626,-0.0024025058,0.02293068,-0.080098726,0.02087936,0.07545642,0.036554206,-0.0820025
4,-0.020136464,0.007886235,-0.015681177,-0.043040894,-0.03810144,0.048154816,-0.022856299,-0.014833888
5,0.024748152,0.064569235,0.025926687,-0.024718914,-0.023603974,0.08690252,0.039512005,-0.09176404
6,-0.040081084,0.05728058,0.07711496,0.05024185,0.070682794,0.054467473,0.13645464,-0.08523012
7,0.043602474,0.08740898,0.038558092,-0.031566482,-0.06816215,-0.06972618,0.040503655,0.04835642
8,0.04311217,-0.056594174,-0.09291169,-0.07084784,-0.026303964,-0.068985954,-0.08051337,-0.012901845
9,-0.2166064,-0.07542123,0.08689849,0.045780167,0.10000912,0.04178768,0.06058938,0.013532608
10,0.2056559,0.03582886,-0.03888816,0.047300417,0.029014127,-0.04674828,-0.1130696,0.023522088
11,-0.03264785,-0.04757929,-0.0310982,0.044044416,0.029269654,0.025889639,-0.02924396,-0.0744072
12,0.06153834,-0.039027844,0.049711514,0.019470999,0.06757687,0.0106925415,0.07272745,-0.021957178
13,0.13759162,-0.05669298,-0.006397114,-0.03275633,-0.033036888,-0.07626898,0.03191119,-0.024581593
14,0.07905934,-0.040116742,-0.072687276,-0.02398041,-0.048418596,0.03828975,-0.016183317,-0.051371504
15,0.09566289,0.03842809,-0.0105724195,0.009875412,-0.028362535,-0.07093657,-0.07544417,0.04160393
16,0.054117624,0.0033913285,0.02210559,-0.07830774,-0.09588774,-0.07144538,-0.083055206,0.027034862
17,-0.11720294,0.0649315,0.0010991176,0.08137537,0.086911105,0.06538556,0.020030055,0.005191485
18,0.17922778,-0.038708642,-0.13421682,-0.08957937,-0.085485406,0.054710727,-0.13987209,0.11449253
19,0.3651654,-0.06427739,-0.08059745,0.023461297,-0.015581103,-0.09340708,-0.2040253,0.08402835
20,0.029114073,0.031780966,0.011872181,-0.06185972,0.017915064,0.023692418,0.0008936406,0.068102054
21,0.12754613,-0.029610228,-0.10046125,-0.0032521265,0.07538489,0.08033838,0.025144156,-0.02206882
22,0.11095275,-0.06991661,-0.00266297,0.0670566,0.06639432,0.008638095,-0.08935631,-0.051732
23,0.015091523,0.041072972,0.006217592,-0.073179655,0.061738927,-0.04207592,-0.07280025,0.092707574
24,0.028819628,0.055847447,-0.04093045,0.052246843,0.012974481,-0.039076593,0.043325894,-0.04343116
25,-0.13492742,0.06813146,-0.022069601,0.03803313,-0.074613705,-0.07266358,0.09666608,-0.06290672
26,0.10316487,0.048628498,-0.0131454095,0.06333052,-0.08794814,-0.047667243,-0.057946615,0.062502995
27,-0.023413824,0.08477238,-0.03366024,0.0039884546,-0.08291251,0.04009227,-0.012239025,-0.0890243
28,0.24788359,0.032617744,-0.122091874,0.02669124,0.008040322,-0.06980172,-0.17291723,-0.0011543094
29,-0.031848602,-0.053992048,-0.042785507,-0.0030615306,-0.042424656,-0.03530862,-0.025697768,-0.03336572
30,0.20662358,-0.034282237,-0.031982627,-0.010434742,0.05332543,0.046338942,-0.088685505,0.031183861
31,-0.063645184,-0.021080822,0.008322171,0.026783178,0.052740905,-0.003095809,-0.036963347,-0.015471307
32,0.09378432,0.040155735,0.02272887,-0.06316276,0.04626854,-0.046880472,-0.06522366,0.09561326
33,-0.10167628,-0.0740972,0.020202678,-0.030359793,-0.074629806,-0.03460889,0.12002497,0.023178903
34,0.03414538,0.029985536,0.04302762,0.0070597245,-0.018388117,-0.087121,0.025656408,0.039065275
35,0.048774946,-0.032251418,-0.012728186,0.0057273805,0.023264132,-0.049342092,0.039217353,0.055684634
36,0.099415,0.07243737,-0.10931846,0.051423408,0.046666104,0.07530939,-0.12563717,-0.05966217
37,0.11209688,0.04617295,-0.035436224,0.05295845,0.052846517,0.04407028,-0.078453265,0.03230523
38,-0.10026169,-0.008220058,-0.006392645,-0.015125958,0.0013752645,0.04988337,0.09159421,-0.09378488
39,0.040982492,-0.0015456858,0.06369186,-0.08660561,-0.08024138,0.029837042,-0.004503997,0.05807594
40,0.123817146,0.013333517,-0.0030568836,-0.010475213,-0.050653074,-0.012568672,-0.17440554,-0.049040858
41,-0.06924978,0.051175024,0.05305039,0.06947297,-0.054247107,-0.084227726,-0.014719368,0.023758622
42,-0.020063903,-0.08350812,0.06615431,-0.04240964,0.088291004,0.08285912,0.13934243,-0.076819606
43,-0.0796553,-0.056309406,0.073732324,-0.042038925,-0.015991548,0.081728816,0.03232808,-0.07358966
44,-0.18472883,-0.009493845,0.0741666,0.095810905,0.029160827,0.081433445,0.03497122,-0.11765777
45,-0.028628584,0.08550222,0.07793598,-0.072978586,-0.04288723,0.0252137,0.004464266,-0.002797605
46,-0.13351019,-0.071219124,0.08768145,0.08900399,-0.030598572,-0.07878814,0.056049656,0.0027428067
47,0.26353228,0.038094968,-0.07553483,0.013288386,0.011956805,0.015258449,-0.20270048,0.001739374
48,-0.009331032,-0.0771743,0.042086337,0.08434315,0.028416863,0.07886665,0.05954483,0.00969491
49,0.009083309,0.07457005,-0.054765806,-0.072156444,-0.028162412,0.05214462,-0.0061097667,0.08876288
50,-0.08424881,0.08878782,0.076076664,0.069431536,0.033003073,-0.010895108,0.008249496,-0.0476399
51,0.08334985,-0.055432156,-0.0465646,-0.045787934,0.043320816,0.025050366,0.07438798,0.06679105
52,0.19304204,0.043835323,0.032374505,-0.07578612,-0.06792006,0.045478728,-0.014295823,0.07948911
53,0.01764622,-0.059152286,-0.020511094,0.031615607,-0.024242336,-0.017798245,0.03435169,0.073080845
54,0.014142921,0.06534626,-0.07918223,0.080732465,-0.07618088,0.0095820725,-0.046353303,-0.0460465
55,0.05292927,0.006477385,-0.073544525,-0.02792868,-0.028915212,-0.08199534,-0.046887834,0.06945612
56,-0.074957326,-0.086966544,0.0193455,-0.06327319,-0.066837706,0.06301181,0.16637063,-0.08318846
57,-0.008959675,-0.07375784,0.023830509,-0.041649457,0.05590731,-0.05046307,-0.0029353,-0.03863862
58,0.010684446,-0.03396612,-0.028680027,0.07283763,0.041892838,0.01608414,0.09892722,0.0047802497
59,-0.00949003,0.0657182,0.00881296,0.021396156,0.00065782585,0.06266105,0.11720847,-0.07798528
60,-0.07723305,0.08351392,0.039824914,-0.062209245,-0.06484011,0.07470389,-0.020065581,0.017358677
61,0.07333886,-0.06302984,-0.010242466,-0.029846925,-0.039860837,-0.08244926,0.026801545,-0.012516494
62,-0.04117232,-0.05065343,0.08091759,-0.009338607,0.0036446608,-0.08086904,-0.0069062137,-0.010849988
63,-0.050961476,-0.06861221,0.074832365,-0.060728624,0.0022005043,-0.0044188984,0.06376579,0.08111179
64,-0.032119997,-0.067899674,0.034787953,0.06864779,-0.018302392,-0.05433664,-0.009881609,-0.008393785
65,0.15206341,-0.026465263,0.059424132,0.025175085,0.05722696,-0.05978775,-0.065601215,-0.034342095
66,-0.021648604,0.048466656,-0.00069340004,0.08211059,-0.075756736,-0.042875078,-0.003580814,0.04083632
67,0.05104417,0.085550256,0.028836403,-0.06646627,-0.04830982,0.051842373,-0.08563554,0.081748344
68,-0.012687879,0.08033857,0.0073885405,-0.05595044,-0.02592321,-0.07986904,-0.08743183,-0.058297407
69,0.09848341,0.049055107,-0.02887409,-0.07845868,-0.09258743,0.058200933,-0.020737391,0.07507674
70,0.06785353,-0.05188233,-0.07334394,-0.030793138,0.059177052,0.017504115,-0.059800334,0.07760999
71,0.06402005,0.013262072,-0.10806997,0.07314625,0.028958835,0.0029606468,-0.01319623,0.07249768
72,0.03237552,-0.019853938,-0.08741398,0.0693737,0.010987664,0.06881967,0.016024284,-0.049987786
73,0.046698328,-0.05406769,0.068118714,0.027631631,0.043532036,0.021347126,0.063522086,-0.085699506
74,0.0517507,-0.0033481305,-0.0021153977,0.016650734,-0.036685456,0.084306754,0.022626594,-0.04446641
75,-0.11674927,-0.0617266,0.0044152234,0.07199198,0.0006934167,0.07727792,0.11881809,-0.091626845
76,-0.195458,-0.084892265,0.11659078,-0.026357403,-0.04661299,0.061490998,0.058747295,8.1826234e-05
77,-0.2685171,-0.008145099,0.12714745,0.013952758,0.05682355,0.018496577,0.117229685,-0.072963655
78,0.055744663,-0.024936682,-0.076981366,-0.08881968,0.05070331,0.049771175,-0.09068413,0.082829475
79,0.007919254,-0.063677765,0.05629023,-0.05301842,0.046371564,0.06989788,0.004992839,-0.0102053415
