,BOP,LINEARREG,SIN,HT_DCPERIOD,VAR,TRIX,COS,TAN
0,0.14135213,0.062614165,0.23779926,0.0022945588,-0.15429571,-0.02377733,-0.064347155,-0.15147284
1,0.09585913,-0.05930872,0.048614692,0.0018313198,-0.112029746,0.070229486,-0.075003155,-0.042411543
2,-0.18002203,0.03904631,-0.18199597,0.066677965,0.07560469,-0.07022256,0.11283568,0.10111695
3,0.005862674,-0.04083665,-0.07373688,0.0054392708,-0.04534397,-0.07870206,0.03916904,-0.044706974
4,-0.014804306,0.01637223,0.028918438,-0.06386282,0.062208567,-0.06293215,-0.05926148,-0.0026250768
5,0.08285316,-0.03884018,0.07774737,0.061329823,-0.046003517,0.07996257,-0.08497868,-0.05381536
6,-0.042330604,0.07934934,0.12123248,0.020884888,-0.063318714,0.09665863,0.053099506,-0.007361747
7,-0.0027560808,-0.10202096,-0.19409598,-0.039058562,0.05836829,-0.0135041205,0.018658044,0.025841875
8,-0.08331151,-0.027722375,-0.10202292,0.043869216,0.045461223,-0.065723866,-0.031504605,0.05513884
9,-0.09100517,-0.09673516,-0.19204433,-0.038460292,0.12478824,-0.09071184,0.057722405,0.20749937
10,-0.0937014,-0.09015931,-0.27448356,0.098689005,0.19644494,-0.08938834,0.13978492,0.03047485
11,-0.11442523,-0.056704383,-0.056367908,-0.045960095,0.13615957,0.044152938,-0.029331978,0.019721234
12,0.08425758,0.014300668,0.01929525,-0.051905915,0.011254969,0.021181494,-0.06527345,-0.012856213
13,-0.04418576,0.07164818,-0.058148082,0.085248835,0.09051348,-0.0043211537,-0.06187162,-0.023737805
14,-0.040584374,0.07830423,-0.014245668,0.011645214,-0.07223925,-0.06698949,0.0037611553,-0.07729814
15,-0.057662595,-0.025437187,0.029556436,0.03824355,-0.05278079,-0.03941402,-0.015065867,0.010113057
16,0.07669235,0.076553464,0.04614484,-0.009432154,-0.0912729,0.0035801313,-0.025044313,-0.06493632
17,0.08708018,-0.016867641,-0.02644983,-0.028251395,-0.0030143084,-0.07190483,-0.08300216,-0.08869244
18,0.09117341,0.065519586,0.0024104665,0.048347756,-0.030396229,0.025442539,-0.05917565,-0.07098952
19,-0.005214987,-0.05731193,0.057096545,-0.016293524,0.09687403,0.021416398,-0.025166987,0.061305188
20,0.12930301,0.080489226,0.16335976,-0.058910232,-0.053539667,-0.009447168,-0.07547222,-0.027522618
21,-0.06021465,-0.08737645,-0.040978808,-0.010843602,0.057709657,0.02305189,-0.06041228,0.05892004
22,0.05253052,-0.029065864,0.18757485,0.07386033,-0.15993361,0.059411943,-0.049478527,-0.043832086
23,0.059143886,-0.05484559,0.0132452175,-0.057486344,0.0136629725,-0.040239412,0.052024927,0.046131987
24,-0.10769099,-0.00613862,-0.09835873,-0.039853442,0.015803717,-0.028416723,0.03407095,0.054229178
25,0.0006649943,0.07961095,0.10886547,0.054390945,-0.10684798,-0.02712423,0.0065500117,-0.0012152728
26,0.010510393,-0.040545445,-0.035640772,-0.010881738,0.030480763,-0.03476579,6.4166554e-05,-0.016612822
27,-0.09359695,-0.017062236,-0.11517642,-0.033004384,0.116235465,-0.0834233,0.08490741,-0.038083393
28,-0.0033207932,-0.07140828,-0.15552211,0.06481329,0.18719752,-0.052454147,0.086227775,0.011141849
29,-0.0055162837,-0.02231581,0.03187264,-0.05598824,-0.06877705,0.1057212,0.03477885,-0.08908271
30,0.1148593,-0.00056804,0.099505804,-0.07377905,-0.08851128,-0.041849658,-0.042842556,-0.09010672
31,-0.09346864,0.06380922,-0.09001747,0.078665495,0.029718049,0.011266927,0.10518344,-0.040060405
32,-0.039201647,-0.039141383,0.08116163,-0.018570509,0.07180445,-0.0029452413,-0.03173098,-0.016845804
33,-0.06795726,-0.08072428,0.07475487,-0.07187602,-0.084222734,-0.08447701,0.087940834,-0.058410227
34,-0.033334553,0.036684133,-0.012650338,-0.07048197,0.021091335,0.0075415014,0.101310566,0.050143134
35,-0.10369825,-0.026287893,-0.051972147,0.08527201,0.025113886,-0.06703164,0.0073954035,0.014224048
36,0.06809316,0.00022551685,-0.032502912,0.058481574,0.043715034,0.004794743,-0.046314914,0.045122553
37,0.056303263,-0.00085804804,-0.019753773,-0.014143647,0.010676772,-0.02399052,-0.058295242,-0.018215291
38,0.050223324,0.054026056,0.05592397,0.040025424,0.027628584,-0.04591912,-0.01865422,-0.046866424
39,0.17528974,0.057472154,0.19622912,0.023455575,-0.15949808,-0.028499,-0.09628657,-0.12605213
40,-0.18717404,-0.040818654,-0.10004204,0.037114605,0.119913325,-0.035692684,0.055837605,0.055195145
41,0.07644622,-0.02450024,-0.0017411793,0.01815835,-0.0073160897,0.009446428,0.028341869,0.05717928
42,0.010663447,-0.009513652,-0.090446725,0.06501162,-0.042177126,0.06517247,0.07623174,-0.02229559
43,-0.030649027,0.006362092,-0.10650412,0.08971827,-0.0011228339,0.018569604,0.028333785,-0.03752286
44,-0.0026306747,-0.027341072,-0.06259828,-0.01457573,-0.012398937,0.07391775,0.061205704,-0.046487544
45,0.072386235,-0.0745918,0.053023018,-0.077568725,0.057610966,-0.06026753,-0.0077801887,-0.08347244
46,-0.045128968,-0.06720044,-0.0007467482,-0.049437135,-0.09629057,0.044798627,-0.06561579,0.05339798
47,-0.022039026,-0.06277979,0.017484931,0.06609367,0.099748135,-0.06965142,-0.020069728,0.10164388
48,0.029610626,0.06094343,0.0690133,-0.06369316,-0.07790872,0.08131991,-0.033744335,-0.1145807
49,0.06511689,0.015214439,-0.043168474,-0.030662846,-0.020868944,0.07687472,-0.027077543,0.028968465
50,0.07129303,0.03736255,0.028623015,-0.019429782,-0.028503265,-0.041876562,-0.019431097,-0.0018141569
51,-0.09972861,0.06918692,0.034434758,-0.0050875135,0.069887295,-0.079144575,-0.05708024,0.11818423
52,0.041769195,-0.038669538,0.1105336,0.0126997745,0.006013816,-0.02315576,0.023104338,0.02928644
53,-0.055558883,0.0077875042,0.085832976,-0.010107601,0.02352941,0.035712298,0.02665808,-0.041477192
54,0.09610855,-0.05417444,0.11898545,0.04580637,-0.010232136,0.094335005,-0.053755093,0.014542642
55,0.035738435,0.0135610355,-0.062029887,-0.074969925,0.099940054,0.0032054523,0.11360271,0.055014357
56,-0.07611306,-0.061971735,-0.19088209,0.055568263,0.092616454,0.0123841455,0.046184152,0.14598216
57,0.0026726355,-0.004364073,-0.10942624,0.030168174,0.12911525,0.05500149,0.062628016,0.08157531
58,-0.08391758,0.05425073,-0.03594854,-0.034585513,0.049029034,0.017172374,0.05416303,-0.013914947
59,-0.01656087,0.0792209,0.11394019,0.032671124,-0.17007458,0.08032578,0.011441478,-0.08700352
60,-0.008127019,-0.07256158,-0.051374227,0.0720509,0.043373022,0.016201388,-0.04322005,-0.024218492
61,0.16002041,0.033195063,0.04737734,0.008781546,-0.18109703,0.01894281,-0.051230643,-0.1253671
62,0.06964766,0.013069809,0.048558626,0.043458957,0.011426921,-0.03003843,-0.0315695,-0.0046173465
63,0.013527481,0.027534124,-0.02100056,0.006513547,0.020976275,-0.029951755,-0.073105745,0.06905355
64,0.0208804,0.027680757,-0.02137131,0.026619293,0.00040631078,-0.08395437,-0.017382711,0.020757092
65,0.04889994,-0.0743537,0.05897513,0.023824856,0.0064842976,0.075935215,-0.0570112,-0.017154133
66,-0.023584684,-0.015190467,-0.080504656,0.013255757,-0.04326296,0.04322312,0.031713076,0.05454886
67,-0.02146186,-0.07840101,-0.0050332732,0.008129017,0.018983819,0.000918614,0.0458463,0.06358402
68,-0.08787123,0.0539413,-0.124226816,-0.016964613,0.12812984,-0.059399217,0.13590775,0.1540477
69,-0.15949596,0.0052790637,-0.11507725,-0.059275698,0.120482124,-0.09625399,0.028771965,0.13328844
70,0.096038155,0.046595093,0.10101532,0.06754535,-0.039942276,-0.020114271,-0.01568508,-0.1169698
71,-0.02631534,0.055057026,0.115719765,0.0012299807,-0.10118097,-0.020498171,0.028627506,-0.027955987
72,0.058469996,0.013646153,0.1775839,0.027450455,-0.079866424,0.081875734,0.019477336,-0.0132813705
73,0.015610032,0.01680305,-0.030584823,-0.028607972,-0.016145471,0.05203435,0.091295086,-0.066074714
74,0.054713994,0.07861694,0.065873,0.0640753,0.027903995,0.074302964,0.031282578,-0.060963828
75,0.09432183,-0.03110471,0.029878695,0.019371638,-0.086919755,-0.044323113,-0.07235532,-0.124067225
76,-0.081480265,-0.041592516,-0.03947365,-0.041209623,0.16702697,0.000356574,0.09351405,0.0022004063
77,0.0019248315,0.0069040665,-0.087618455,-0.07932964,0.020021696,-0.07614597,0.007135984,0.05757318
78,-0.01330147,-0.08125622,-0.12501992,0.0036814802,0.1995732,-0.04524556,0.036884587,0.035465404
79,0.036185797,-0.044354238,0.011552942,0.023143305,-0.055246565,0.016211433,0.06492346,-0.023548696
80,0.03508151,0.07723061,0.022148179,0.03490253,0.09507782,0.016866252,0.09475144,-0.008632302
81,0.042497437,0.0074383407,0.008144601,0.0549872,0.005094873,0.071811266,0.07056136,-0.036053803
82,-0.00024870876,-0.0015278276,-0.03732825,-0.052664068,0.02892427,-0.020592391,-0.0354945,0.007874185
83,-0.118456155,-0.09375937,-0.15541595,-0.016715996,0.17853071,-0.063900106,0.01202368,0.08311657
84,-0.06541892,-0.047535438,0.030863382,0.05456498,-0.077587366,-0.04852961,0.064786464,-0.06076816
85,-0.03669678,-0.014972626,-0.09890727,0.05946858,-0.00066372147,0.04841347,0.05996864,0.071323454
86,-0.08409315,-0.034574468,-0.07929394,-0.08028833,-0.02257047,-0.05436152,0.08295226,0.10399303
87,-0.012282263,0.08207856,-0.027340498,-0.01449512,-0.025211928,0.0794284,0.01561895,-0.07480947
88,0.108722955,0.0069634826,0.08232853,-0.09184205,-0.0639306,-0.0070959004,-0.089324765,-0.026363853
89,-0.024957748,0.02840265,-0.09957678,0.015279415,0.060063686,-0.061654482,-0.027614944,0.014499225
90,-0.04482718,-0.0661182,0.00018274535,-0.025105778,0.060767084,-0.04994446,0.0876075,0.07529112
91,-0.08886176,0.009997188,-0.12376514,-0.053902432,0.19637668,-0.009487241,0.044565804,0.10505907
92,0.13045113,0.030226434,0.06732004,-0.044305954,-0.10356794,-0.04517621,-0.0904261,-0.025294123
93,0.051615868,0.104838684,0.06648162,0.03438305,-0.1512981,0.0343619,-0.09934879,-0.061088793
94,-0.123068176,-0.011733257,-0.07757389,-0.033772256,0.033294305,-0.018856965,0.012542169,-0.018928817
95,-0.06033105,-0.03096083,-0.09948484,0.07436604,0.041452907,-0.09769613,0.06865367,0.10646788
96,0.029050807,-0.013505937,0.016890924,-0.00833529,-0.083596386,0.08135148,0.06185968,0.013926484
97,0.01452472,-0.035755876,-0.07270582,-0.021456808,-0.062176514,-0.06252959,0.055995308,-0.023468306
98,-0.13503757,-0.019993983,-0.027385898,0.07107309,0.17522378,-0.08008551,-0.018220618,0.07723147
99,-0.07978398,-0.03275848,-0.1402066,0.069026634,0.18284991,-0.0035478966,0.023767969,0.12225649
100,-0.07988339,0.0090808,0.048521567,-0.07476251,-1.6365815e-05,-0.090894826,0.05860089,-0.06300798
101,-0.02090009,-0.006140754,-0.09529443,-0.039963517,0.052642774,0.0017833036,0.05835412,0.0064441175
102,-0.02637368,-0.07931244,0.012331816,0.02245832,0.12615193,0.030481683,0.037038203,0.122020796
103,-0.00016574697,0.0024225514,0.022195216,-0.012860465,0.02784846,0.07845631,-0.08075344,-0.07980881
104,-0.10845289,-0.09611985,-0.04754976,0.0004963104,0.057892628,-0.048578233,0.06562273,0.0369866
105,0.0016043916,-0.008335985,0.044997614,-0.02078712,0.014329137,0.008954327,0.05465963,-0.00092561916
106,-0.0032321266,-0.032268226,-0.10138543,0.00219906,-0.028637646,-0.020175394,0.06954336,0.07846751
107,0.11825019,0.046075676,0.043791678,-0.056525826,-0.177546,0.032569855,-0.12610096,-0.04435621
