,BOP,TSF,SIN,STDDEV,CORREL,TAN,COS
0,-0.042281784,-0.06545562,0.063011006,-0.0270069,-0.065084726,-0.055234954,0.05174824
1,-0.060209293,-0.07913676,-0.07139656,0.07734896,0.081358254,0.08699496,0.0014514264
2,-0.13269329,0.012909147,0.09001072,-0.019793035,0.1100693,-0.050953496,0.08249481
3,0.049650494,0.068985544,-0.01743632,-0.06734202,0.022955714,0.011654395,-0.113961235
4,-0.05766135,-0.020713257,0.050414987,-0.075342864,-0.0060436893,-0.067335434,0.1718471
5,0.022590194,-0.08716621,0.045223918,0.035061516,0.06324491,-0.014122419,-0.11345303
6,-0.055046238,0.08773818,-0.028235836,-0.009348764,-0.06151847,0.013943888,0.074592665
7,-0.06401025,0.06103036,0.018081445,0.058090076,0.074825026,-0.049588963,0.029637802
8,-0.0537971,-0.026374472,-0.07235399,0.043900523,0.069459826,-0.101818986,0.0015807605
9,0.040677488,0.017079458,0.07218325,-0.08806115,-0.051664926,-0.051910825,-0.02816229
10,-0.10999319,-0.04125375,0.0044823503,0.025234671,0.0341417,-0.09385449,-0.008759784
11,0.13350937,0.053995363,-0.085168704,0.016919443,-0.1009534,-0.004338302,-0.046384525
12,-0.056190435,0.0099538285,-0.014926703,0.04246055,0.015307095,-0.021096693,0.026263451
13,0.0021217626,-0.07860541,0.07877283,0.0100295255,0.07829889,-0.081461005,0.013509608
14,0.16198698,-0.010001518,-0.08819535,-0.07796154,0.017603822,0.12089798,-0.11703455
15,-0.118171036,0.06051135,0.015907152,0.03845441,0.074751005,0.0009922293,0.12756763
16,-0.008747705,0.06380242,0.08037608,0.027427163,0.06922365,-0.060679257,-0.06295941
17,-0.11941213,0.017389338,-0.024918921,-0.031609155,0.04004279,-0.078609034,0.045697425
18,-0.11836473,0.04816208,0.0929721,-0.002970063,-0.056861956,-0.065509886,0.039496575
19,-0.0066743256,-0.0126793785,-0.06100306,-0.04291593,-0.06661568,-0.08803829,-0.06449091
20,-0.08777095,-0.020502903,-0.010730464,0.058931343,-0.012584251,-0.05041696,0.14676078
21,-0.0213982,-0.01340233,-0.025692295,-0.07188565,-0.008059426,-0.008680253,0.00569077
22,-0.045402154,0.062438592,-0.085355535,-0.038860597,-0.06884148,0.0062816064,-0.031884618
23,-0.07112628,0.08702453,0.022329882,0.050542943,-0.055527493,0.007875373,0.07940689
24,-0.11767611,-0.022704322,0.116999164,0.006332057,-0.07219922,0.047203552,0.14302917
25,0.10746266,-0.0520147,-0.059640326,0.06320398,0.022051776,-0.0041890643,-0.016299196
26,-0.08921065,-0.004967443,-0.051189274,0.0846552,-0.014584289,0.06429556,-0.06054872
27,-0.39991283,0.045746285,0.17919163,-0.1005265,0.1297955,-0.25413185,0.37030518
28,-0.05005803,0.0052810395,-0.040557936,0.05642841,0.08672364,-0.043757267,0.11176654
29,0.048882116,-0.037972357,-0.023765357,0.070513405,0.0070959427,-0.022711966,-0.07852924
