,BOP,TSF,SIN,STDDEV,CORREL,TAN,COS
0,-0.03192227,-0.07961884,0.11216209,-0.047003437,0.08726338,0.053034853,-0.08900958
1,0.03191829,-0.07037599,0.004072369,-0.0019008076,0.06593563,-0.09194441,0.016602473
2,-0.10026998,-0.004227323,0.024744645,-0.032411184,0.04185863,0.09404135,-0.029923566
3,-0.048526376,-0.028638426,0.0075650956,0.00021638037,-0.07595623,-0.024654398,0.06941651
4,-0.03840115,0.018236328,0.060778014,0.030090943,0.0684548,0.013921814,-0.01010399
5,0.043276902,0.020867098,-0.040312797,-0.07157879,-0.05990741,-0.045276992,-0.001339704
6,-0.04686533,0.05370205,-0.04037238,0.03163856,0.038082983,0.08692527,-0.0088898875
7,0.008128051,-0.021077603,0.008248063,0.09234438,-0.057995453,0.03912468,-0.029498702
8,-0.11590493,-0.080115385,0.05566575,-0.0648238,0.049722802,0.06325835,-0.05621998
9,0.069952905,0.068296984,-0.060385942,-0.07560056,-0.026630908,0.049774986,0.07790954
10,0.07482716,-0.008562047,0.054676715,0.003252133,-0.020041278,-0.032121386,0.06867792
11,0.062031932,-0.053047948,0.03558535,-0.022342807,0.070357256,-0.051859424,-0.07549324
12,0.0021518518,-0.061606597,0.012197333,-0.001750732,0.025329962,-0.012844653,0.07704024
13,-0.0011313577,0.07168789,0.038341258,0.06751223,0.0962426,-0.07478457,-0.0002717018
14,0.11551266,-0.0016035419,-0.09989692,0.06432041,-0.07364664,0.04962603,0.06331788
15,0.121631086,-0.040214755,0.013857606,-0.0072198166,0.053552702,0.024064269,0.007085406
16,0.11929858,-0.08157912,0.031766932,0.03254959,-0.04643649,-0.017324386,0.038860068
17,0.046370216,0.04320037,0.10841234,0.016481481,-0.011415788,0.028707294,-0.024979277
18,-0.05182575,0.0006639003,0.0014661133,0.08227627,-0.034535754,-0.0813147,0.040150624
19,-0.0031409562,-0.08914053,-0.020263938,-0.090203494,0.048665147,-0.07804806,0.048819847
20,-0.14295158,-0.014022156,0.042478606,0.0095584905,-0.02105434,0.05897832,0.07020204
21,-0.04446362,-0.008095838,-0.020741588,0.09016277,-0.016657557,0.021860668,0.04063078
22,-0.089830674,-0.068154454,0.02708591,-0.036847584,-0.0075208154,0.022564624,0.070266746
23,0.073983796,-0.06913233,-0.13602288,-0.08795144,0.014819998,0.023438103,-0.0654888
24,-0.045494564,0.08458147,0.052426536,-0.01159701,-0.060755476,-0.023613596,-0.072027914
25,0.0839355,0.06216525,0.01540735,-0.093774095,-0.098390006,-0.09702977,-0.04965379
26,0.04598471,0.07431716,0.025960188,-0.057432767,0.046321023,-0.042711977,-0.024834707
27,0.14187817,-0.028375965,-0.004006813,-0.027943281,-0.087627284,-0.00841306,-0.021445528
28,-0.091585346,-0.074818894,0.09849296,-0.027507698,-0.050263967,0.08136877,-0.07337896
29,-0.022104628,-0.07131754,-0.058916423,0.09188293,-0.019961271,-0.072859235,-0.012131215
30,0.052523218,0.03331287,-0.02509906,-0.0055862493,0.0021492988,-0.050635662,0.008090553
31,-0.0071008676,0.07314856,0.014326414,0.0019639663,-0.013726299,-0.013231272,-0.040483147
32,-0.111516856,-0.0144729,-0.01463943,-0.04269473,-0.05678455,0.008810633,-0.088524744
33,-0.052712616,0.04466032,0.09431742,-0.02122896,0.021507954,-0.0063263476,-0.06626981
34,-0.027080439,0.010359325,-0.029965121,0.06936542,0.016307449,0.008286293,0.038360458
35,-0.035554234,0.022070138,0.07324835,-0.053994007,-0.012641689,0.0020976702,0.0064021284
36,-0.0009975793,-0.06959207,0.012878018,-0.07638208,0.059393667,-0.025387354,0.029602766
37,-0.018877301,-0.060483072,-0.03901517,0.056574076,0.025095383,-0.05090865,-0.041152358
38,0.03968582,0.07047023,0.0017965441,-0.080827355,-0.08006215,-0.019754605,0.01864231
39,0.046906047,0.014206633,0.059385106,0.00534216,0.073855765,0.017247107,0.08862782
40,-0.05355455,-0.067281425,0.060683556,-0.015113721,-0.004564733,0.070217,-0.06250569
41,-0.06170563,0.061494775,0.06432696,-0.04082683,0.041156568,0.011634995,0.08499659
42,0.070090085,-0.07756846,0.040239416,-0.07927811,-0.028436588,0.008807444,-0.021969192
43,-0.051973473,-0.013210707,-0.07123898,-0.05888184,-0.030501124,-0.06883457,-0.036948726
44,0.14933918,-0.06392229,-0.14161237,-0.07413167,-0.02768057,-0.05078466,0.052387208
45,-0.020963375,-0.062183354,0.0564872,0.045609176,-0.0702479,0.050531976,-0.07677175
46,-0.03203585,0.06266315,0.048430495,-0.06990966,-0.0398473,0.041325193,-0.04670435
47,0.00844524,-0.04145408,-0.105408624,-0.047132064,-0.027399851,0.03822893,0.029274948
48,0.034387153,-0.06565175,0.056776434,-0.0900554,0.058036312,-0.0053453874,-0.05468628
49,0.02767443,-0.03489445,0.0140914405,0.071678124,0.07229618,-0.0056324196,-0.05657602
50,-0.0022865941,-0.023874363,-0.021578101,0.0028204112,0.0035345156,0.03379864,-0.07969941
51,0.035533644,-0.05276184,-0.011308206,0.009299538,-0.08522081,-0.054276846,0.080671534
52,-0.12978272,0.020137567,0.1357327,-0.040451217,-0.06698208,0.020109434,0.013685741
53,0.13203847,-0.029849285,-0.020035855,0.015774107,0.008748182,-0.008965344,0.0059911087
54,0.1209272,0.07887591,-0.109787464,0.058688443,-0.034478594,-0.050923683,-0.043980278
55,0.09897761,0.0077907993,-0.01380858,0.018462103,0.03039623,-0.08688841,0.07263339
56,-0.006131894,-0.086244255,-0.0071522673,0.03965468,0.012042265,0.045932136,0.027984431
57,0.03886671,-0.084476545,0.03927969,-0.017198935,-0.0650766,0.04070689,-0.07539092
58,-0.054425213,-0.07384435,-0.018962782,0.06752158,0.00021570062,0.03712436,-0.08694505
59,0.11509299,0.059619598,0.039570764,0.055869717,-0.010666887,0.008674278,-0.07370208
60,0.11432075,-0.019297533,-0.02570932,0.05359887,0.061811272,0.07626167,-0.067506045
61,0.20849185,-0.0447071,-0.10956261,0.010122723,-0.00257332,0.012378597,0.0061130784
62,0.0055911303,0.006078812,0.0010025151,-0.09194841,0.07929907,-0.028768213,-0.01798118
63,-0.052063774,0.041085146,-0.01157934,-0.0673729,-0.066357814,-0.09166979,0.08856173
64,-0.0026546777,0.0007041515,0.042536605,-0.007814656,0.08230573,-0.017229164,-0.08958825
65,-0.097596236,-0.033674877,-0.031123396,-0.047451973,0.0033024738,-0.06029833,-0.058650013
66,-0.076935895,0.028868724,0.006834902,0.009690272,-0.008913201,-0.06845052,0.021999
67,0.004579649,-0.006219095,0.020979099,0.034890126,0.05880487,0.066118546,-0.06368122
68,-0.00018208975,0.07824695,0.031220362,0.03666701,0.08647841,0.10034996,0.012109046
69,0.10224647,0.052457083,0.0383164,-0.009124217,0.0731752,-0.08491128,0.07088624
70,-0.087653846,0.018933626,-0.06689369,0.020543829,0.055946812,-0.055378947,-0.06433613
71,-0.0745148,-0.05804933,0.028714411,-0.07305373,0.08968917,-0.073239915,0.0640488
72,0.00010973376,-0.068271205,0.023913484,-0.0094486885,-0.019439217,-0.028113175,-0.069393486
73,0.03395833,-0.05785634,-0.0718474,0.0035461911,0.057646114,-0.048370194,0.0018681111
74,-0.03522765,0.013085522,-0.021510523,0.013532056,0.07726428,0.0021701576,0.04120115
75,-0.03401017,-0.032951403,0.056531925,-0.07841647,-0.027429389,0.051337786,0.0360531
76,0.074271105,0.030598622,-0.0867256,0.06421239,0.043396182,0.00065312255,-0.024953004
77,-0.028600965,-0.07075959,-0.0018220029,0.056767568,-0.030854782,-0.030951818,0.06813036
78,-0.055675905,0.09351382,0.04793732,-0.045152795,-0.023645429,0.033676393,-0.032430578
79,-0.08327931,0.07254492,0.096469276,0.032825015,-0.026487384,-0.08204267,-0.048168004
80,0.0072673005,-0.020600192,-0.086403176,-0.088425726,-0.07803215,0.00040136933,-0.0704481
81,-0.004359052,0.019602822,-0.06416008,-0.016942704,-0.048026804,0.023609595,0.04648354
82,0.15074144,-0.030998895,-0.030398833,-0.06205551,0.03295589,0.05862613,-0.03852028
83,0.07856599,-0.05182602,-0.02870728,-0.075700685,-0.08705429,-0.07864583,0.05554744
84,-0.055317476,-0.014522321,0.070337005,0.043254327,-0.08643445,0.02038708,0.05157166
85,0.075112954,0.047365546,-0.057046752,-0.061059702,-0.039154936,-0.054879725,-0.0744743
86,0.14590657,-0.088041164,0.0011006943,0.075845875,0.015040543,-0.053893,0.034808695
87,0.02980205,-0.059046365,0.060958732,-0.09185598,-0.07196882,-0.019039791,0.016481545
88,-0.02845293,-0.08487595,-0.08739663,-0.039118867,0.025318136,-0.027143518,-0.026372924
89,-0.05628201,-0.046332676,0.06338818,0.02467655,0.05947381,-0.029287407,-0.048602488
90,0.09710634,-0.043311194,0.0714043,0.052997548,-0.08209065,-0.08980157,-0.0047562066
91,0.017916463,-0.06724193,-0.004357527,3.4751378e-05,-0.023094611,0.055579126,-0.021976635
92,-0.12962538,0.03173027,0.04902311,-0.010161215,0.07443709,0.017620666,0.054018475
93,-0.075182326,-0.022029823,-0.047111653,0.065869145,0.08412461,0.045240168,-0.04541501
94,0.10759962,0.06430813,0.021677153,-0.075725384,0.01240739,0.01208766,-0.014052794
95,0.13069446,-0.061669476,-0.09728354,-0.05842182,-0.047138933,0.0035989818,-0.040536784
96,0.1308252,0.02524811,-0.07560991,0.04987484,-0.063733205,-0.036028054,-0.010165811
97,0.12288471,-0.06444036,-0.07953338,0.038120043,0.036691174,-0.062486514,-0.07693132
98,0.094313405,0.019392282,-0.0790559,0.072757654,0.03694457,0.016760746,0.066677004
99,0.15578173,0.043969687,-0.04527427,-0.011582381,-0.012587217,-0.03594403,-0.035592437
100,-0.11833084,-0.011764033,0.1072946,0.017661216,-0.038132466,-0.040537976,0.02301115
101,-0.04400319,0.049480524,-0.005019211,0.070246495,0.005445767,-0.03348702,0.05608727
102,0.10054891,0.002992526,-0.037099767,0.008275456,0.0678785,0.0054230117,0.06756312
