,BOP,TSF,SIN,STDDEV,CORREL,TAN,COS
0,0.104924604,-0.037153736,-0.25593618,0.070306964,0.03685215,-0.09479048,0.32623783
1,0.12609245,0.104281604,-0.6934029,0.0062719802,0.039689515,-0.18529625,0.8282573
2,-0.018168043,0.008324558,0.07513763,-0.054430176,0.07418678,0.13172784,-0.06638281
3,0.039405186,0.012745779,0.21755016,0.036829606,-0.022098236,0.062931605,-0.14863859
4,-0.07737344,-0.028759047,0.13190292,-0.082767144,0.035927005,0.16715322,-0.19554327
5,-0.00804608,0.018440792,-0.816392,0.0047964896,-0.020506632,-0.27170742,0.8668308
6,-0.06829218,0.07057015,0.53649235,0.022152172,-0.019810077,0.22693308,-0.52001727
7,0.015097012,-0.05495121,0.23693466,0.00683458,0.011213021,0.10478689,-0.2620793
8,-0.00011660915,-0.019815044,-0.31221345,0.076028034,-0.017704265,-0.0933246,0.42415717
9,-0.08813798,0.03470188,0.40542713,-0.054896355,-0.06710403,0.18761532,-0.41234216
10,0.024108116,0.06625597,0.44204387,-0.04071374,0.04263115,0.16554469,-0.44533515
11,0.039094657,-0.06462019,-0.4902958,0.09728832,0.0062981974,-0.13264874,0.6569541
12,-0.022184545,-0.07925735,0.38151035,0.020360472,-0.04089269,0.22703046,-0.533784
13,0.017959414,-0.0145974755,-0.12853901,0.051371723,0.07458728,-0.0540571,0.15730666
14,-0.08645954,0.00046677628,0.105959296,-0.08329002,-0.08372645,9.1704904e-05,-0.26010844
15,-0.120616816,0.072721146,0.48192036,-0.021541858,-0.008699865,0.24507122,-0.6705716
16,-0.0037888824,-0.054460812,0.36840758,-0.009641326,0.08456296,0.18822065,-0.44186425
17,0.01251651,0.029375086,-0.2528703,-0.058442034,0.06786498,-0.16097109,0.46369615
18,-0.13164401,0.004431833,0.41891703,-0.09072877,0.06879504,0.24189392,-0.617675
19,-0.059174906,0.03571721,-0.12276072,0.088544816,-0.045713358,-0.064025916,0.06316414
20,-0.0749823,0.016129358,0.68806386,-0.050313424,-0.051137555,0.19957282,-0.68930554
21,0.0004311865,0.08279292,0.060058933,0.08151869,-0.07572101,0.045663476,-0.00019166413
22,0.0059720343,-0.008262633,0.45873928,-0.045682993,0.062201627,0.16989714,-0.50041336
23,-0.08519166,0.043917272,0.48454794,0.014059202,0.05113966,0.10418151,-0.5140026
24,-0.00025222363,-0.060954895,0.1344888,-0.07444475,0.00761917,0.027698176,-0.22898169
25,-0.03624626,0.040234536,-0.3898248,0.006547033,-0.015415145,-0.22995959,0.44528282
26,-0.018940035,0.016695485,-0.18645874,-0.07239171,-0.044022907,-0.17855896,0.3381589
27,-0.003928445,0.0050551794,-0.07316018,0.08508737,-0.06973755,0.062662005,0.08056588
28,0.018212466,0.03774811,0.45047987,0.015263839,0.024860185,0.15749297,-0.58765846
29,-0.06822821,0.015392461,0.8816291,0.047297638,0.00410266,0.29902056,-1.143138
30,0.029128822,-0.033814706,-0.18763544,-0.051260483,0.01204251,-0.03924061,0.14085795
31,-0.014054436,0.058783077,0.49462768,0.040967066,0.08672624,0.21098164,-0.6139332
32,0.05701418,0.036244534,-0.22720915,0.053388998,-0.058881085,-0.14912845,0.34481984
33,-0.046376508,-0.04325814,-0.3301646,-0.00095390884,-0.015696805,-0.05460334,0.4722038
34,-0.0037384955,0.030438362,-0.29634437,0.097311094,0.04933808,-0.22024816,0.48855868
35,-0.11700713,0.046359207,0.35405567,-0.09065368,-0.08550792,0.08108952,-0.34172758
36,-0.044712655,0.044211403,0.18494217,0.07313693,0.04210031,0.019402081,-0.2664042
37,0.01743021,0.06552835,-0.41476306,0.036824096,-0.066492125,-0.24080451,0.56079006
38,-0.004532335,0.019048028,-0.4144124,-0.033933923,0.00067949673,-0.24941525,0.53760237
39,-0.04496668,-0.022629458,-0.15501441,-0.064297944,0.024648609,-0.0907323,0.28320006
40,0.0051813503,-0.02575079,-0.47027704,-0.034992885,0.024344012,-0.28327972,0.6101965
41,0.06214019,0.09242998,-0.68872434,0.086320326,0.08657561,-0.20830324,0.76119065
42,0.083224855,0.056817003,-0.43999454,0.015777837,-0.0366278,-0.22772181,0.5260134
43,0.023377376,-0.08887669,0.27980274,-0.079380356,-0.03638573,0.2113274,-0.41454044
44,0.00642386,-0.06577895,-0.03003708,-0.036786024,-0.051403828,-0.015493119,0.093621396
45,-0.055303395,-0.04962437,0.15416302,0.04616307,-0.013717799,0.06543407,-0.23439787
46,-0.11649222,-0.04042876,0.43247452,-0.015287495,0.0019921777,0.24964769,-0.5799967
47,-0.037162066,0.088603474,-0.34855726,0.06444207,-0.045229804,-0.19439271,0.4879934
48,0.0024689317,0.077991806,-0.031537615,-0.04222824,-0.015128077,-0.104151145,0.05281816
49,-0.050859325,0.022161674,0.061368473,0.08207858,0.029278751,0.02564996,-0.046280857
50,0.067884326,0.0006768528,-0.18233635,0.037644137,-0.067209974,-0.09091443,0.17049588
51,0.03460706,0.068732634,0.035154097,-0.03591269,0.06288626,0.03607794,-0.20325632
52,-0.081488356,-0.009662424,0.18340778,0.041965615,0.047520872,0.102042064,-0.26601046
53,-0.06620819,-0.000974391,0.6937564,0.019608531,0.00037839552,0.1988764,-0.81693566
54,0.033132706,0.013465126,-0.15291286,-0.075827196,0.015945885,-0.13413808,0.19661081
55,0.0037003416,-0.001966509,0.18021661,0.03962175,0.04924936,0.10286253,-0.14500847
